試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-02-20,堺ブレイザーズ,1,,松本慶彦,5,■,■,■,■,■,9,4,0,0.4444444444444444,0.4444444444444444,0.80,0,0,0,-,7,1.40,13,0,0,3,5.8,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,2,,樋口裕希,2,nan,nan,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,4,,高野直哉,5,■,■,■,■,■,40,21,1,0.525,0.5,4.20,7,5,0,71.4,1,0.20,13,0,5,3,-3.8,27,10,8,51.9,,,,,,,,
2021-02-20,堺ブレイザーズ,5,,堀江友裕,1,nan,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,1,50.0,,,,,,,,
2021-02-20,堺ブレイザーズ,6,,山崎貴矢,4,nan,■,■,■,■,7,2,1,0.2857142857142857,0.14285714285714285,0.50,0,0,0,-,1,0.25,17,1,5,0,-1.5,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,8,,佐川翔,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,10,,千々木駿介,5,□,□,□,■,■,15,7,2,0.4666666666666667,0.3333333333333333,1.40,6,3,1,50.0,1,0.20,10,0,0,4,10.0,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,11,,関田誠大,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,2,0.40,14,0,1,4,5.4,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,12,,小池勇輝,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,1,1,0,100.0,,,,,,,,
2021-02-20,堺ブレイザーズ,14,,山口頌平,1,nan,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,20,L,山本智大,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,9,5,71.9,,,,,,,,
2021-02-20,堺ブレイザーズ,21,,竹元裕太郎,1,■,nan,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,23,,鵜野幸也,5,■,■,■,■,■,42,16,1,0.38095238095238093,0.35714285714285715,3.20,6,2,0,33.3,2,0.40,17,0,4,2,-2.9,39,19,13,65.4,,,,,,,,
2021-02-20,堺ブレイザーズ,24,,ジョンウェント,3,■,■,■,nan,nan,27,9,0,0.3333333333333333,0.3333333333333333,3.00,7,3,0,42.9,5,1.67,12,0,3,1,-4.2,0,0,0,-,,,,,,,,
2021-02-20,堺ブレイザーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,143,59,5,0.4125874125874126,0.3776223776223776,11.80,26,13,1,50.0,19,3.80,102,1,18,17,0.7,84,39,27,62.5,134,57,8,42.5,9,1.80,7.1,64.9
