名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,2019-04,久光製薬スプリングス,16,12,9,51,26,1,51.0,49.0,0,0,0,9,34,1,3,14,0,0,0,36,,2.89,1.0,11.0,
クランヤナ,2019-04,東レアローズ,7,12,9,151,69,8,45.7,40.4,27,15,3,3,31,0,1,12,0,0,0,72,55.6,7.67,0.33,8.9,
中島未来,2019-04,東レアローズ,11,12,8,0,0,0,,,0,0,0,0,0,0,0,0,10,1,5,0,,0.0,0.0,,35.0
中田紫乃,2019-04,東レアローズ,9,12,9,35,8,2,22.9,17.1,0,0,0,2,20,0,1,5,65,16,23,10,,0.89,0.22,5.0,42.3
井上奈々朱,2019-04,東レアローズ,1,12,9,29,14,1,48.3,44.8,0,0,0,4,23,0,3,6,1,1,0,18,,1.56,0.44,3.3,100.0
井上愛里沙,2019-04,久光製薬スプリングス,22,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,2019-04,久光製薬スプリングス,12,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
加藤光,2019-04,久光製薬スプリングス,25,12,9,0,0,0,,,0,0,0,0,10,1,0,0,0,0,0,1,,0.0,0.0,10.0,
古藤千鶴,2019-04,久光製薬スプリングス,2,12,9,2,1,0,50.0,50.0,0,0,0,0,34,1,0,8,1,0,0,2,,0.11,0.0,8.8,0.0
堀川真理,2019-04,東レアローズ,2,12,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大野果歩,2019-04,東レアローズ,3,12,8,31,14,1,45.2,41.9,0,0,0,2,22,0,0,3,0,0,0,16,,1.75,0.25,3.4,
小川愛里奈,2019-04,東レアローズ,12,12,2,5,3,0,60.0,60.0,0,0,0,0,2,0,0,0,0,0,0,3,,1.5,0.0,0.0,
岩坂名奈,2019-04,久光製薬スプリングス,4,12,9,31,12,1,38.7,35.5,0,0,0,6,30,1,0,9,0,0,0,19,,1.33,0.67,10.8,
座安琴希,2019-04,久光製薬スプリングス,10,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
戸江真奈,2019-04,久光製薬スプリングス,18,12,9,0,0,0,,,0,0,0,0,0,0,0,0,31,9,14,0,,0.0,0.0,,51.6
新鍋理沙,2019-04,久光製薬スプリングス,3,12,9,51,21,3,41.2,35.3,0,0,0,1,41,3,1,17,44,13,19,25,,2.33,0.11,17.1,51.1
日高萌,2019-04,東レアローズ,4,12,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
杉原若葉,2019-04,東レアローズ,6,12,5,0,0,0,,,0,0,0,0,9,0,2,2,0,0,0,0,,0.0,0.0,0.0,
栄絵里香,2019-04,久光製薬スプリングス,11,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森谷史佳,2019-04,久光製薬スプリングス,14,12,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
水杉玲奈,2019-04,東レアローズ,15,12,9,0,0,0,,,0,0,0,0,0,0,0,0,31,15,8,0,,0.0,0.0,,61.3
白井美沙紀,2019-04,東レアローズ,8,12,9,0,0,0,,,0,0,0,0,14,0,0,4,0,0,0,0,,0.0,0.0,7.1,
石井優希,2019-04,久光製薬スプリングス,6,12,9,112,41,5,36.6,32.1,2,1,0,4,33,0,0,14,67,26,24,45,50.0,4.56,0.44,10.6,56.7
石川真佑,2019-04,東レアローズ,17,12,2,9,6,0,66.7,66.7,0,0,0,0,3,0,1,1,21,5,5,6,,3.0,0.0,0.0,35.7
筒井さやか,2019-04,久光製薬スプリングス,20,12,8,0,0,0,,,0,0,0,0,0,0,0,0,16,6,8,0,,0.0,0.0,,62.5
野本梨佳,2019-04,久光製薬スプリングス,8,12,9,99,37,6,37.4,31.3,5,1,1,0,31,1,4,9,22,5,7,38,20.0,4.11,0.0,7.3,38.6
関菜々巳,2019-04,東レアローズ,14,12,9,3,2,1,66.7,33.3,0,0,0,0,37,1,2,11,0,0,0,3,,0.22,0.0,8.8,
黒後愛,2019-04,東レアローズ,13,12,9,90,35,6,38.9,32.2,13,6,1,1,32,0,3,5,75,20,28,36,46.2,3.89,0.11,1.6,45.3
