大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,KUROBEアクアフェアリーズ,20,74,256,96,14,37.5,2,0,0,0.0,1.30,48,0.65,223,1,11,13,41,8.5,10,4,3,55.0,96,48,12,156
スターカンファレンス,KUROBEアクアフェアリーズ,11,42,128,47,7,36.7,1,0,0,0.0,1.12,33,0.79,114,0,5,9,21,7.0,4,3,1,87.5,47,33,5,85
交流戦,KUROBEアクアフェアリーズ,6,20,72,30,5,41.7,1,0,0,0.0,1.50,9,0.45,67,1,5,2,12,12.7,5,0,2,20.0,30,9,6,45
チャレンジ４,KUROBEアクアフェアリーズ,3,12,56,19,2,33.9,0,0,0,-,1.58,6,0.50,42,0,1,2,8,6.0,1,1,0,100.0,19,6,1,26
V.LEAGUE DIVISION1 WOMEN 2018-19,KUROBEアクアフェアリーズ,22,3,6,2,0,33.3,0,0,0,-,0.67,1,0.33,4,0,0,0,1,6.2,0,0,0,-,2,1,0,3
Eastern Conference,KUROBEアクアフェアリーズ,10,1,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
交流戦,KUROBEアクアフェアリーズ,10,2,6,2,0,33.3,0,0,0,-,1.00,1,0.50,3,0,0,0,1,8.3,0,0,0,-,2,1,0,3
チャレンジステージ,KUROBEアクアフェアリーズ,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,37,65,206,79,12,38.3,2,0,0,0.0,1.22,43,0.66,185,1,10,11,34,9.1,9,3,3,50.0,79,43,11,133
通算,,42,77,262,98,14,37.4,2,0,0,0.0,1.27,49,0.64,227,1,11,13,42,8.5,10,4,3,55.0,98,49,12,159
