名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,NECレッドロケッツ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
ミハイロビッチブランキツァ,久光製薬スプリングス,9,2,7,0,1,0.0,-14.3,0,0,0,1,3,0,0,1,4,3,0,,0.0,0.5,8.3,75.0
上野香織,NECレッドロケッツ,15,2,0,0,0,,,0,0,0,1,2,0,1,0,0,0,0,,0.0,0.5,-12.5,
中大路絢野,久光製薬スプリングス,24,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
八幡美樹,NECレッドロケッツ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
古藤千鶴,久光製薬スプリングス,2,4,1,1,0,100.0,100.0,0,0,0,1,20,1,0,4,0,0,0,,0.2,0.2,10.0,
古賀紗理那,NECレッドロケッツ,21,3,26,12,1,46.2,42.3,4,2,0,1,16,0,0,2,18,10,0,50.0,4.0,0.3,3.1,55.6
大野果奈,NECレッドロケッツ,12,4,20,7,1,35.0,30.0,0,0,0,4,13,0,2,3,0,0,0,,1.8,1.0,1.9,
山口かなめ,NECレッドロケッツ,5,4,1,1,0,100.0,100.0,0,0,0,0,10,0,2,1,0,0,0,,0.2,0.0,-2.5,
岩坂名奈,久光製薬スプリングス,4,4,14,6,0,42.9,42.9,0,0,0,0,13,0,1,3,3,3,0,,1.5,0.0,3.8,100.0
岩崎紗也加,NECレッドロケッツ,10,4,0,0,0,,,0,0,0,0,0,0,0,0,19,15,0,,0.0,0.0,,78.9
島村春世,NECレッドロケッツ,8,4,36,14,0,38.9,38.9,2,1,0,3,16,0,1,4,3,1,0,50.0,3.5,0.8,4.7,33.3
座安琴希,久光製薬スプリングス,10,4,0,0,0,,,0,0,0,0,0,0,0,0,15,12,0,,0.0,0.0,,80.0
新鍋理沙,久光製薬スプリングス,3,4,34,12,1,35.3,32.4,1,0,0,1,16,1,1,5,12,11,0,0.0,3.0,0.2,12.5,91.7
村田しおり,久光製薬スプリングス,13,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5,
松崎美歌,NECレッドロケッツ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
柳田光綺,NECレッドロケッツ,19,4,42,19,1,45.2,42.9,8,5,0,1,14,1,3,3,1,1,0,62.5,4.8,0.2,7.1,100.0
水田祐未,久光製薬スプリングス,5,4,14,5,1,35.7,28.6,0,0,0,0,13,0,0,5,6,5,0,,1.2,0.0,9.6,83.3
狩野舞子,久光製薬スプリングス,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
白垣里紗,NECレッドロケッツ,9,4,16,4,1,25.0,18.8,1,0,0,0,2,0,1,0,8,6,0,0.0,1.0,0.0,-12.5,75.0
石井優希,久光製薬スプリングス,6,4,45,8,1,17.8,15.6,2,0,0,0,11,0,0,2,43,30,0,0.0,2.0,0.0,4.5,69.8
石橋里紗,久光製薬スプリングス,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
秋山美幸,NECレッドロケッツ,7,4,1,1,0,100.0,100.0,0,0,0,0,5,0,0,1,0,0,0,,0.2,0.0,5.0,
筒井さやか,久光製薬スプリングス,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
近江あかり,NECレッドロケッツ,6,4,40,15,1,37.5,35.0,1,0,0,1,13,0,1,2,28,21,0,0.0,3.8,0.2,1.9,75.0
野本梨佳,久光製薬スプリングス,8,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
長岡望悠,久光製薬スプリングス,1,4,61,30,2,49.2,45.9,20,10,0,3,10,0,1,4,2,2,0,50.0,7.5,0.8,7.5,100.0
鳥越未玖,NECレッドロケッツ,13,4,0,0,0,,,0,0,0,0,5,0,0,2,8,5,0,,0.0,0.0,10.0,62.5
