名前,年月,チーム,背番号,月,出場数,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
宇佐美大輔,2009-04,パナソニックパンサーズ,2,4,1,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
富松崇彰,2009-04,東レアローズ,1,4,3,0.0,0.0,3,2,0,66.7,66.7,0,0,0,6,5,0,4,1,1,0,0,8,,0.67,2.0,-15.0,0.0
小糸敬夫,2009-04,パナソニックパンサーズ,14,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本太二,2009-04,東レアローズ,20,4,1,0.0,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
山本隆弘,2009-04,パナソニックパンサーズ,5,4,1,0.0,0.0,3,1,0,33.3,33.3,1,0,0,0,1,0,0,1,0,0,0,1,0.0,1.0,0.0,25.0,
山村宏太,2009-04,サントリーサンバーズ,1,4,3,0.0,0.0,9,5,0,55.6,55.6,0,0,0,1,8,0,0,2,0,0,0,6,,1.67,0.33,6.2,
島田桃大,2009-04,堺ブレイザーズ,17,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川村慎二,2009-04,パナソニックパンサーズ,8,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
朝長孝介,2009-04,堺ブレイザーズ,5,4,3,0.0,0.0,0,0,0,,,0,0,0,0,8,0,0,1,0,0,0,0,,0.0,0.0,3.1,
木内学,2009-04,堺ブレイザーズ,10,4,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
木原丈裕,2009-04,サントリーサンバーズ,12,4,1,0.0,0.0,1,0,0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,,0.0,1.0,0.0,
杉山マルコス,2009-04,サントリーサンバーズ,18,4,3,0.0,0.0,19,9,4,47.4,26.3,5,1,1,2,12,1,5,4,30,20,0,12,20.0,3.0,0.67,6.2,66.7
枩田優介,2009-04,パナソニックパンサーズ,13,4,3,0.0,0.0,8,6,0,75.0,75.0,0,0,0,7,11,0,1,2,0,0,0,13,,2.0,2.33,2.3,
栗原圭介,2009-04,サントリーサンバーズ,6,4,3,0.0,0.0,1,0,0,0.0,0.0,0,0,0,1,11,0,1,6,1,0,0,1,,0.0,0.33,11.4,0.0
