大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 MEN,大同特殊鋼レッドスター,18,39,341,153,18,44.9,62,33,5,53.2,3.92,4,0.10,151,5,6,20,34,9.6,240,114,50,57.9,153,4,11,168
レギュラーラウンド,大同特殊鋼レッドスター,18,39,341,153,18,44.9,62,33,5,53.2,3.92,4,0.10,151,5,6,20,34,9.6,240,114,50,57.9,153,4,11,168
V.LEAGUE DIVISION2 MEN 2018-19,大同特殊鋼レッドスター,22,68,508,232,30,45.7,103,56,9,54.4,3.41,29,0.43,258,6,14,48,47,7.7,111,38,26,45.9,232,29,20,281
レギュラーラウンド,大同特殊鋼レッドスター,22,68,508,232,30,45.7,103,56,9,54.4,3.41,29,0.43,258,6,14,48,47,7.7,111,38,26,45.9,232,29,20,281
Ｖ・チャレンジリーグⅠ男子 2017/18,大同特殊鋼レッドスター,16,44,279,127,15,45.5,36,14,4,38.9,2.89,12,0.27,139,4,1,24,32,5.0,239,93,61,51.7,127,12,5,144
レギュラーラウンド,大同特殊鋼レッドスター,16,44,279,127,15,45.5,36,14,4,38.9,2.89,12,0.27,139,4,1,24,32,5.0,239,93,61,51.7,127,12,5,144
Ｖ・チャレンジリーグⅠ男子 2016/17,大同特殊鋼レッドスター,5,5,7,1,0,14.3,0,0,0,-,0.2,0,-,2,0,0,1,1,12.5,0,0,0,-,1,0,0,1
レギュラーラウンド,大同特殊鋼レッドスター,5,5,7,1,0,14.3,0,0,0,-,0.2,0,-,2,0,0,1,1,12.5,0,0,0,-,1,0,0,1
レギュラーシーズン通算,,61,156,1135,513,63,45.2,201,103,18,51.2,3.29,45,0.29,550,15,21,93,114,7.5,590,245,137,53.1,513,45,36,594
通算,,61,156,1135,513,63,45.2,201,103,18,51.2,3.29,45,0.29,550,15,21,93,114,7.5,590,245,137,53.1,513,45,36,594
