名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カルカセスケニア,久光製薬スプリングス,11,67,33,21,100,1584,765,197,48.3,35.9,491,223,97,41,360,33,86,109,46,17,0,839,45.4,7.65,0.41,10.8,37.0
ニコリッチイェレナ,東レアローズ,25,59,32,18,74,677,286,69,42.2,32.1,33,16,3,30,256,14,64,71,343,227,0,330,48.5,3.86,0.41,6.2,66.2
ハニーフタイーバ,武富士バンブー,1,56,44,16,100,1279,563,85,44.0,37.4,435,171,35,33,372,26,52,111,84,51,0,622,39.3,5.63,0.33,11.0,60.7
パウリノエリサンジェラ,JTマーヴェラス,4,43,54,12,94,736,275,43,37.4,31.5,36,13,1,50,292,15,57,76,280,162,0,340,36.1,2.93,0.53,6.8,57.9
フールマンフランシーヌ,パイオニアレッドウィングス,3,68,26,21,94,735,376,38,51.2,46.0,5,2,0,56,334,24,48,87,25,18,0,456,40.0,4.0,0.6,10.1,72.0
三澤由佳,武富士バンブー,14,52,39,15,80,352,130,29,36.9,28.7,0,0,0,49,240,5,16,71,33,22,0,184,,1.62,0.61,7.8,66.7
上岡奈々瀬,茂原アルカス,16,1,6,0,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
上田かおり,デンソーエアリービーズ,7,35,69,5,63,202,61,12,30.2,24.3,0,0,0,13,168,6,9,61,1,1,0,80,,0.97,0.21,11.3,100.0
中川佑美,東レアローズ,10,6,1,2,2,0,0,0,,,0,0,0,0,5,1,0,2,0,0,0,1,,0.0,0.0,30.0,
中村真美,NECレッドロケッツ,8,53,55,13,67,0,0,0,,,0,0,0,0,90,0,1,27,134,83,0,0,,0.0,0.0,7.2,61.9
中道瞳,東レアローズ,15,65,34,20,55,1,1,0,100.0,100.0,0,0,0,0,12,1,0,3,1,0,0,2,,0.02,0.0,14.6,0.0
久保庭怜奈,パイオニアレッドウィングス,14,69,32,21,27,3,3,0,100.0,100.0,0,0,0,0,47,3,2,16,0,0,0,6,,0.11,0.0,13.8,
久保雅,JTマーヴェラス,13,38,44,11,61,36,14,3,38.9,30.6,0,0,0,7,22,0,0,6,3,2,0,21,,0.23,0.11,6.8,66.7
井上香織,デンソーエアリービーズ,8,35,69,5,103,513,195,20,38.0,34.1,0,0,0,68,183,7,12,33,4,2,0,270,,1.89,0.66,6.7,50.0
井村仁美,武富士バンブー,10,57,47,16,104,36,17,0,47.2,47.2,0,0,0,7,369,8,23,101,5,1,0,32,,0.16,0.07,7.5,20.0
井西彩乃,茂原アルカス,14,19,77,2,52,302,97,22,32.1,24.8,23,8,6,8,82,4,3,22,65,43,0,109,34.8,1.87,0.15,10.7,66.2
