名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カルカセスケニア,01,久光製薬スプリングス,11,31,500,252,61,50.4,38.2,144,69,32,10,105,8,23,30,11,2,0,270,47.9,8.1,0.3,9.3,18.2
カルカセスケニア,02,久光製薬スプリングス,11,17,316,154,39,48.7,36.4,105,47,18,3,72,5,16,22,6,1,0,162,44.8,9.1,0.2,9.0,16.7
カルカセスケニア,09,久光製薬スプリングス,11,6,77,33,11,42.9,28.6,19,9,4,3,24,3,7,9,0,0,0,39,47.4,5.5,0.5,14.6,
カルカセスケニア,10,久光製薬スプリングス,11,18,268,128,38,47.8,33.6,102,51,17,5,65,7,20,19,10,6,0,140,50.0,7.1,0.3,10.4,60.0
カルカセスケニア,12,久光製薬スプリングス,11,28,423,198,48,46.8,35.5,121,47,26,20,94,10,20,29,19,8,0,228,38.8,7.1,0.7,13.0,42.1
ニコリッチイェレナ,01,東レアローズ,25,20,210,90,19,42.9,33.8,3,1,2,11,69,3,26,14,107,82,0,104,33.3,4.5,0.6,0.0,76.6
ニコリッチイェレナ,02,東レアローズ,25,19,179,75,21,41.9,30.2,3,2,0,4,81,7,15,22,96,59,0,86,66.7,3.9,0.2,10.8,61.5
ニコリッチイェレナ,10,東レアローズ,25,19,163,72,18,44.2,33.1,19,9,1,10,66,0,14,26,83,46,0,82,47.4,3.8,0.5,4.5,55.4
ニコリッチイェレナ,12,東レアローズ,25,16,125,49,11,39.2,30.4,8,4,0,5,40,4,9,9,57,40,0,58,50.0,3.1,0.3,10.0,70.2
ハニーフタイーバ,01,武富士バンブー,1,29,379,162,28,42.7,35.4,140,52,15,10,107,5,13,36,24,15,0,177,37.1,5.6,0.3,10.0,62.5
ハニーフタイーバ,02,武富士バンブー,1,16,220,89,13,40.5,34.5,79,27,7,2,60,2,7,23,13,9,0,93,34.2,5.6,0.1,10.0,69.2
ハニーフタイーバ,09,武富士バンブー,1,3,27,8,2,29.6,22.2,7,2,1,1,9,1,1,5,0,0,0,10,28.6,2.7,0.3,22.2,
ハニーフタイーバ,10,武富士バンブー,1,17,217,114,13,52.5,46.5,75,34,6,4,76,6,11,20,9,7,0,124,45.3,6.7,0.2,10.9,77.8
ハニーフタイーバ,12,武富士バンブー,1,35,436,190,29,43.6,36.9,134,56,6,16,120,12,20,27,38,20,0,218,41.8,5.4,0.5,11.5,52.6
パウリノエリサンジェラ,01,JTマーヴェラス,4,26,180,70,11,38.9,32.8,11,3,1,10,63,3,15,18,54,26,0,83,27.3,2.7,0.4,6.0,48.1
パウリノエリサンジェラ,02,JTマーヴェラス,4,18,168,67,7,39.9,35.7,17,8,0,11,44,1,9,11,45,32,0,79,47.1,3.7,0.6,3.4,71.1
パウリノエリサンジェラ,09,JTマーヴェラス,4,3,22,7,1,31.8,27.3,0,0,0,1,13,1,3,6,13,7,0,9,,2.3,0.3,13.5,53.8
パウリノエリサンジェラ,10,JTマーヴェラス,4,21,160,56,18,35.0,23.8,2,1,0,12,85,7,15,20,77,39,0,75,50.0,2.7,0.6,9.7,50.6
パウリノエリサンジェラ,12,JTマーヴェラス,4,26,206,75,6,36.4,33.5,6,1,0,16,87,3,15,21,91,58,0,94,16.7,2.9,0.6,5.2,63.7
フールマンフランシーヌ,01,パイオニアレッドウィングス,3,27,194,102,13,52.6,45.9,2,1,0,25,87,7,15,28,4,3,0,134,50.0,3.8,0.9,11.8,75.0
フールマンフランシーヌ,02,パイオニアレッドウィングス,3,18,182,90,9,49.5,44.5,2,0,0,7,67,3,8,14,3,2,0,100,0.0,5.0,0.4,6.7,66.7
フールマンフランシーヌ,10,パイオニアレッドウィングス,3,22,153,77,11,50.3,43.1,0,0,0,15,85,10,12,18,7,6,0,102,,3.5,0.7,13.5,85.7
フールマンフランシーヌ,12,パイオニアレッドウィングス,3,27,206,107,5,51.9,49.5,1,1,0,9,95,4,13,27,11,7,0,120,100.0,4.0,0.3,7.9,63.6
三澤由佳,01,武富士バンブー,14,26,121,49,12,40.5,30.6,0,0,0,15,88,0,6,26,17,13,0,64,,1.9,0.6,5.7,76.5
三澤由佳,02,武富士バンブー,14,16,75,29,4,38.7,33.3,0,0,0,8,52,2,2,11,3,2,0,39,,1.8,0.5,8.2,66.7
三澤由佳,09,武富士バンブー,14,7,37,12,6,32.4,16.2,0,0,0,1,23,1,1,9,8,5,0,14,,1.7,0.1,13.0,62.5
三澤由佳,10,武富士バンブー,14,12,49,18,4,36.7,28.6,0,0,0,13,28,1,4,6,4,2,0,32,,1.5,1.1,5.4,50.0
三澤由佳,12,武富士バンブー,14,19,70,22,3,31.4,27.1,0,0,0,12,49,1,3,19,1,0,0,35,,1.2,0.6,10.2,0.0
上岡奈々瀬,02,茂原アルカス,16,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
上田かおり,01,デンソーエアリービーズ,7,12,28,11,3,39.3,28.6,0,0,0,2,31,2,4,11,0,0,0,15,,0.9,0.2,12.1,
上田かおり,02,デンソーエアリービーズ,7,15,60,19,2,31.7,28.3,0,0,0,2,38,2,1,15,0,0,0,23,,1.3,0.1,14.5,
上田かおり,09,デンソーエアリービーズ,7,7,22,6,0,27.3,27.3,0,0,0,1,19,0,1,8,1,1,0,7,,0.9,0.1,9.2,100.0
上田かおり,10,デンソーエアリービーズ,7,17,59,18,4,30.5,23.7,0,0,0,6,52,1,1,21,0,0,0,25,,1.1,0.4,11.5,
上田かおり,12,デンソーエアリービーズ,7,12,33,7,3,21.2,12.1,0,0,0,2,28,1,2,6,0,0,0,10,,0.6,0.2,7.1,
中川佑美,02,東レアローズ,10,1,0,0,0,,,0,0,0,0,4,1,0,1,0,0,0,1,,0.0,0.0,31.2,
中川佑美,12,東レアローズ,10,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
中村真美,01,NECレッドロケッツ,8,18,0,0,0,,,0,0,0,0,25,0,0,6,12,8,0,0,,0.0,0.0,6.0,66.7
中村真美,02,NECレッドロケッツ,8,18,0,0,0,,,0,0,0,0,35,0,0,12,17,11,0,0,,0.0,0.0,8.6,64.7
中村真美,09,NECレッドロケッツ,8,8,0,0,0,,,0,0,0,0,0,0,0,0,63,42,0,0,,0.0,0.0,,66.7
中村真美,10,NECレッドロケッツ,8,11,0,0,0,,,0,0,0,0,8,0,0,3,34,19,0,0,,0.0,0.0,9.4,55.9
中村真美,12,NECレッドロケッツ,8,12,0,0,0,,,0,0,0,0,22,0,1,6,8,3,0,0,,0.0,0.0,5.7,37.5
中道瞳,01,東レアローズ,15,13,1,1,0,100.0,100.0,0,0,0,0,3,0,0,1,0,0,0,1,,0.1,0.0,8.3,
中道瞳,02,東レアローズ,15,12,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
中道瞳,09,東レアローズ,15,4,0,0,0,,,0,0,0,0,7,1,0,1,0,0,0,1,,0.0,0.0,17.9,
中道瞳,10,東レアローズ,15,15,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
