名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アブラーモフパーベル,東レアローズ,4,96,707,393,59,55.6,47.2,156,93,15,39,418,43,86,131,657,499,0,475,59.6,4.1,0.4,13.0,76.0
カントルサンドロ,パナソニックパンサーズ,22,89,575,288,44,50.1,42.4,69,36,7,34,341,20,76,123,482,363,0,342,52.2,3.2,0.4,9.3,75.3
ゴメスエルナルド,豊田合成トレフェルサ,10,108,1236,654,97,52.9,45.1,547,286,52,31,398,26,90,110,6,3,0,711,52.3,6.1,0.3,7.8,50.0
サベリエフイリア,JTサンダーズ,21,92,685,358,43,52.3,46.0,128,68,9,22,348,18,58,119,500,397,0,398,53.1,3.9,0.2,9.6,79.4
ネグロンマルセーロ,堺ブレイザーズ,20,88,678,312,76,46.0,34.8,265,131,33,23,355,27,81,78,9,6,0,362,49.4,3.5,0.3,7.4,66.7
ペレイラマックス,NECブルーロケッツ,21,64,484,253,61,52.3,39.7,160,84,31,33,236,13,62,52,1,1,0,299,52.5,4.0,0.5,4.4,100.0
モンテイロジョエル,サントリーサンバーズ,14,109,908,456,109,50.2,38.2,302,148,54,25,394,38,123,95,1,0,0,519,49.0,4.2,0.2,7.9,0.0
上田剛史,サントリーサンバーズ,5,18,41,18,6,43.9,29.3,3,2,0,2,28,0,5,4,24,17,0,20,66.7,1.0,0.1,-0.9,70.8
丸山利明,旭化成スパーキッズ,9,71,179,62,17,34.6,25.1,13,2,3,8,183,6,42,29,301,239,0,76,15.4,0.9,0.1,1.5,79.4
丹山禎昭,JTサンダーズ,5,36,5,3,1,60.0,40.0,0,0,0,4,43,2,8,7,0,0,0,9,,0.1,0.1,4.1,
久保尚志,パナソニックパンサーズ,11,97,0,0,0,,,0,0,0,0,11,0,8,1,460,321,0,0,,0.0,0.0,-15.9,69.8
五十嵐元,豊田合成トレフェルサ,12,9,34,11,2,32.4,26.5,3,1,0,0,22,0,5,6,32,19,0,11,33.3,1.2,0.0,1.1,59.4
今井啓介,パナソニックパンサーズ,4,106,198,120,10,60.6,55.6,0,0,0,59,294,4,18,49,21,14,0,183,,1.1,0.6,4.0,66.7
今田祐介,東レアローズ,14,48,278,123,19,44.2,37.4,44,20,4,13,134,5,29,33,174,117,0,141,45.5,2.6,0.3,4.5,67.2
伊藤信博,堺ブレイザーズ,15,82,203,101,11,49.8,44.3,0,0,0,45,255,11,43,45,13,7,0,157,,1.2,0.5,4.5,53.8
伊藤淳,旭化成スパーキッズ,7,28,11,6,2,54.5,36.4,0,0,0,0,14,1,0,2,0,0,0,7,,0.2,0.0,10.7,
佐々木太一,サントリーサンバーズ,2,94,258,139,13,53.9,48.8,0,0,0,46,300,9,40,89,14,8,0,194,,1.5,0.5,7.1,57.1
佐藤和夫,豊田合成トレフェルサ,17,89,90,38,15,42.2,25.6,47,17,12,9,139,9,24,42,1,0,0,56,36.2,0.4,0.1,9.7,0.0
内冨寛法,JTサンダーズ,17,67,380,179,47,47.1,34.7,129,56,30,12,187,10,57,48,7,4,0,201,43.4,2.7,0.2,4.1,57.1
前田悟,JTサンダーズ,11,87,43,23,4,53.5,44.2,0,0,0,19,263,11,40,65,6,0,0,53,,0.3,0.2,6.6,0.0
勝俣康之,豊田合成トレフェルサ,14,71,0,0,0,,,0,0,0,0,0,0,0,0,325,231,0,0,,0.0,0.0,,71.1
北島武,堺ブレイザーズ,4,13,67,32,4,47.8,41.8,4,3,0,1,27,0,10,2,38,24,0,33,75.0,2.5,0.1,-7.4,63.2
北川祐介,パナソニックパンサーズ,9,101,305,190,8,62.3,59.7,0,0,0,86,312,1,0,24,37,27,0,277,,1.9,0.9,2.2,73.0
千葉進也,堺ブレイザーズ,6,64,355,175,44,49.3,36.9,97,47,13,19,204,12,30,46,179,129,0,206,48.5,2.7,0.3,7.8,72.1
南克幸,旭化成スパーキッズ,23,74,252,138,13,54.8,49.6,2,1,0,45,259,6,8,66,21,19,0,189,50.0,1.9,0.6,7.9,90.5
