名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
スコットダニエル,パイオニアレッドウィングス,23,12,79,36,4,45.6,40.5,1,1,0,8,28,1,2,9,0,0,0,45,100.0,3.0,0.7,9.8,
上田かおり,東レアローズ,7,4,10,3,0,30.0,30.0,0,0,0,1,10,0,1,3,0,0,0,4,,0.8,0.2,5.0,
五十川葉子,東レアローズ,13,3,30,15,2,50.0,43.3,0,0,0,0,9,0,0,4,10,5,0,15,,5.0,0.0,11.1,50.0
佐々木みき,パイオニアレッドウィングス,0,12,152,64,10,42.1,35.5,43,25,2,1,45,1,2,4,34,18,0,66,58.1,5.3,0.1,3.3,52.9
佐野優子,東レアローズ,10,11,0,0,0,,,0,0,0,0,0,0,0,0,86,76,0,0,,0.0,0.0,,88.4
先野久美子,久光製薬スプリングス,4,13,79,33,6,41.8,34.2,0,0,0,14,47,0,2,8,3,3,0,47,,2.5,1.1,3.2,100.0
内田役子,パイオニアレッドウィングス,14,12,4,0,0,0.0,0.0,0,0,0,5,43,1,1,7,0,0,0,6,,0.0,0.4,5.8,
冨田寧寧,東レアローズ,16,10,55,23,5,41.8,32.7,0,0,0,3,32,2,2,5,1,1,0,28,,2.3,0.3,8.6,100.0
北島真紀子,久光製薬スプリングス,12,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
吉田実代,パイオニアレッドウィングス,7,12,0,0,0,,,0,0,0,0,0,0,0,0,72,43,0,0,,0.0,0.0,,59.7
向井久子,東レアローズ,6,10,119,43,6,36.1,31.1,0,0,0,2,33,0,2,9,23,16,0,45,,4.3,0.2,5.3,69.6
坪根淳子,NECレッドロケッツ,7,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
多治見麻子,パイオニアレッドウィングス,5,12,48,14,3,29.2,22.9,0,0,0,5,43,1,4,11,50,27,0,20,,1.2,0.4,6.4,54.0
大村加奈子,久光製薬スプリングス,8,13,141,56,5,39.7,36.2,4,1,0,6,33,0,4,7,4,2,0,62,25.0,4.3,0.5,2.3,50.0
大貫美奈子,NECレッドロケッツ,3,12,70,27,2,38.6,35.7,1,0,1,4,42,2,5,8,53,33,0,33,0.0,2.2,0.3,6.5,62.3
小泉栄子,パイオニアレッドウィングス,33,8,7,2,0,28.6,28.6,0,0,0,0,17,0,0,2,10,4,0,2,,0.2,0.0,2.9,40.0
小玉佐知子,東レアローズ,4,11,6,2,0,33.3,33.3,0,0,0,1,45,1,2,6,0,0,0,4,,0.2,0.1,4.4,
