試合日,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-03-08,03,NECレッドロケッツ,東レアローズ,1,,竹下佳江,3,■,■,■,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,17,0,1,4,5.9,0,0,0,-,0
2002-03-08,03,NECレッドロケッツ,東レアローズ,2,L,津雲博子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,14,0,70.0,0
2002-03-08,03,NECレッドロケッツ,東レアローズ,3,,大貫美奈子,3,■,■,■,nan,nan,23,13,1,56.5,52.2,4.33,1,0,1,0.0,2,0.67,8,0,1,0,0.0,16,10,0,62.5,15
2002-03-08,03,NECレッドロケッツ,東レアローズ,4,,田中姿子,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,1,5.0,6,4,0,66.7,0
2002-03-08,03,NECレッドロケッツ,東レアローズ,6,,高橋みゆき,3,■,■,■,nan,nan,33,10,0,30.3,30.3,3.33,0,0,0,-,2,0.67,12,2,1,4,23.3,7,5,0,71.4,14
2002-03-08,03,NECレッドロケッツ,東レアローズ,7,,坪根淳子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-03-08,03,NECレッドロケッツ,東レアローズ,8,,杉山祥子,3,■,■,■,nan,nan,14,5,0,35.7,35.7,1.67,0,0,0,-,4,1.33,15,0,1,3,5.0,1,0,0,0.0,9
2002-03-08,03,NECレッドロケッツ,東レアローズ,11,,岡田理恵,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-03-08,03,NECレッドロケッツ,東レアローズ,12,,浦田聖子,3,■,■,■,nan,nan,20,4,1,20.0,15.0,1.33,0,0,0,-,0,-,10,0,1,4,10.0,8,6,0,75.0,4
2002-03-08,03,NECレッドロケッツ,東レアローズ,16,,山本愛,3,■,■,■,nan,nan,16,8,0,50.0,50.0,2.67,0,0,0,-,4,1.33,6,0,0,2,8.3,0,0,0,-,12
2002-03-08,03,NECレッドロケッツ,東レアローズ,18,,松崎さ代子,3,□,□,□,nan,nan,4,1,1,25.0,0.0,0.33,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
