試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-02-21,ウルフドッグス名古屋,1,,山田脩造,3,■,■,■,nan,nan,9,6,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,0,-,11,0,2,1,-2.3,22,7,8,50.0,,,,,,,,
2021-02-21,ウルフドッグス名古屋,2,,山近哲,2,■,■,nan,nan,nan,6,2,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,1,0.50,4,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,3,,クレクバルトシュ,3,■,■,■,nan,nan,35,18,3,0.5142857142857142,0.42857142857142855,6.00,15,8,2,53.3,0,-,11,0,3,2,-2.3,1,1,0,100.0,,,,,,,,
2021-02-21,ウルフドッグス名古屋,5,,前田一誠,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,10,1,0,1,12.5,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,6,,近裕崇,3,■,■,■,nan,nan,9,5,0,0.5555555555555556,0.5555555555555556,1.67,0,0,0,-,1,0.33,11,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,7,,白岩直也,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,5,0,4,40.0,,,,,,,,
2021-02-21,ウルフドッグス名古屋,8,,神谷雄飛,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,9,,ユンボンウ,1,nan,nan,■,nan,nan,2,0,2,0.0,-1.0,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,14,,椿山竜介,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,2,0,-16.7,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,20,L,川口太一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,21,,永露元稀,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,1,2,25.0,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,22,,高梨健太,3,■,■,■,nan,nan,31,16,3,0.5161290322580645,0.41935483870967744,5.33,4,2,2,50.0,0,-,10,0,3,3,0.0,21,13,5,73.8,,,,,,,,
2021-02-21,ウルフドッグス名古屋,24,L,小川智大,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,9,6,80.0,,,,,,,,
2021-02-21,ウルフドッグス名古屋,26,,山崎彰都,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-21,ウルフドッグス名古屋,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,92,47,8,0.5108695652173914,0.42391304347826086,15.67,19,10,4,52.6,2,0.67,67,2,14,11,1.9,64,30,23,64.8,81,46,2,56.8,5,1.67,-0.3,62.3
