試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-01-17,ウルフドッグス名古屋,1,,山田脩造,4,■,■,■,■,nan,11,8,0,0.7272727272727273,0.7272727272727273,2.00,0,0,0,-,0,-,14,0,2,2,0.0,35,18,4,57.1,,,,,,,,
2021-01-17,ウルフドッグス名古屋,2,,山近哲,4,■,■,■,■,nan,9,5,0,0.5555555555555556,0.5555555555555556,1.25,0,0,0,-,2,0.50,16,0,3,5,3.1,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,3,,クレクバルトシュ,4,■,■,■,■,nan,59,29,1,0.4915254237288136,0.4745762711864407,7.25,27,12,1,44.4,2,0.50,21,3,7,8,15.5,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,5,,前田一誠,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.25,15,0,0,2,3.3,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,6,,近裕崇,4,■,■,■,■,nan,10,3,1,0.3,0.2,0.75,0,0,0,-,4,1.00,16,0,3,4,1.6,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,7,,白岩直也,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,5,0,83.3,,,,,,,,
2021-01-17,ウルフドッグス名古屋,8,,神谷雄飛,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,9,,ユンボンウ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,14,,椿山竜介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,20,L,川口太一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,21,,永露元稀,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,7,1,2,3,17.9,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,22,,高梨健太,4,■,■,■,■,nan,36,16,0,0.4444444444444444,0.4444444444444444,4.00,5,2,0,40.0,2,0.50,15,1,5,2,1.7,26,10,3,44.2,,,,,,,,
2021-01-17,ウルフドッグス名古屋,24,L,小川智大,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,14,2,71.4,,,,,,,,
2021-01-17,ウルフドッグス名古屋,26,,山崎彰都,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-17,ウルフドッグス名古屋,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,126,61,2,0.48412698412698413,0.46825396825396826,15.25,32,14,1,43.8,11,2.75,105,5,22,27,6.0,88,47,9,58.5,132,67,10,50.8,5,1.25,4.7,54.3
