名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オムルチェンイゴール,2014-04,JTサンダーズ,15,5,58,25,5,43.1,34.5,26,12,2,1,26,6,3,10,0,0,0,32,46.2,5.0,0.2,29.8,
ダンチアマラウ,2014-04,パナソニックパンサーズ,18,5,38,14,2,36.8,31.6,6,4,0,2,17,0,3,6,35,21,0,16,66.7,2.8,0.4,4.4,60.0
ペピチミラン,2014-04,堺ブレイザーズ,6,5,50,23,9,46.0,28.0,22,10,7,1,18,1,4,5,0,0,0,25,45.5,4.6,0.2,6.9,
ボヨビッチデヤン,2014-04,東レアローズ,12,5,50,23,1,46.0,44.0,20,10,0,1,12,0,3,4,0,0,0,24,50.0,4.6,0.2,2.1,
井上俊輔,2014-04,JTサンダーズ,19,4,1,0,0,0.0,0.0,1,0,0,1,7,0,2,2,1,0,0,1,0.0,0.0,0.25,0.0,0.0
井上裕介,2014-04,堺ブレイザーズ,2,5,0,0,0,,,0,0,0,0,0,0,0,0,17,10,0,0,,0.0,0.0,,58.8
井手智,2014-04,東レアローズ,22,3,0,0,0,,,0,0,0,0,0,0,0,0,16,10,0,0,,0.0,0.0,,62.5
今村駿,2014-04,堺ブレイザーズ,19,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
伊東勇樹,2014-04,パナソニックパンサーズ,4,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
伊藤康貴,2014-04,堺ブレイザーズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐川翔,2014-04,堺ブレイザーズ,8,5,1,0,0,0.0,0.0,0,0,0,2,9,0,0,3,0,0,0,2,,0.0,0.4,8.3,
八子大輔,2014-04,JTサンダーズ,7,5,29,13,1,44.8,41.4,1,0,0,0,9,0,2,1,21,16,0,13,0.0,2.6,0.0,-2.8,76.2
内藤和也,2014-04,堺ブレイザーズ,5,5,17,8,2,47.1,35.3,0,0,0,3,14,1,2,8,1,0,0,12,,1.6,0.6,17.9,0.0
出耒田敬,2014-04,堺ブレイザーズ,7,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
北島武,2014-04,堺ブレイザーズ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
千々木駿介,2014-04,堺ブレイザーズ,10,5,34,11,2,32.4,26.5,8,2,2,4,25,0,1,12,24,16,0,15,25.0,2.2,0.8,11.0,66.7
國近公太,2014-04,JTサンダーズ,4,2,0,0,0,,,0,0,0,0,2,0,1,0,5,4,0,0,,0.0,0.0,-12.5,80.0
坂梨朋彦,2014-04,堺ブレイザーズ,14,2,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,,0.0,0.0,,75.0
大上正裕,2014-04,JTサンダーズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大木貴之,2014-04,東レアローズ,20,4,21,11,0,52.4,52.4,4,1,0,1,12,0,1,4,15,8,0,12,25.0,2.75,0.25,6.2,53.3
大竹貴久,2014-04,パナソニックパンサーズ,16,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
安井勇誠,2014-04,JTサンダーズ,11,5,0,0,0,,,0,0,0,0,10,1,2,2,0,0,0,1,,0.0,0.0,10.0,
安永拓弥,2014-04,JTサンダーズ,1,5,9,4,1,44.4,33.3,0,0,0,4,10,0,1,3,0,0,0,8,,0.8,0.8,5.0,
富松崇彰,2014-04,東レアローズ,1,5,8,5,0,62.5,62.5,0,0,0,7,13,1,0,6,2,1,0,13,,1.0,1.4,19.2,50.0
小澤翔,2014-04,JTサンダーズ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本拓矢,2014-04,パナソニックパンサーズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山添信也,2014-04,パナソニックパンサーズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川村慎二,2014-04,パナソニックパンサーズ,8,1,1,0,1,0.0,-100.0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
木場田和希,2014-04,堺ブレイザーズ,15,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
松岡祐太,2014-04,堺ブレイザーズ,13,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
松本慶彦,2014-04,堺ブレイザーズ,1,5,18,11,1,61.1,55.6,0,0,0,6,18,0,0,4,2,1,0,17,,2.2,1.2,5.6,50.0
枩田優介,2014-04,パナソニックパンサーズ,13,5,4,3,0,75.0,75.0,0,0,0,1,16,0,0,3,0,0,0,4,,0.6,0.2,4.7,
永野健,2014-04,パナソニックパンサーズ,17,5,0,0,0,,,0,0,0,0,0,0,0,0,23,19,0,0,,0.0,0.0,,82.6
深津旭弘,2014-04,JTサンダーズ,17,3,0,0,0,,,0,0,0,0,7,0,0,1,0,0,0,0,,0.0,0.0,3.6,
深津英臣,2014-04,パナソニックパンサーズ,2,5,0,0,0,,,0,0,0,1,14,0,0,3,0,0,0,1,,0.0,0.2,5.4,
清水邦広,2014-04,パナソニックパンサーズ,1,5,36,18,3,50.0,41.7,18,7,2,1,18,0,1,8,3,1,0,19,38.9,3.6,0.2,9.7,33.3
渡辺奏吾,2014-04,パナソニックパンサーズ,5,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
瀬戸口竜矢,2014-04,東レアローズ,8,2,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
王金剛,2014-04,東レアローズ,11,5,4,2,2,50.0,0.0,0,0,0,0,12,0,1,7,0,0,0,2,,0.4,0.0,12.5,
田辺修,2014-04,東レアローズ,2,3,0,0,0,,,0,0,0,0,0,0,0,0,13,8,0,0,,0.0,0.0,,61.5
町野仁志,2014-04,JTサンダーズ,2,5,8,4,0,50.0,50.0,0,0,0,4,12,0,1,0,0,0,0,8,,0.8,0.8,-2.1,
白澤健児,2014-04,パナソニックパンサーズ,6,5,8,4,1,50.0,37.5,0,0,0,4,13,0,1,2,0,0,0,8,,0.8,0.8,1.9,
相澤寿,2014-04,東レアローズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
石島雄介,2014-04,堺ブレイザーズ,3,5,23,11,1,47.8,43.5,2,0,0,4,19,1,0,6,41,25,0,16,0.0,2.2,0.8,13.2,61.0
神田聖馬,2014-04,JTサンダーズ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
福澤達哉,2014-04,パナソニックパンサーズ,15,5,42,17,3,40.5,33.3,8,5,0,3,14,1,0,6,19,10,0,21,62.5,3.4,0.6,17.9,52.6
筧本翔昂,2014-04,JTサンダーズ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
篠田歩,2014-04,東レアローズ,17,5,5,0,1,0.0,-20.0,0,0,0,3,13,0,2,2,1,1,0,3,,0.0,0.6,0.0,100.0
米山裕太,2014-04,東レアローズ,5,5,35,15,4,42.9,31.4,5,2,2,1,23,1,1,6,40,27,0,17,40.0,3.0,0.2,9.8,67.5
角田辰徳,2014-04,東レアローズ,16,2,9,2,0,22.2,22.2,2,1,0,0,5,1,1,1,6,0,0,3,50.0,1.0,0.0,20.0,0.0
谷村孝,2014-04,パナソニックパンサーズ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
越川優,2014-04,JTサンダーズ,8,5,40,16,2,40.0,35.0,4,3,1,1,15,0,4,5,34,20,0,17,75.0,3.2,0.2,1.7,58.8
近藤茂,2014-04,東レアローズ,4,2,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0
酒井大祐,2014-04,JTサンダーズ,3,5,0,0,0,,,0,0,0,0,0,0,0,0,29,22,0,0,,0.0,0.0,,75.9
鈴木悠二,2014-04,東レアローズ,18,5,10,2,0,20.0,20.0,0,0,0,0,8,0,1,2,2,2,0,2,,0.4,0.0,3.1,100.0
黒木康太郎,2014-04,東レアローズ,19,2,1,1,0,100.0,100.0,0,0,0,0,3,0,1,1,0,0,0,1,,0.5,0.0,0.0,
