名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,久光製薬スプリングス,16,20,129,72,1,55.8,55.0,0,0,0,14,68,1,9,15,6,3,1,,3.6,0.7,3.7,58.3
オズソイネリマン,トヨタ車体クインシーズ,13,21,306,137,13,44.8,40.5,108,45,8,8,68,4,0,27,0,0,0,41.7,6.5,0.4,15.8,
クリスティアネフュルスト,デンソーエアリービーズ,21,19,96,46,7,47.9,40.6,0,0,0,7,35,1,1,9,4,2,0,,2.4,0.4,8.6,50.0
ケイディリンロルフゼン,東レアローズ,12,18,242,96,13,39.7,34.3,27,11,2,9,45,4,9,10,108,39,39,40.7,5.3,0.5,9.4,54.2
ミハイロビッチブランキツァ,JTマーヴェラス,9,19,282,115,25,40.8,31.9,83,32,10,8,63,5,10,19,3,1,2,38.6,6.1,0.4,11.5,66.7
上野香織,NECレッドロケッツ,6,4,5,0,1,0.0,-20.0,0,0,0,0,5,0,1,2,0,0,0,,0.0,0.0,5.0,
中屋夏澄,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,東レアローズ,18,18,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中川千世,デンソーエアリービーズ,7,19,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中川有美,東レアローズ,15,13,0,0,0,,,0,0,0,0,0,0,0,0,19,10,4,,0.0,0.0,,63.2
中田紫乃,東レアローズ,16,12,0,0,0,,,0,0,0,0,16,1,4,7,0,0,0,,0.0,0.0,10.9,
井上奈々朱,東レアローズ,1,17,18,5,2,27.8,16.7,1,0,0,8,53,3,10,18,0,0,0,0.0,0.3,0.5,9.4,
井上愛里沙,久光製薬スプリングス,22,5,42,20,1,47.6,45.2,3,1,0,1,14,1,0,3,30,7,8,33.3,4.0,0.2,12.5,36.7
井上琴絵,JTマーヴェラス,10,17,0,0,0,,,0,0,0,0,31,0,2,13,16,7,3,,0.0,0.0,8.9,53.1
今村優香,久光製薬スプリングス,12,13,125,54,8,43.2,36.8,6,2,1,2,36,3,3,7,5,1,2,33.3,4.2,0.2,11.1,40.0
佐藤澪,トヨタ車体クインシーズ,2,21,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
兵頭由希,デンソーエアリービーズ,14,13,0,0,0,,,0,0,0,0,17,1,0,6,1,0,0,,0.0,0.0,14.7,0.0
加藤光,久光製薬スプリングス,25,7,0,0,0,,,0,0,0,0,13,3,2,3,0,0,0,,0.0,0.0,25.0,
古藤千鶴,久光製薬スプリングス,2,14,2,2,0,100.0,100.0,0,0,0,1,41,2,3,9,1,0,0,,0.1,0.1,8.5,0.0
古賀紗理那,NECレッドロケッツ,2,19,191,60,10,31.4,26.2,29,7,3,2,84,8,11,21,143,63,35,24.1,3.2,0.1,12.5,56.3
坂本奈々香,デンソーエアリービーズ,3,17,214,67,11,31.3,26.2,10,1,1,1,52,1,6,11,150,49,40,10.0,3.9,0.1,4.3,46.0
堀川真理,東レアローズ,7,17,171,48,15,28.1,19.3,49,11,8,9,73,2,2,13,1,1,0,22.4,2.8,0.5,6.5,100.0
堀江彩,デンソーエアリービーズ,16,2,0,0,0,,,0,0,0,0,3,0,0,2,0,0,0,,0.0,0.0,16.7,
塚田しおり,NECレッドロケッツ,14,9,0,0,0,,,0,0,0,0,4,1,0,1,0,0,0,,0.0,0.0,31.2,
大野果奈,NECレッドロケッツ,5,17,65,23,1,35.4,33.8,0,0,0,7,55,2,2,12,1,0,1,,1.4,0.4,8.2,50.0
大野果歩,東レアローズ,8,4,8,2,0,25.0,25.0,0,0,0,0,6,0,0,2,0,0,0,,0.5,0.0,8.3,
奥山優奈,NECレッドロケッツ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥村麻依,JTマーヴェラス,3,19,72,33,3,45.8,41.7,0,0,0,13,68,4,1,14,0,0,0,,1.7,0.7,10.7,
安井由香子,トヨタ車体クインシーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮本菜月,デンソーエアリービーズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
家高七央子,NECレッドロケッツ,3,9,2,2,0,100.0,100.0,0,0,0,0,9,0,0,3,0,0,0,,0.2,0.0,8.3,
小口樹葉,デンソーエアリービーズ,9,19,0,0,0,,,0,0,0,0,0,0,0,0,70,21,17,,0.0,0.0,,42.1
小山綾菜,NECレッドロケッツ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
小島満菜美,NECレッドロケッツ,15,2,0,0,0,,,0,0,0,0,0,0,0,0,4,0,1,,0.0,0.0,,12.5
小川愛里奈,東レアローズ,19,18,65,24,3,36.9,32.3,0,0,0,5,30,2,1,6,9,3,2,,1.3,0.3,10.8,44.4
小川杏奈,JTマーヴェラス,13,3,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,,0.0,0.0,-8.3,
小幡真子,JTマーヴェラス,15,19,0,0,0,,,0,0,0,0,0,0,0,0,81,40,24,,0.0,0.0,,64.2
小田桃香,トヨタ車体クインシーズ,10,15,86,24,10,27.9,16.3,5,0,3,1,42,0,2,16,57,15,10,0.0,1.6,0.1,8.3,35.1
山上有紀,トヨタ車体クインシーズ,18,4,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
山内美咲,NECレッドロケッツ,13,19,130,43,6,33.1,28.5,10,2,0,4,66,3,5,26,151,64,35,20.0,2.3,0.2,12.5,54.0
山口かなめ,NECレッドロケッツ,7,19,6,3,0,50.0,50.0,0,0,0,2,66,5,4,33,0,0,0,,0.2,0.1,18.6,
山本美沙,JTマーヴェラス,16,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
山田美花,デンソーエアリービーズ,13,5,0,0,0,,,0,0,0,0,0,0,0,0,6,0,2,,0.0,0.0,,16.7
