名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,2018-02,久光製薬スプリングス,16,20,129,72,1,55.8,55.0,0,0,0,14,68,1,9,15,6,3,1,87,,3.6,0.7,3.7,58.3
オズソイネリマン,2018-02,トヨタ車体クインシーズ,13,21,306,137,13,44.8,40.5,108,45,8,8,68,4,0,27,0,0,0,149,41.7,6.52,0.38,15.8,
クリスティアネフュルスト,2018-02,デンソーエアリービーズ,21,19,96,46,7,47.9,40.6,0,0,0,7,35,1,1,9,4,2,0,54,,2.42,0.37,8.6,50.0
ケイディリンロルフゼン,2018-02,東レアローズ,12,18,242,96,13,39.7,34.3,27,11,2,9,45,4,9,10,108,39,39,109,40.7,5.33,0.5,9.4,54.2
ミハイロビッチブランキツァ,2018-02,JTマーヴェラス,9,19,282,115,25,40.8,31.9,83,32,10,8,63,5,10,19,3,1,2,128,38.6,6.05,0.42,11.5,66.7
上野香織,2018-02,NECレッドロケッツ,6,4,5,0,1,0.0,-20.0,0,0,0,0,5,0,1,2,0,0,0,0,,0.0,0.0,5.0,
中屋夏澄,2018-02,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,2018-02,東レアローズ,18,18,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中川千世,2018-02,デンソーエアリービーズ,7,19,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中川有美,2018-02,東レアローズ,15,13,0,0,0,,,0,0,0,0,0,0,0,0,19,10,4,0,,0.0,0.0,,63.2
中田紫乃,2018-02,東レアローズ,16,12,0,0,0,,,0,0,0,0,16,1,4,7,0,0,0,1,,0.0,0.0,10.9,
井上奈々朱,2018-02,東レアローズ,1,17,18,5,2,27.8,16.7,1,0,0,8,53,3,10,18,0,0,0,16,0.0,0.29,0.47,9.4,
井上愛里沙,2018-02,久光製薬スプリングス,22,5,42,20,1,47.6,45.2,3,1,0,1,14,1,0,3,30,7,8,22,33.3,4.0,0.2,12.5,36.7
井上琴絵,2018-02,JTマーヴェラス,10,17,0,0,0,,,0,0,0,0,31,0,2,13,16,7,3,0,,0.0,0.0,8.9,53.1
今村優香,2018-02,久光製薬スプリングス,12,13,125,54,8,43.2,36.8,6,2,1,2,36,3,3,7,5,1,2,59,33.3,4.15,0.15,11.1,40.0
佐藤澪,2018-02,トヨタ車体クインシーズ,2,21,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
兵頭由希,2018-02,デンソーエアリービーズ,14,13,0,0,0,,,0,0,0,0,17,1,0,6,1,0,0,1,,0.0,0.0,14.7,0.0
加藤光,2018-02,久光製薬スプリングス,25,7,0,0,0,,,0,0,0,0,13,3,2,3,0,0,0,3,,0.0,0.0,25.0,
古藤千鶴,2018-02,久光製薬スプリングス,2,14,2,2,0,100.0,100.0,0,0,0,1,41,2,3,9,1,0,0,5,,0.14,0.07,8.5,0.0
古賀紗理那,2018-02,NECレッドロケッツ,2,19,191,60,10,31.4,26.2,29,7,3,2,84,8,11,21,143,63,35,70,24.1,3.16,0.11,12.5,56.3
坂本奈々香,2018-02,デンソーエアリービーズ,3,17,214,67,11,31.3,26.2,10,1,1,1,52,1,6,11,150,49,40,69,10.0,3.94,0.06,4.3,46.0
堀川真理,2018-02,東レアローズ,7,17,171,48,15,28.1,19.3,49,11,8,9,73,2,2,13,1,1,0,59,22.4,2.82,0.53,6.5,100.0
堀江彩,2018-02,デンソーエアリービーズ,16,2,0,0,0,,,0,0,0,0,3,0,0,2,0,0,0,0,,0.0,0.0,16.7,
塚田しおり,2018-02,NECレッドロケッツ,14,9,0,0,0,,,0,0,0,0,4,1,0,1,0,0,0,1,,0.0,0.0,31.2,
大野果奈,2018-02,NECレッドロケッツ,5,17,65,23,1,35.4,33.8,0,0,0,7,55,2,2,12,1,0,1,32,,1.35,0.41,8.2,50.0
大野果歩,2018-02,東レアローズ,8,4,8,2,0,25.0,25.0,0,0,0,0,6,0,0,2,0,0,0,2,,0.5,0.0,8.3,
奥山優奈,2018-02,NECレッドロケッツ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥村麻依,2018-02,JTマーヴェラス,3,19,72,33,3,45.8,41.7,0,0,0,13,68,4,1,14,0,0,0,50,,1.74,0.68,10.7,
安井由香子,2018-02,トヨタ車体クインシーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮本菜月,2018-02,デンソーエアリービーズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
家高七央子,2018-02,NECレッドロケッツ,3,9,2,2,0,100.0,100.0,0,0,0,0,9,0,0,3,0,0,0,2,,0.22,0.0,8.3,
小口樹葉,2018-02,デンソーエアリービーズ,9,19,0,0,0,,,0,0,0,0,0,0,0,0,70,21,17,0,,0.0,0.0,,42.1
小山綾菜,2018-02,NECレッドロケッツ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小島満菜美,2018-02,NECレッドロケッツ,15,2,0,0,0,,,0,0,0,0,0,0,0,0,4,0,1,0,,0.0,0.0,,12.5
小川愛里奈,2018-02,東レアローズ,19,18,65,24,3,36.9,32.3,0,0,0,5,30,2,1,6,9,3,2,31,,1.33,0.28,10.8,44.4
小川杏奈,2018-02,JTマーヴェラス,13,3,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
小幡真子,2018-02,JTマーヴェラス,15,19,0,0,0,,,0,0,0,0,0,0,0,0,81,40,24,0,,0.0,0.0,,64.2
小田桃香,2018-02,トヨタ車体クインシーズ,10,15,86,24,10,27.9,16.3,5,0,3,1,42,0,2,16,57,15,10,25,0.0,1.6,0.07,8.3,35.1
山上有紀,2018-02,トヨタ車体クインシーズ,18,4,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
山内美咲,2018-02,NECレッドロケッツ,13,19,130,43,6,33.1,28.5,10,2,0,4,66,3,5,26,151,64,35,50,20.0,2.26,0.21,12.5,54.0
山口かなめ,2018-02,NECレッドロケッツ,7,19,6,3,0,50.0,50.0,0,0,0,2,66,5,4,33,0,0,0,10,,0.16,0.11,18.6,
山本美沙,2018-02,JTマーヴェラス,16,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山田美花,2018-02,デンソーエアリービーズ,13,5,0,0,0,,,0,0,0,0,0,0,0,0,6,0,2,0,,0.0,0.0,,16.7
岩坂名奈,2018-02,久光製薬スプリングス,4,20,67,28,5,41.8,34.3,0,0,0,14,54,0,3,10,1,1,0,42,,1.4,0.7,3.2,100.0
岩崎紗也加,2018-02,NECレッドロケッツ,10,19,0,0,0,,,0,0,0,0,0,0,0,0,71,31,12,0,,0.0,0.0,,52.1
島村春世,2018-02,NECレッドロケッツ,1,19,105,45,5,42.9,38.1,1,0,0,13,50,1,5,16,2,0,0,59,0.0,2.37,0.68,7.5,0.0
工藤嶺,2018-02,デンソーエアリービーズ,4,5,31,7,2,22.6,16.1,0,0,0,0,5,0,2,2,24,6,8,7,,1.4,0.0,0.0,41.7
帯川きよら,2018-02,久光製薬スプリングス,13,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
座安琴希,2018-02,久光製薬スプリングス,10,13,0,0,0,,,0,0,0,0,0,0,0,0,17,8,4,0,,0.0,0.0,,58.8
廣瀬七海,2018-02,NECレッドロケッツ,12,7,6,0,1,0.0,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
戸江真奈,2018-02,久光製薬スプリングス,18,20,0,0,0,,,0,0,0,0,0,0,0,0,49,26,10,0,,0.0,0.0,,63.3
新鍋理沙,2018-02,久光製薬スプリングス,3,16,66,25,4,37.9,31.8,0,0,0,2,73,5,4,15,83,49,10,32,,1.56,0.12,10.6,65.1
朝日優衣,2018-02,デンソーエアリービーズ,8,11,25,9,1,36.0,32.0,1,0,0,0,14,0,1,5,22,4,8,9,0.0,0.82,0.0,7.1,36.4
木村美里,2018-02,東レアローズ,6,18,0,0,0,,,0,0,0,0,0,0,0,0,61,26,14,0,,0.0,0.0,,54.1
杉原若葉,2018-02,東レアローズ,11,4,5,2,0,40.0,40.0,0,0,0,0,9,1,1,2,0,0,0,3,,0.5,0.0,13.9,
杉郁香,2018-02,トヨタ車体クインシーズ,15,1,1,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
村永奈央,2018-02,トヨタ車体クインシーズ,6,9,41,17,1,41.5,39.0,1,0,0,5,19,0,2,9,42,17,9,22,0.0,1.89,0.56,9.2,51.2
柳田光綺,2018-02,NECレッドロケッツ,8,18,178,72,13,40.4,33.1,32,11,3,1,61,2,11,13,2,1,1,75,34.4,4.0,0.06,4.1,75.0
栄絵里香,2018-02,久光製薬スプリングス,11,11,2,1,0,50.0,50.0,0,0,0,0,32,1,0,7,1,0,0,2,,0.09,0.0,8.6,0.0
森谷史佳,2018-02,久光製薬スプリングス,14,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
榊原美沙都,2018-02,トヨタ車体クインシーズ,8,21,0,0,0,,,0,0,0,0,0,0,0,0,95,47,26,0,,0.0,0.0,,63.2
橘井友香,2018-02,JTマーヴェラス,4,15,3,2,0,66.7,66.7,0,0,0,0,21,0,3,2,9,3,3,2,,0.13,0.0,-1.2,50.0
比金桃子,2018-02,トヨタ車体クインシーズ,4,21,3,3,0,100.0,100.0,0,0,0,0,65,1,1,26,0,0,0,4,,0.14,0.0,11.2,
渡邊彩,2018-02,トヨタ車体クインシーズ,12,21,50,30,2,60.0,56.0,0,0,0,9,74,7,4,20,1,0,1,46,,1.43,0.43,14.9,50.0
田中瑞稀,2018-02,JTマーヴェラス,2,11,31,13,1,41.9,38.7,2,1,0,1,20,1,2,1,38,17,10,15,50.0,1.18,0.09,3.8,57.9
田中美咲,2018-02,JTマーヴェラス,7,19,12,8,0,66.7,66.7,0,0,0,4,69,0,5,27,0,0,0,12,,0.42,0.21,8.0,
田代佳奈美,2018-02,東レアローズ,5,17,11,7,0,63.6,63.6,0,0,0,2,67,3,5,25,0,0,0,12,,0.41,0.12,11.9,
田原愛里,2018-02,デンソーエアリービーズ,17,17,3,1,0,33.3,33.3,0,0,0,1,41,2,6,11,0,0,0,4,,0.06,0.06,7.9,
白井美沙紀,2018-02,東レアローズ,14,7,0,0,0,,,0,0,0,0,9,1,5,0,0,0,0,1,,0.0,0.0,-2.8,
目黒優佳,2018-02,JTマーヴェラス,11,19,72,27,1,37.5,36.1,0,0,0,0,59,3,4,7,140,72,34,30,,1.42,0.0,6.4,63.6
石井優希,2018-02,久光製薬スプリングス,6,20,221,63,12,28.5,23.1,7,2,0,6,91,2,3,20,154,70,38,71,28.6,3.15,0.3,6.9,57.8
石井里沙,2018-02,デンソーエアリービーズ,5,19,46,20,1,43.5,41.3,0,0,0,8,78,1,2,17,2,1,1,29,,1.05,0.42,6.1,75.0
石川真奈,2018-02,東レアローズ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
石田瑞穂,2018-02,デンソーエアリービーズ,22,19,176,63,13,35.8,28.4,31,12,4,6,77,4,4,29,3,2,1,73,38.7,3.32,0.32,13.3,83.3
積山春花,2018-02,デンソーエアリービーズ,2,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
竹田沙希,2018-02,トヨタ車体クインシーズ,1,7,20,3,3,15.0,0.0,0,0,0,1,13,0,0,6,40,10,9,4,,0.43,0.14,11.5,36.2
筒井さやか,2018-02,久光製薬スプリングス,20,9,0,0,0,,,0,0,0,0,0,0,0,0,47,28,10,0,,0.0,0.0,,70.2
芥川愛加,2018-02,JTマーヴェラス,1,19,78,39,8,50.0,39.7,0,0,0,13,54,2,8,14,0,0,0,54,,2.05,0.68,6.5,
荒木絵里香,2018-02,トヨタ車体クインシーズ,11,21,78,37,7,47.4,38.5,0,0,0,17,92,6,7,38,1,1,0,60,,1.76,0.81,14.9,100.0
荒谷栞,2018-02,NECレッドロケッツ,16,6,26,6,5,23.1,3.8,5,1,2,0,9,1,1,2,7,0,3,7,20.0,1.0,0.0,13.9,21.4
野本梨佳,2018-02,久光製薬スプリングス,8,14,98,29,5,29.6,24.5,4,0,2,2,30,1,1,9,8,2,4,32,0.0,2.07,0.14,10.0,50.0
野村明日香,2018-02,東レアローズ,9,13,11,6,2,54.5,36.4,0,0,0,0,19,1,3,9,15,1,7,7,,0.46,0.0,13.2,30.0
