名前,年月,チーム,背番号,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
デラクルス デ ペニャベタニア,2008-04,東レアローズ,18,4,0.0,47,27,5,57.4,46.8,12,5,3,2,22,3,5,8,0,0,0,32,41.7,6.75,0.5,17.0,
パブロワイエレナ,2008-04,久光製薬スプリングス,11,4,0.0,73,32,5,43.8,37.0,13,5,2,2,7,1,3,1,0,0,0,35,38.5,8.0,0.5,7.1,
ロンドンシンディ,2008-04,デンソーエアリービーズ,28,4,0.0,39,19,4,48.7,38.5,2,2,0,2,14,0,4,2,1,1,0,21,100.0,4.75,0.5,-3.6,100.0
三上彩,2008-04,久光製薬スプリングス,13,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中道瞳,2008-04,東レアローズ,8,4,0.0,1,1,0,100.0,100.0,0,0,0,0,20,0,1,6,1,0,0,1,,0.25,0.0,6.2,0.0
井上香織,2008-04,デンソーエアリービーズ,8,4,0.0,15,7,1,46.7,40.0,0,0,0,3,8,0,1,3,0,0,0,10,,1.75,0.75,6.2,
仁木希,2008-04,久光製薬スプリングス,1,4,0.0,21,6,1,28.6,23.8,0,0,0,1,15,0,2,5,22,12,0,7,,1.5,0.25,5.0,54.5
佐藤美耶,2008-04,東レアローズ,12,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐野優子,2008-04,久光製薬スプリングス,10,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,28,24,0,0,,0.0,0.0,,85.7
先野久美子,2008-04,久光製薬スプリングス,4,4,0.0,24,11,1,45.8,41.7,0,0,0,3,20,2,0,6,0,0,0,16,,2.75,0.75,17.5,
