試合日,年月,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,1,,吉田みなみ,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,3,0,0,0.0,0
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,2,,山口舞,4,■,■,■,■,,20,11,1,55.0,50.0,2.75,1,0,0,0.0,0,-,17,0,1,3,4.4,19,13,0,68.4,11
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,3,,米村信子,4,□,□,■,■,,29,7,2,24.1,17.2,1.75,0,0,0,-,0,-,7,0,0,2,7.1,10,7,0,70.0,7
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,4,,野村まり,4,■,■,■,■,,11,2,0,18.2,18.2,0.50,0,0,0,-,2,0.50,8,0,0,2,6.2,2,1,0,50.0,4
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,7,,神田千絵,2,□,,,□,,5,1,1,20.0,0.0,0.50,0,0,0,-,1,0.50,1,0,0,0,0.0,0,0,0,-,2
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,12,,村田奈都美,2,■,■,,,,16,3,2,18.8,6.2,1.50,1,0,0,0.0,0,-,6,0,0,0,0.0,2,1,0,50.0,3
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,15,,岡野弘子,4,■,■,■,■,,0,0,0,,,-,0,0,0,-,1,0.25,14,0,0,7,12.5,0,0,0,-,1
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,18,L,金森純子,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,10,0,50.0,0
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,21,,森和代,4,■,■,■,■,,30,11,2,36.7,30.0,2.75,0,0,0,-,5,1.25,12,0,1,5,10.4,14,6,0,42.9,16
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,33,,若浦貴子,4,■,■,■,■,,45,16,2,35.6,31.1,4.00,0,0,0,-,1,0.25,8,0,0,1,3.1,8,4,0,50.0,17
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,41,,小菅真弓,3,□,□,,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2008-04-06,2008-04,4,岡山シーガルズ,久光製薬スプリングス,55,,堀田理恵,3,□,□,,□,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,2,12.5,6,4,0,66.7,0
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,1,,仁木希,4,■,■,■,■,,21,6,1,28.6,23.8,1.50,0,0,0,-,1,0.25,15,0,2,5,8.3,22,12,0,54.5,7
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,2,,榛澤舞子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,4,,先野久美子,4,■,■,■,■,,24,11,1,45.8,41.7,2.75,0,0,0,-,3,0.75,20,2,0,6,15.5,0,0,0,-,16
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,7,,狩野美雪,4,■,■,■,■,,34,12,2,35.3,29.4,3.00,0,0,0,-,0,-,17,0,1,6,8.8,29,21,0,72.4,12
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,8,,大村加奈子,4,■,■,■,■,,11,2,1,18.2,9.1,0.50,0,0,0,-,1,0.25,14,1,0,9,21.8,0,0,0,-,4
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,9,,平井香菜子,3,,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,10,L,佐野優子,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,24,0,85.7,0
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,11,,パブロワイエレナ,4,■,■,■,■,,73,32,5,43.8,37.0,8.00,13,5,2,38.5,2,0.50,7,1,3,1,17.9,0,0,0,-,35
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,12,,渡辺真由美,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,13,,三上彩,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,17,,橋本直子,4,■,■,■,■,,5,4,0,80.0,80.0,1.00,0,0,0,-,0,-,10,0,0,5,12.5,0,0,0,-,4
2008-04-06,2008-04,4,久光製薬スプリングス,岡山シーガルズ,18,,筒井視穂子,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-,0
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,1,,向井久子,2,,□,,□,,2,1,0,50.0,50.0,0.50,0,0,0,-,0,-,2,0,1,1,12.5,2,1,0,50.0,1
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,2,,芝田安希,4,■,■,■,■,,22,7,0,31.8,31.8,1.75,0,0,0,-,3,0.75,10,0,0,5,12.5,24,16,0,66.7,10
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,3,,西脇万里子,1,,,,□,,5,2,1,40.0,20.0,2.00,0,0,0,-,0,-,9,0,0,6,16.7,0,0,0,-,2
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,4,,冨田寧寧,4,■,■,■,■,,9,2,2,22.2,0.0,0.50,0,0,0,-,2,0.50,5,0,1,0,0.0,0,0,0,-,4
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,6,,荒木絵里香,4,■,■,■,■,,19,10,1,52.6,47.4,2.50,0,0,0,-,4,1.00,12,1,1,5,17.1,0,0,0,-,15
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,7,L,濱口華菜里,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,18,0,69.2,0
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,8,,中道瞳,4,■,■,■,■,,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,20,0,1,6,7.5,1,0,0,0.0,1
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,9,,大山未希,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,11,,木村沙織,4,■,■,■,■,,31,7,1,22.6,19.4,1.75,1,0,0,0.0,2,0.50,12,2,0,2,17.5,24,17,0,70.8,11
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,12,,佐藤美耶,3,,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,13,,高田ありさ,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,1,0,1,41.7,0,0,0,-,1
2008-04-06,2008-04,4,東レアローズ,デンソーエアリービーズ,18,,デラクルス デ ペニャベタニア,4,■,■,■,■,,47,27,5,57.4,46.8,6.75,12,5,3,41.7,2,0.50,22,3,5,8,21.8,0,0,0,-,32
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,1,,眞恵子,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,2,,矢野美子,4,■,■,■,■,,8,5,1,62.5,50.0,1.25,0,0,0,-,1,0.25,19,1,2,5,11.8,0,0,0,-,7
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,3,,福田舞,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,4,,細田絵理,4,■,■,■,■,,36,7,0,19.4,19.4,1.75,0,0,0,-,2,0.50,17,1,0,5,12.1,29,14,0,48.3,10
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,5,,岡野知子,4,■,■,■,■,,25,11,0,44.0,44.0,2.75,0,0,0,-,2,0.50,9,0,1,4,11.1,28,18,0,64.3,13
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,6,,横山雅美,4,■,■,■,■,,3,2,0,66.7,66.7,0.50,0,0,0,-,1,0.25,12,0,1,2,4.2,0,0,0,-,3
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,7,,石田さやか,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,1,0,0,0.0,0
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,8,,井上香織,4,■,■,■,■,,15,7,1,46.7,40.0,1.75,0,0,0,-,3,0.75,8,0,1,3,9.4,0,0,0,-,10
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,9,L,櫻井由香,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,8,0,47.1,0
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,10,,木村智香子,1,,,,□,,5,0,1,0.0,-20.0,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0,0
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,16,,片下恭子,3,,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,6,4,0,66.7,0
2008-04-06,2008-04,4,デンソーエアリービーズ,東レアローズ,28,,ロンドンシンディ,4,■,■,■,■,,39,19,4,48.7,38.5,4.75,2,2,0,100.0,2,0.50,14,0,4,2,3.6,1,1,0,100.0,21
