名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カントルサンドロ,2005-10,パナソニックパンサーズ,22,50,17,109,50,10,45.9,36.7,8,2,0,7,59,2,14,14,120,91,0,59,25.0,2.94,0.41,3.4,75.8
カントルサンドロ,2005-12,パナソニックパンサーズ,22,84,30,220,101,14,45.9,39.5,22,11,2,18,112,4,22,39,156,115,0,123,50.0,3.37,0.6,7.4,73.7
カントルサンドロ,2006-01,パナソニックパンサーズ,22,6,21,158,80,9,50.6,44.9,24,6,2,14,71,3,17,24,101,69,0,97,25.0,3.81,0.67,6.7,68.3
カントルサンドロ,2006-02,パナソニックパンサーズ,22,14,27,199,102,12,51.3,45.2,35,7,6,15,99,3,14,43,142,106,0,120,20.0,3.78,0.56,10.4,74.6
カントルサンドロ,2006-03,パナソニックパンサーズ,22,3,4,21,12,2,57.1,47.6,2,1,0,1,14,0,5,8,17,11,0,13,50.0,3.0,0.25,5.4,64.7
ガードナーガブリエル,2005-10,JTサンダーズ,15,50,16,134,69,17,51.5,38.8,34,18,7,5,61,4,12,23,93,58,0,78,52.9,4.31,0.31,11.1,62.4
ガードナーガブリエル,2005-12,JTサンダーズ,15,84,27,238,131,16,55.0,48.3,56,27,8,9,110,6,18,38,94,55,0,146,48.2,4.85,0.33,10.0,58.5
ガードナーガブリエル,2006-01,JTサンダーズ,15,8,33,280,145,27,51.8,42.1,89,44,9,12,107,5,28,33,132,75,0,162,49.4,4.39,0.36,5.8,56.8
ガードナーガブリエル,2006-02,JTサンダーズ,15,14,27,249,137,23,55.0,45.8,73,40,10,11,118,6,22,35,135,78,0,154,54.8,5.07,0.41,7.8,57.8
ガードナーガブリエル,2006-03,JTサンダーズ,15,3,3,27,18,1,66.7,63.0,6,3,1,3,15,1,1,5,9,4,0,22,50.0,6.0,1.0,13.3,44.4
ディアズルイス,2005-10,東レアローズ,18,40,5,40,19,1,47.5,45.0,8,5,1,3,20,1,5,4,27,15,0,23,62.5,3.8,0.6,3.8,55.6
ディアズルイス,2005-12,東レアローズ,18,84,21,173,94,15,54.3,45.7,38,24,5,10,66,1,11,11,100,73,0,105,63.2,4.48,0.48,1.5,73.0
ディアズルイス,2006-01,東レアローズ,18,8,33,306,152,28,49.7,40.5,69,38,11,16,115,2,20,31,171,94,0,170,55.1,4.61,0.48,4.1,55.0
ディアズルイス,2006-02,東レアローズ,18,14,25,203,123,8,60.6,56.7,57,36,4,7,92,2,23,20,124,72,0,132,63.2,4.92,0.28,1.4,58.1
ディアズルイス,2006-03,東レアローズ,18,3,3,23,11,1,47.8,43.5,7,2,1,0,5,0,1,2,12,6,0,11,28.6,3.67,0.0,5.0,50.0
トーマスサムエルボ,2005-10,豊田合成トレフェルサ,6,50,19,139,68,10,48.9,41.7,38,18,5,7,72,4,14,26,83,68,0,79,47.4,3.58,0.37,9.7,81.9
トーマスサムエルボ,2005-12,豊田合成トレフェルサ,6,48,13,97,44,4,45.4,41.2,30,12,3,3,39,1,7,10,78,52,0,48,40.0,3.38,0.23,4.5,66.7
トーマスサムエルボ,2006-01,豊田合成トレフェルサ,6,7,28,247,125,13,50.6,45.3,74,40,9,2,96,0,13,24,194,131,0,127,54.1,4.46,0.07,2.9,67.5
ピントロドリゴ,2005-10,堺ブレイザーズ,10,50,18,188,96,22,51.1,39.4,89,44,11,6,66,8,26,18,0,0,0,110,49.4,5.33,0.33,9.1,
ピントロドリゴ,2005-12,堺ブレイザーズ,10,84,24,230,95,30,41.3,28.3,109,42,18,13,83,5,28,23,0,0,0,113,38.5,3.96,0.54,4.5,
ピントロドリゴ,2006-01,堺ブレイザーズ,10,8,33,309,153,21,49.5,42.7,145,71,15,20,117,4,30,30,3,3,0,177,49.0,4.64,0.61,3.4,100.0
ピントロドリゴ,2006-02,堺ブレイザーズ,10,14,27,238,127,12,53.4,48.3,106,55,7,12,101,2,24,20,1,1,0,141,51.9,4.7,0.44,1.0,100.0
ピントロドリゴ,2006-03,堺ブレイザーズ,10,3,3,32,19,2,59.4,53.1,19,11,2,1,9,0,3,3,0,0,0,20,57.9,6.33,0.33,0.0,
ペレイラマックス,2005-12,NECブルーロケッツ,21,84,12,73,42,9,57.5,45.2,26,11,4,3,43,2,6,7,0,0,0,47,42.3,3.5,0.25,5.2,
ペレイラマックス,2006-01,NECブルーロケッツ,21,6,23,178,106,14,59.6,51.7,63,40,4,4,88,3,15,23,0,0,0,113,63.5,4.61,0.17,5.7,
ペレイラマックス,2006-02,NECブルーロケッツ,21,14,30,264,144,23,54.5,45.8,117,57,16,6,114,5,22,30,0,0,0,155,48.7,4.8,0.2,6.1,
ペレイラマックス,2006-03,NECブルーロケッツ,21,3,1,7,2,0,28.6,28.6,5,2,0,0,2,0,0,0,0,0,0,2,40.0,2.0,0.0,0.0,
モンテイロジョエル,2005-10,サントリーサンバーズ,14,50,18,148,73,15,49.3,39.2,61,29,7,7,65,2,12,25,1,1,0,82,47.5,4.06,0.39,8.1,100.0
モンテイロジョエル,2005-12,サントリーサンバーズ,14,84,22,162,70,19,43.2,31.5,47,23,8,7,63,2,16,22,0,0,0,79,48.9,3.18,0.32,5.6,
モンテイロジョエル,2006-01,サントリーサンバーズ,14,8,34,301,152,26,50.5,41.9,125,62,11,17,126,9,25,50,1,1,0,178,49.6,4.47,0.5,12.1,100.0
モンテイロジョエル,2006-02,サントリーサンバーズ,14,14,27,233,118,28,50.6,38.6,102,51,17,9,104,8,23,50,0,0,0,135,50.0,4.37,0.33,14.2,
モンテイロジョエル,2006-03,サントリーサンバーズ,14,3,3,22,10,3,45.5,31.8,7,2,0,0,10,1,6,2,0,0,0,11,28.6,3.33,0.0,0.0,
上田剛史,2005-12,サントリーサンバーズ,5,48,2,10,6,2,60.0,40.0,2,2,0,0,5,0,0,1,2,2,0,6,100.0,3.0,0.0,5.0,100.0
上田剛史,2006-01,サントリーサンバーズ,5,3,2,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,0.0,,
上田剛史,2006-02,サントリーサンバーズ,5,6,6,13,6,2,46.2,30.8,2,0,1,0,9,1,1,2,20,13,0,7,0.0,1.0,0.0,13.9,65.0
丸山利明,2005-10,旭化成スパーキッズ,9,40,10,0,0,0,,,0,0,0,0,17,2,5,2,4,2,0,2,,0.0,0.0,7.4,50.0
丸山利明,2005-12,旭化成スパーキッズ,9,84,18,35,16,1,45.7,42.9,3,1,0,0,39,1,9,5,62,50,0,17,33.3,0.89,0.0,0.0,80.6
丸山利明,2006-01,旭化成スパーキッズ,9,8,21,76,37,4,48.7,43.4,12,7,1,4,56,1,11,16,127,91,0,42,58.3,1.76,0.19,4.0,71.7
丸山利明,2006-02,旭化成スパーキッズ,9,14,23,92,38,7,41.3,33.7,15,8,0,5,81,1,7,21,181,119,0,44,53.3,1.65,0.22,5.6,65.7
丸山利明,2006-03,旭化成スパーキッズ,9,3,3,19,3,1,15.8,10.5,2,1,0,2,10,0,1,2,14,10,0,5,50.0,1.0,0.67,2.5,71.4
丹山禎昭,2005-12,JTサンダーズ,5,12,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
丹山禎昭,2006-02,JTサンダーズ,5,2,4,0,0,0,,,0,0,0,1,9,0,0,2,0,0,0,1,,0.0,0.25,5.6,
丹山禎昭,2006-03,JTサンダーズ,5,3,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
久保尚志,2005-10,パナソニックパンサーズ,11,50,9,0,0,0,,,0,0,0,0,7,2,0,2,17,13,0,2,,0.0,0.0,35.7,76.5
久保尚志,2005-12,パナソニックパンサーズ,11,60,20,0,0,0,,,0,0,0,0,18,0,1,6,27,22,0,0,,0.0,0.0,6.9,81.5
久保尚志,2006-01,パナソニックパンサーズ,11,7,20,0,0,0,,,0,0,0,0,30,1,4,11,8,5,0,1,,0.0,0.0,9.2,62.5
久保尚志,2006-02,パナソニックパンサーズ,11,12,18,0,0,0,,,0,0,0,0,29,0,7,11,1,1,0,0,,0.0,0.0,3.4,100.0
五十嵐元,2005-10,豊田合成トレフェルサ,12,50,18,101,40,10,39.6,29.7,9,4,4,4,66,0,12,14,80,58,0,44,44.4,2.22,0.22,0.8,72.5
五十嵐元,2005-12,豊田合成トレフェルサ,12,84,23,157,67,7,42.7,38.2,35,14,3,4,90,1,8,15,136,102,0,72,40.0,2.91,0.17,3.1,75.0
五十嵐元,2006-01,豊田合成トレフェルサ,12,8,16,82,39,6,47.6,40.2,9,3,3,1,65,1,11,13,72,41,0,41,33.3,2.44,0.06,2.3,56.9
五十嵐元,2006-02,豊田合成トレフェルサ,12,14,26,167,81,9,48.5,43.1,18,7,1,6,93,6,16,16,239,172,0,93,38.9,3.12,0.23,6.5,72.0
五十嵐元,2006-03,豊田合成トレフェルサ,12,3,5,36,12,3,33.3,25.0,5,1,2,2,18,1,3,2,36,25,0,15,20.0,2.4,0.4,4.2,69.4
今井啓介,2005-10,パナソニックパンサーズ,4,50,13,27,18,2,66.7,59.3,0,0,0,9,31,1,1,3,3,3,0,28,,1.38,0.69,4.8,100.0
今井啓介,2005-12,パナソニックパンサーズ,4,84,7,17,6,2,35.3,23.5,1,0,0,3,22,1,0,1,0,0,0,10,0.0,0.86,0.43,5.7,
今井啓介,2006-01,パナソニックパンサーズ,4,6,14,29,12,2,41.4,34.5,0,0,0,6,33,0,1,4,2,1,0,18,,0.86,0.43,2.3,50.0
今井啓介,2006-02,パナソニックパンサーズ,4,14,25,78,43,3,55.1,51.3,0,0,0,12,51,0,4,7,1,0,0,55,,1.72,0.48,1.5,0.0
今田祐介,2005-10,東レアローズ,14,40,5,29,14,0,48.3,48.3,5,3,0,0,14,0,1,3,28,18,0,14,60.0,2.8,0.0,3.6,64.3
今田祐介,2005-12,東レアローズ,14,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今田祐介,2006-01,東レアローズ,14,4,1,3,1,0,33.3,33.3,0,0,0,0,1,0,0,1,3,2,0,1,,1.0,0.0,25.0,66.7
今田祐介,2006-02,東レアローズ,14,12,4,9,4,1,44.4,33.3,0,0,0,2,6,0,1,0,10,2,0,6,,1.0,0.5,-4.2,20.0
伊藤信博,2005-10,堺ブレイザーズ,15,50,15,38,18,3,47.4,39.5,0,0,0,7,49,1,6,8,2,0,0,26,,1.2,0.47,3.1,0.0
伊藤信博,2005-12,堺ブレイザーズ,15,84,26,58,27,4,46.6,39.7,1,1,0,17,80,2,13,15,0,0,0,46,100.0,1.04,0.65,3.1,
伊藤信博,2006-01,堺ブレイザーズ,15,8,33,79,35,7,44.3,35.4,0,0,0,22,85,3,13,15,1,1,0,60,,1.06,0.67,4.1,100.0
