試合日,年月,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,1,L,鶴田大樹,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,12,6,75.0,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,3,,小野遥輝,3,■,■,■,,,7,6,0,85.7,85.7,2.00,0,0,0,-,1,0.33,13,0,3,2,-1.9,1,0,0,0.0,7
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,6,,季道帥,3,■,■,■,,,19,7,1,36.8,31.6,2.33,5,1,0,20.0,0,-,16,1,3,2,4.7,14,6,3,53.6,8
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,9,,大宅真樹,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,11,0,2,3,2.3,0,0,0,-,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,10,,藤中謙也,3,■,■,■,,,15,9,0,60.0,60.0,3.00,3,1,0,33.3,1,0.33,13,1,3,3,7.7,18,11,3,69.4,11
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,11,,秦耕介,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,12,,塩田達也,3,■,■,■,,,8,5,0,62.5,62.5,1.67,0,0,0,-,2,0.67,8,0,1,2,3.1,4,2,2,75.0,7
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,13,,ムセルスキードミトリー,3,■,■,■,,,39,25,3,64.1,56.4,8.33,22,15,1,68.2,1,0.33,12,0,4,3,-2.1,0,0,0,-,26
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,15,,喜入祥充,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,17,,星谷健太朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,18,,小川猛,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,19,,栗山雅史,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,20,,西田寛基,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,3,25.0,0,0,0,-,0
2020-02-22,2020-02,2,サントリーサンバーズ,堺ブレイザーズ,21,,佐藤謙次,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,1,,松本慶彦,3,■,■,■,,,8,5,0,62.5,62.5,1.67,0,0,0,-,0,-,13,0,0,1,1.9,2,1,0,50.0,5
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,3,,宮原貴人,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,4,,高野直哉,3,■,■,■,,,17,8,0,47.1,47.1,2.67,2,1,0,50.0,0,-,6,0,2,0,-8.3,23,6,9,45.7,8
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,7,,出耒田敬,3,■,■,■,,,9,3,0,33.3,33.3,1.00,1,0,0,0.0,1,0.33,8,0,2,1,-3.1,0,0,0,-,4
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,8,,佐川翔,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,9,,モーリストーレス,3,■,■,■,,,33,18,2,54.5,48.5,6.00,20,12,2,60.0,1,0.33,17,3,2,7,25.0,0,0,0,-,22
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,10,,千々木駿介,3,■,■,■,,,17,6,1,35.3,29.4,2.00,4,1,0,25.0,1,0.33,11,0,4,2,-4.5,13,1,6,30.8,7
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,11,,関田誠大,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,9,0,0,1,2.8,0,0,0,-,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,12,,小池勇輝,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,1,1,0,18.8,4,3,0,75.0,1
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,14,,山口頌平,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,16,L,今富稜介,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,20,L,山本智大,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,8,6,64.7,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,21,,竹元裕太郎,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-22,2020-02,2,堺ブレイザーズ,サントリーサンバーズ,23,,鵜野幸也,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
