名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ムセルスキードミトリー,サントリーサンバーズ,13,3,39,25,3,64.1,56.4,22,15,1,1,12,0,4,3,0,0,0,68.2,8.3,0.3,-2.1,
モーリストーレス,堺ブレイザーズ,9,3,33,18,2,54.5,48.5,20,12,2,1,17,3,2,7,0,0,0,60.0,6.0,0.3,25.0,
今富稜介,堺ブレイザーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐川翔,堺ブレイザーズ,8,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
佐藤謙次,サントリーサンバーズ,21,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
出耒田敬,堺ブレイザーズ,7,3,9,3,0,33.3,33.3,1,0,0,1,8,0,2,1,0,0,0,0.0,1.0,0.3,-3.1,
千々木駿介,堺ブレイザーズ,10,3,17,6,1,35.3,29.4,4,1,0,1,11,0,4,2,13,1,6,25.0,2.0,0.3,-4.5,30.8
喜入祥充,サントリーサンバーズ,15,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
塩田達也,サントリーサンバーズ,12,3,8,5,0,62.5,62.5,0,0,0,2,8,0,1,2,4,2,2,,1.7,0.7,3.1,75.0
大宅真樹,サントリーサンバーズ,9,3,0,0,0,,,0,0,0,0,11,0,2,3,0,0,0,,0.0,0.0,2.3,
季道帥,サントリーサンバーズ,6,3,19,7,1,36.8,31.6,5,1,0,0,16,1,3,2,14,6,3,20.0,2.3,0.0,4.7,53.6
宮原貴人,堺ブレイザーズ,3,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小川猛,サントリーサンバーズ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
小池勇輝,堺ブレイザーズ,12,3,0,0,0,,,0,0,0,0,4,1,1,0,4,3,0,,0.0,0.0,18.8,75.0
小野遥輝,サントリーサンバーズ,3,3,7,6,0,85.7,85.7,0,0,0,1,13,0,3,2,1,0,0,,2.0,0.3,-1.9,0.0
山口頌平,堺ブレイザーズ,14,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
山本智大,堺ブレイザーズ,20,3,0,0,0,,,0,0,0,0,0,0,0,0,17,8,6,,0.0,0.0,,64.7
星谷健太朗,サントリーサンバーズ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
松本慶彦,堺ブレイザーズ,1,3,8,5,0,62.5,62.5,0,0,0,0,13,0,0,1,2,1,0,,1.7,0.0,1.9,50.0
栗山雅史,サントリーサンバーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
秦耕介,サントリーサンバーズ,11,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
竹元裕太郎,堺ブレイザーズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤中謙也,サントリーサンバーズ,10,3,15,9,0,60.0,60.0,3,1,0,1,13,1,3,3,18,11,3,33.3,3.0,0.3,7.7,69.4
西田寛基,サントリーサンバーズ,20,3,0,0,0,,,0,0,0,0,3,0,0,3,0,0,0,,0.0,0.0,25.0,
関田誠大,堺ブレイザーズ,11,3,0,0,0,,,0,0,0,0,9,0,0,1,0,0,0,,0.0,0.0,2.8,
高野直哉,堺ブレイザーズ,4,3,17,8,0,47.1,47.1,2,1,0,0,6,0,2,0,23,6,9,50.0,2.7,0.0,-8.3,45.7
鵜野幸也,堺ブレイザーズ,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
鶴田大樹,サントリーサンバーズ,1,3,0,0,0,,,0,0,0,0,0,0,0,0,20,12,6,,0.0,0.0,,75.0
