名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
工藤嶺,デンソーエアリービーズ,21,35,36,10,48,410,127,24,31.0,25.1,36,8,4,8,131,2,11,27,369,154,85,137,22.2,2.65,0.17,4.6,53.3
巻口明日香,日立リヴァーレ,21,16,17,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
帯川きよら,久光製薬スプリングス,13,3,1,1,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
平谷里奈,KUROBEアクアフェアリーズ,11,13,55,2,67,755,232,39,30.7,25.6,56,9,7,15,183,4,10,55,628,265,153,251,16.1,3.46,0.22,8.3,54.4
座安琴希,久光製薬スプリングス,10,51,18,16,14,0,0,0,,,0,0,0,0,0,0,0,0,24,11,4,0,,0.0,0.0,,54.2
廣瀬七海,NECレッドロケッツ,9,22,17,6,25,285,108,25,37.9,29.1,67,20,9,3,88,12,20,24,0,0,0,123,29.9,4.32,0.12,14.8,
志智真梨奈,トヨタ車体クインシーズ,7,6,3,2,3,0,0,0,,,0,0,0,0,3,0,0,1,1,0,0,0,,0.0,0.0,8.3,0.0
戸江真奈,久光製薬スプリングス,18,57,19,18,70,0,0,0,,,0,0,0,0,0,0,0,0,294,154,73,0,,0.0,0.0,,64.8
新鍋理沙,久光製薬スプリングス,3,53,14,17,64,355,154,15,43.4,39.2,1,0,0,33,283,10,27,97,228,136,47,197,0.0,2.41,0.52,9.7,70.0
日高萌,東レアローズ,4,46,30,13,20,0,0,0,,,0,0,0,0,29,1,1,5,0,0,0,1,,0.0,0.0,6.9,
早坂梢依,デンソーエアリービーズ,7,16,17,4,25,11,7,1,63.6,54.5,0,0,0,4,60,2,2,18,2,0,0,13,,0.28,0.16,10.0,0.0
星加輝,KUROBEアクアフェアリーズ,16,13,55,2,24,0,0,0,,,0,0,0,0,33,1,0,9,0,0,0,1,,0.0,0.0,9.8,
有田妃奈乃,PFUブルーキャッツ,1,5,27,0,13,0,0,0,,,0,0,0,0,20,2,1,5,0,0,0,2,,0.0,0.0,15.0,
朝日優衣,デンソーエアリービーズ,3,35,36,10,46,294,83,14,28.2,23.5,6,0,0,9,88,1,3,25,237,130,58,93,0.0,1.8,0.2,7.4,67.1
杉原若葉,東レアローズ,6,46,33,13,16,5,1,2,20.0,-20.0,1,0,0,1,16,0,3,4,4,0,0,2,0.0,0.06,0.06,1.6,0.0
杉郁香,トヨタ車体クインシーズ,15,43,28,13,32,119,64,9,53.8,46.2,1,1,0,12,83,3,3,26,4,2,0,79,100.0,2.0,0.38,10.5,50.0
村上華澄,PFUブルーキャッツ,6,16,57,0,24,86,28,5,32.6,26.7,0,0,0,6,73,3,3,20,4,3,0,37,,1.17,0.25,9.9,75.0
村永奈央,トヨタ車体クインシーズ,6,38,22,12,24,149,44,9,29.5,23.5,6,1,0,9,60,1,2,22,221,89,57,54,16.7,1.83,0.38,10.0,53.2
東谷玲衣奈,デンソーエアリービーズ,20,20,11,6,20,140,50,11,35.7,27.9,10,0,2,3,69,0,3,20,92,36,19,53,0.0,2.5,0.15,6.2,49.5
松下紗也,PFUブルーキャッツ,15,1,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
松本亜弥華,埼玉上尾メディックス,8,28,29,7,17,22,6,1,27.3,22.7,0,0,0,1,20,1,3,6,1,0,0,8,,0.35,0.06,8.8,0.0
林日向子,岡山シーガルズ,17,3,6,0,5,19,9,0,47.4,47.4,1,0,0,0,4,0,0,2,4,1,1,9,0.0,1.8,0.0,12.5,37.5
林琴奈,JTマーヴェラス,2,52,31,14,69,431,167,28,38.7,32.3,26,9,3,12,169,6,9,55,436,197,116,185,34.6,2.42,0.17,10.4,58.5
柳田光綺,NECレッドロケッツ,4,43,36,11,67,549,194,25,35.3,30.8,55,15,6,9,256,8,31,83,216,75,60,211,27.3,2.9,0.13,8.2,48.6
柴田真果,JTマーヴェラス,5,52,31,14,60,16,5,0,31.2,31.2,0,0,0,1,124,5,6,35,3,0,1,11,,0.08,0.02,9.9,16.7
栄絵里香,久光製薬スプリングス,11,57,19,18,39,10,5,0,50.0,50.0,1,0,0,2,138,4,2,37,2,0,0,11,0.0,0.13,0.05,9.2,0.0
栗原恵,JTマーヴェラス,10,49,31,13,25,104,30,6,28.8,23.1,10,4,3,5,16,2,3,5,10,1,3,37,40.0,1.2,0.2,15.6,25.0
森田夕貴,岡山シーガルズ,19,27,26,6,43,0,0,0,,,0,0,0,0,0,0,0,0,67,31,11,0,,0.0,0.0,,54.5
