名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山内美咲,02,NECレッドロケッツ,12,14,91,37,3,40.7,37.4,9,5,0,4,32,3,2,8,76,27,20,55.6,2.6,0.3,14.1,48.7
山内美咲,11,NECレッドロケッツ,12,24,203,62,6,30.5,27.6,16,3,2,9,83,3,9,26,212,84,48,18.8,2.6,0.4,8.7,50.9
山内美咲,12,NECレッドロケッツ,12,10,67,18,3,26.9,22.4,6,0,0,6,31,1,3,10,63,22,17,0.0,1.8,0.6,8.9,48.4
山口かなめ,01,NECレッドロケッツ,7,18,6,3,1,50.0,33.3,0,0,0,2,60,0,3,12,0,0,0,,0.2,0.1,3.8,
山口かなめ,02,NECレッドロケッツ,7,22,4,3,0,75.0,75.0,0,0,0,1,76,4,4,23,1,0,0,,0.1,0.0,11.5,0.0
山口かなめ,11,NECレッドロケッツ,7,10,0,0,0,,,0,0,0,2,23,0,0,8,0,0,0,,0.0,0.2,8.7,
山口かなめ,12,NECレッドロケッツ,7,15,3,2,0,66.7,66.7,1,1,0,4,44,2,5,15,1,1,0,100.0,0.1,0.3,10.2,100.0
山口珠李,01,埼玉上尾メディックス,24,6,8,2,2,25.0,0.0,0,0,0,0,3,0,0,1,3,2,1,,0.3,0.0,8.3,83.3
山口珠李,02,埼玉上尾メディックス,24,10,28,11,2,39.3,32.1,1,0,0,0,2,0,0,0,0,0,0,0.0,1.1,0.0,0.0,
山口珠李,11,埼玉上尾メディックス,24,8,49,17,2,34.7,30.6,1,0,0,1,16,1,0,6,2,0,1,0.0,2.1,0.1,15.6,25.0
山口珠李,12,埼玉上尾メディックス,24,5,10,1,0,10.0,10.0,0,0,0,1,4,0,0,3,0,0,0,,0.2,0.2,18.8,
山口舞,01,岡山シーガルズ,2,4,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
山口舞,02,岡山シーガルズ,2,9,24,10,0,41.7,41.7,0,0,0,3,16,0,0,4,0,0,0,,1.1,0.3,6.2,
