名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
シニアードジャック,01,デンソーエアリービーズ,18,5,44,20,2,45.5,40.9,0,0,0,2,8,1,1,0,0,0,0,23,,4.0,0.4,9.4,
ジャンティタントゥイー,01,デンソーエアリービーズ,22,2,8,2,2,25.0,0.0,3,0,2,0,1,0,0,0,0,0,0,2,0.0,1.0,0.0,0.0,
中元南,01,デンソーエアリービーズ,1,2,5,0,1,0.0,-20.0,0,0,0,0,1,0,0,0,7,1,2,0,,0.0,0.0,0.0,28.6
丸山亜季,01,岡山シーガルズ,20,1,0,0,0,,,0,0,0,0,0,0,0,0,2,1,0,0,,0.0,0.0,,50.0
井上琴絵,01,デンソーエアリービーズ,11,5,0,0,0,,,0,0,0,0,0,0,0,0,23,18,3,0,,0.0,0.0,,84.8
佐々木萌,01,岡山シーガルズ,7,5,59,19,1,32.2,30.5,1,0,0,2,17,0,0,3,21,13,4,21,0.0,3.8,0.4,4.4,71.4
兵頭由希,01,デンソーエアリービーズ,24,5,52,12,2,23.1,19.2,4,0,1,2,17,1,1,4,2,1,1,15,0.0,2.4,0.4,10.3,75.0
及川真夢,01,岡山シーガルズ,8,5,27,10,3,37.0,25.9,0,0,0,1,18,0,1,5,0,0,0,11,,2.0,0.2,5.6,
吉岡美晴,01,岡山シーガルズ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉田みなみ,01,岡山シーガルズ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥村麻依,01,デンソーエアリービーズ,13,5,10,3,0,30.0,30.0,0,0,0,0,14,0,0,4,0,0,0,3,,0.6,0.0,7.1,
宇賀神みずき,01,岡山シーガルズ,5,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
宮下遥,01,岡山シーガルズ,14,5,2,1,0,50.0,50.0,0,0,0,0,14,0,0,3,2,0,2,1,,0.2,0.0,5.4,50.0
小口樹葉,01,デンソーエアリービーズ,9,3,0,0,0,,,0,0,0,0,0,0,0,0,10,3,4,0,,0.0,0.0,,50.0
居村杏奈,01,岡山シーガルズ,12,3,3,1,0,33.3,33.3,0,0,0,0,5,1,0,0,0,0,0,2,,0.3,0.0,20.0,
川島亜依美,01,岡山シーガルズ,28,5,16,7,1,43.8,37.5,0,0,0,0,20,0,3,3,0,0,0,7,,1.4,0.0,0.0,
工藤嶺,01,デンソーエアリービーズ,21,5,53,17,5,32.1,22.6,6,2,2,1,17,0,1,4,33,19,9,18,33.3,3.4,0.2,4.4,71.2
早坂梢依,01,デンソーエアリービーズ,7,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
東谷玲衣奈,01,デンソーエアリービーズ,20,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
森谷史佳,01,デンソーエアリービーズ,10,3,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
楢崎慈恵,01,岡山シーガルズ,27,5,0,0,0,,,0,0,0,0,0,0,0,0,26,17,4,0,,0.0,0.0,,73.1
渡邊真恵,01,岡山シーガルズ,6,5,40,14,0,35.0,35.0,2,0,0,1,14,0,0,2,1,0,1,15,0.0,2.8,0.2,3.6,50.0
田代佳奈美,01,デンソーエアリービーズ,6,5,4,4,0,100.0,100.0,0,0,0,1,13,0,2,4,0,0,0,5,,0.8,0.2,3.8,
田原愛里,01,デンソーエアリービーズ,8,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
西村弥菜美,01,岡山シーガルズ,10,5,2,0,0,0.0,0.0,0,0,0,0,7,1,0,1,6,2,1,1,,0.0,0.0,17.9,41.7
金田修佳,01,岡山シーガルズ,18,5,76,28,4,36.8,31.6,2,0,0,0,12,0,1,1,32,17,5,28,0.0,5.6,0.0,0.0,60.9
鍋谷友理枝,01,デンソーエアリービーズ,15,5,48,12,2,25.0,20.8,0,0,0,0,19,0,0,2,27,15,6,12,,2.4,0.0,2.6,66.7
高野由里加,01,岡山シーガルズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
