名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
サベリエフイリア,JTサンダーズ,21,43,63,552,321,24,58.2,53.8,116,64,9,19,280,50,51,103,231,171,0,390,55.2,5.1,0.3,22.5,74.0
ジルソンベルナルド,サントリーサンバーズ,16,71,66,717,412,80,57.5,46.3,291,173,42,24,297,52,90,94,1,1,0,488,59.5,6.24,0.36,17.8,100.0
ヌッツォジャンルカ,堺ブレイザーズ,31,69,79,689,331,74,48.0,37.3,299,156,33,23,300,27,75,75,17,4,0,381,52.2,4.19,0.29,9.0,23.5
パスカルラファエル,パナソニックパンサーズ,11,69,73,747,391,100,52.3,39.0,337,177,52,36,304,22,77,104,32,18,0,449,52.5,5.36,0.49,9.5,56.2
ファンダールミューレンオロフ,NECブルーロケッツ,29,56,64,552,279,50,50.5,41.5,208,108,13,24,260,17,50,93,1,1,0,320,51.9,4.36,0.38,10.7,100.0
ホフトーマス,東レアローズ,19,80,66,205,130,14,63.4,56.6,0,0,0,48,206,3,15,42,13,7,0,181,,1.97,0.73,4.7,53.8
下村英士,JTサンダーズ,16,47,10,0,0,0,,,0,0,0,2,20,0,2,2,0,0,0,2,,0.0,0.2,0.0,
下田悟,JTサンダーズ,7,47,15,23,11,1,47.8,43.5,2,1,0,0,14,0,5,1,25,22,0,11,50.0,0.73,0.0,-7.1,88.0
中垣内祐一,堺ブレイザーズ,4,7,12,87,39,4,44.8,40.2,23,9,2,2,38,3,7,6,28,16,0,44,39.1,3.25,0.17,7.2,57.1
中川一,NTT西日本レグルス,1,47,56,190,113,10,59.5,54.2,0,0,0,39,180,6,39,25,1,0,0,158,,2.02,0.7,1.4,0.0
中村成輔,NTT西日本レグルス,14,2,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中野順平,東レアローズ,1,80,3,0,0,0,,,0,0,0,1,6,0,2,1,0,0,0,1,,0.0,0.33,-4.2,
丸山利明,旭化成スパーキッズ,9,23,24,0,0,0,,,0,0,0,0,31,0,8,8,0,0,0,0,,0.0,0.0,0.0,
五十里朗,NTT西日本レグルス,15,49,37,50,24,7,48.0,34.0,0,0,0,8,49,1,8,2,2,1,0,33,,0.65,0.22,-1.0,50.0
