月,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
12,9,,中野倭,7,2,2,2,1,0,5,3,0,60.0,60.0,0.7142857142857143,0,0,0,,0,0.0,27,1,5,3,1.8518518518518519,0,0,0,
01,9,,中野倭,4,1,1,1,1,0,3,1,0,33.33333333333333,33.33333333333333,0.75,0,0,0,,2,0.5,20,0,1,5,5.0,0,0,0,
02,9,,中野倭,13,3,3,4,1,0,6,3,0,50.0,50.0,0.46153846153846156,1,0,0,0.0,4,0.3076923076923077,49,0,8,11,1.530612244897959,0,0,0,
