試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2020-11-01,東レアローズ,1,,富松崇彰,4,■,■,■,■,nan,12,9,0,0.75,0.75,2.25,0,0,0,-,3,0.75,13,0,0,6,11.5,2,1,0,50.0,,,,,,,,
2020-11-01,東レアローズ,2,,高橋健太郎,2,nan,nan,□,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.50,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,3,L,山口拓海,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,6,9,50.0,,,,,,,,
2020-11-01,東レアローズ,4,,パダルクリスティアン,4,■,■,■,■,nan,53,27,3,0.5094339622641509,0.4528301886792453,6.75,15,9,2,60.0,2,0.50,20,6,6,6,30.0,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,5,,米山裕太,4,■,■,■,■,nan,20,6,0,0.3,0.3,1.50,0,0,0,-,0,-,12,0,2,1,-2.1,16,7,3,53.1,,,,,,,,
2020-11-01,東レアローズ,6,,落合一貴,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,7,,峯村雄大,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,9,,富田将馬,4,■,■,■,■,nan,20,6,3,0.3,0.15,1.50,4,2,0,50.0,0,-,14,1,5,2,1.8,32,12,9,51.6,,,,,,,,
2020-11-01,東レアローズ,10,,星野秀知,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,14,,酒井啓輔,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,15,,李博,4,■,■,■,■,nan,14,9,1,0.6428571428571429,0.5714285714285714,2.25,0,0,0,-,0,-,18,1,3,5,8.3,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,18,,鈴木悠二,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,1,0.0,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,19,,梅野聡,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,東レアローズ,21,,藤井直伸,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,11,0,0,4,9.1,1,0,0,0.0,,,,,,,,
2020-11-01,東レアローズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,120,57,7,0.475,0.4166666666666667,14.25,19,11,2,57.9,6,1.50,94,8,17,26,10.9,72,26,21,50.7,105,46,8,43.8,9,2.25,5.7,47.3
