試合日,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2015-11-14,11,GSS東京サンビームズ,1,,重松史乃,2,■,■,nan,nan,nan,2,1,0,0.5,0.5,0.50,0,0,0,-,0,-,6,0,1,2,8.3,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,2,L,村尾葉津樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,4,L,平岩沙紀,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,14,0,70.0
2015-11-14,11,GSS東京サンビームズ,5,,篠木梨奈,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,6,,長岡藍,3,■,■,■,nan,nan,27,6,3,0.2222222222222222,0.1111111111111111,2.00,2,0,1,0.0,0,-,13,1,2,6,19.2,1,1,0,100.0
2015-11-14,11,GSS東京サンビームズ,8,,三浦あゆみ,3,■,■,□,nan,nan,17,4,2,0.23529411764705882,0.11764705882352941,1.33,0,0,0,-,0,-,3,0,0,0,0.0,23,16,0,69.6
2015-11-14,11,GSS東京サンビームズ,9,,秋満由紀子,3,■,■,■,nan,nan,28,13,0,0.4642857142857143,0.4642857142857143,4.33,1,0,0,0.0,1,0.33,7,0,0,2,7.1,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,11,,岩島みなみ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,12,,百瀬彩夏,3,■,■,■,nan,nan,24,10,1,0.4166666666666667,0.375,3.33,0,0,0,-,1,0.33,5,0,1,1,5.0,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,15,,鈴木亜矢子,2,nan,□,■,nan,nan,6,2,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,5,0,1,3,15.0,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,16,,菊地めぐみ,2,■,■,nan,nan,nan,2,1,0,0.5,0.5,0.50,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,18,,草野静奈,3,□,□,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,9,0,0,5,13.9,0,0,0,-
2015-11-14,11,GSS東京サンビームズ,20,,柴田由夏,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,6,0,66.7
2015-11-14,11,GSS東京サンビームズ,21,,山下真理,2,nan,□,■,nan,nan,22,7,0,0.3181818181818182,0.3181818181818182,3.50,1,0,0,0.0,0,-,5,0,0,1,5.0,18,12,0,66.7
2015-11-14,11,トヨタ自動車ヴァルキューレ,1,,野末夏子,3,■,■,■,nan,nan,17,9,0,0.5294117647058824,0.5294117647058824,3.00,0,0,0,-,1,0.33,11,1,1,2,11.8,23,16,0,69.6
2015-11-14,11,トヨタ自動車ヴァルキューレ,2,,高橋那依,3,■,■,■,nan,nan,17,5,0,0.29411764705882354,0.29411764705882354,1.67,0,0,0,-,1,0.33,3,0,0,0,0.0,1,0,0,0.0
2015-11-14,11,トヨタ自動車ヴァルキューレ,3,,田口綾菜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
