名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三好紗弥香,2015-11,群馬銀行グリーンウイングス,13,9,47,16,5,34.0,23.4,0,0,0,0,29,2,2,13,38,26,0,,1.78,0.0,16.4,68.4
三好紗弥香,2016-01,群馬銀行グリーンウイングス,13,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
三浦あゆみ,2015-11,GSS東京サンビームズ,8,10,39,10,6,25.6,10.3,0,0,0,0,16,0,1,7,36,25,0,,1.0,0.0,9.4,69.4
三浦あゆみ,2015-12,GSS東京サンビームズ,8,6,0,0,0,,,0,0,0,0,0,0,0,0,14,9,0,,0.0,0.0,,64.3
三浦あゆみ,2016-01,GSS東京サンビームズ,8,23,125,43,12,34.4,24.8,2,0,2,2,80,5,6,28,156,105,0,0.0,1.87,0.09,13.1,67.3
三浦あゆみ,2016-02,GSS東京サンビームズ,8,20,179,43,23,24.0,11.2,1,0,0,3,86,1,11,34,155,80,0,0.0,2.15,0.15,7.8,51.6
三澤未憂,2015-11,プレステージ・インターナショナルアランマーレ,10,18,123,20,9,16.3,8.9,0,0,0,0,59,2,3,19,184,69,0,,1.11,0.0,10.2,37.5
三澤未憂,2015-12,プレステージ・インターナショナルアランマーレ,10,3,10,2,0,20.0,20.0,0,0,0,0,6,0,1,3,42,22,0,,0.67,0.0,8.3,52.4
三澤未憂,2016-01,プレステージ・インターナショナルアランマーレ,10,16,38,4,6,10.5,-5.3,0,0,0,0,18,0,3,8,74,44,0,,0.25,0.0,6.9,59.5
三澤未憂,2016-02,プレステージ・インターナショナルアランマーレ,10,9,10,3,1,30.0,20.0,0,0,0,1,14,0,1,1,23,11,0,,0.33,0.11,0.0,47.8
下田梨生,2015-11,トヨタ自動車ヴァルキューレ,17,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
