名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
フォフィーニャアナパウラ,久光製薬スプリングス,11,11,143,55,6,38.5,34.3,25,8,1,1,50,2,1,15,18,6,0,58,32.0,5.0,0.1,11.0,33.3
中道瞳,東レアローズ,4,12,4,3,0,75.0,75.0,0,0,0,0,42,2,1,10,1,0,0,5,,0.2,0.0,10.1,0.0
丸山亜季,岡山シーガルズ,20,11,0,0,0,,,0,0,0,0,0,0,0,0,35,25,0,0,,0.0,0.0,,71.4
二見梓,東レアローズ,16,8,30,14,2,46.7,40.0,0,0,0,3,21,3,2,5,0,0,0,20,,1.8,0.4,17.9,
井上奈々朱,デンソーエアリービーズ,11,10,42,19,3,45.2,38.1,0,0,0,3,51,2,5,23,0,0,0,24,,1.9,0.3,12.7,
南美寿希,久光製薬スプリングス,12,2,0,0,0,,,0,0,0,0,6,0,0,1,0,0,0,0,,0.0,0.0,4.2,
卜部里菜,岡山シーガルズ,22,5,3,0,0,0.0,0.0,0,0,0,0,8,0,0,1,11,7,0,0,,0.0,0.0,3.1,63.6
古藤千鶴,久光製薬スプリングス,2,11,6,3,0,50.0,50.0,0,0,0,4,33,1,2,15,0,0,0,8,,0.3,0.4,12.9,
吉田みなみ,岡山シーガルズ,1,8,75,23,1,30.7,29.3,0,0,0,2,31,2,1,7,60,38,0,27,,2.9,0.2,11.3,63.3
和田麻里江,東レアローズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大竹里歩,デンソーエアリービーズ,3,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
宮下遥,岡山シーガルズ,14,11,6,2,1,33.3,16.7,0,0,0,3,40,1,2,11,0,0,0,6,,0.2,0.3,8.1,
宮田由佳里,東レアローズ,9,6,15,6,1,40.0,33.3,0,0,0,1,15,0,0,4,1,0,0,7,,1.0,0.2,6.7,0.0
小平花織,東レアローズ,10,6,3,2,0,66.7,66.7,0,0,0,0,11,2,0,4,0,0,0,4,,0.3,0.0,27.3,
小林亜里沙,岡山シーガルズ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山口舞,岡山シーガルズ,2,11,86,33,4,38.4,33.7,8,0,0,4,31,0,0,6,34,16,0,37,0.0,3.0,0.4,4.8,47.1
岡野弘子,岡山シーガルズ,15,5,0,0,0,,,0,0,0,0,4,0,1,0,0,0,0,0,,0.0,0.0,-6.2,
岩坂名奈,久光製薬スプリングス,4,5,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
峯村沙紀,東レアローズ,11,5,14,0,0,0.0,0.0,0,0,0,1,8,0,0,2,4,3,0,1,,0.0,0.2,6.2,75.0
川島亜依美,岡山シーガルズ,28,10,46,13,1,28.3,26.1,0,0,0,5,27,1,2,8,4,4,0,19,,1.3,0.5,9.3,100.0
川畑愛希,岡山シーガルズ,8,7,44,9,3,20.5,13.6,1,0,0,0,13,0,0,4,20,10,0,9,0.0,1.3,0.0,7.7,50.0
平井香菜子,久光製薬スプリングス,9,11,54,28,3,51.9,46.3,0,0,0,5,37,2,0,13,0,0,0,35,,2.5,0.5,14.2,
座安琴希,久光製薬スプリングス,10,11,0,0,0,,,0,0,0,0,0,0,0,0,82,63,0,0,,0.0,0.0,,76.8
新鍋理沙,久光製薬スプリングス,3,11,64,24,3,37.5,32.8,6,0,2,1,43,2,2,16,69,47,0,27,0.0,2.2,0.1,12.8,68.1
木村沙織,東レアローズ,5,12,166,58,12,34.9,27.7,21,9,1,4,41,2,3,13,92,65,0,64,42.9,4.8,0.3,11.0,70.7
木村美里,東レアローズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村田しおり,久光製薬スプリングス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村田奈都美,岡山シーガルズ,12,5,24,5,3,20.8,8.3,0,0,0,0,6,0,0,3,13,8,0,5,,1.0,0.0,12.5,61.5
栄絵里香,デンソーエアリービーズ,18,1,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
森和代,岡山シーガルズ,21,8,44,19,0,43.2,43.2,0,0,0,6,18,0,0,6,16,5,0,25,,2.4,0.8,8.3,31.2
櫻井由香,デンソーエアリービーズ,9,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
水田祐未,久光製薬スプリングス,5,11,50,19,1,38.0,36.0,0,0,0,4,43,0,3,12,0,0,0,23,,1.7,0.4,5.2,
江口友里香,デンソーエアリービーズ,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
泉岡未来,デンソーエアリービーズ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
濱口華菜里,東レアローズ,3,12,0,0,0,,,0,0,0,0,0,0,0,0,56,35,0,0,,0.0,0.0,,62.5
瀬尾有耶,岡山シーガルズ,29,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
熊谷桜子,デンソーエアリービーズ,5,10,5,2,0,40.0,40.0,0,0,0,3,33,0,4,11,0,0,0,5,,0.2,0.3,5.3,
