大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2020-21 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,18,29,56,27,2,48.2,13,5,1,38.5,0.93,1,0.03,31,0,0,5,8,2.4,5,1,3,50.0,27,1,0,28
レギュラーラウンド,パナソニックパンサーズ,18,29,56,27,2,48.2,13,5,1,38.5,0.93,1,0.03,31,0,0,5,8,2.4,5,1,3,50.0,27,1,0,28
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,25,17,30,15,3,50.0,10,5,1,50.0,0.88,1,0.06,22,0,1,9,5,0.0,13,4,3,42.3,15,1,1,17
レギュラーラウンド,パナソニックパンサーズ,24,17,30,15,3,50.0,10,5,1,50.0,0.88,1,0.06,22,0,1,9,5,0.0,13,4,3,42.3,15,1,1,17
ファイナル,パナソニックパンサーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,30,19,77,31,7,40.3,24,11,2,45.8,1.63,6,0.32,29,0,0,7,7,0.0,0,0,0,-,31,6,0,37
レギュラーラウンド,パナソニックパンサーズ,24,18,72,29,7,40.3,23,10,2,43.5,1.61,6,0.33,28,0,0,7,6,-0.9,0,0,0,-,29,6,0,35
ファイナル６,パナソニックパンサーズ,5,1,5,2,0,40.0,1,1,0,100.0,2.00,0,-,1,0,0,0,1,25.0,0,0,0,-,2,0,0,2
ファイナル,パナソニックパンサーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,28,57,185,79,12,42.7,51,27,5,52.9,1.39,12,0.21,85,2,1,17,17,3.5,2,1,0,50.0,79,12,3,94
レギュラーラウンド,パナソニックパンサーズ,21,36,116,52,8,44.8,31,18,3,58.1,1.44,8,0.22,51,2,1,10,10,5.9,1,1,0,100.0,52,8,3,63
ファイナル６,パナソニックパンサーズ,5,14,35,12,2,34.3,10,2,1,20.0,0.86,1,0.07,13,0,0,1,4,5.8,0,0,0,-,12,1,0,13
ファイナル,パナソニックパンサーズ,2,7,34,15,2,44.1,10,7,1,70.0,2.14,3,0.43,21,0,0,6,3,-3.6,1,0,0,0.0,15,3,0,18
天皇杯全日本選手権大会,,2,1,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,2,1,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,26,48,201,95,15,47.3,59,27,9,45.8,1.98,7,0.15,116,4,2,21,36,12.6,6,2,0,33.3,95,7,6,108
レギュラーラウンド,パナソニックパンサーズ,21,29,92,48,7,52.2,26,16,2,61.5,1.66,5,0.17,45,1,1,11,7,7.9,3,2,0,66.7,48,5,2,55
ファイナル６,パナソニックパンサーズ,5,19,109,47,8,43.1,33,11,7,33.3,2.47,2,0.11,71,3,1,10,29,15.6,3,0,0,0.0,47,2,4,53
Ｖ・プレミアリーグ男子 2015/16,パナソニックパンサーズ,11,7,17,5,3,29.4,0,0,0,-,0.71,1,0.14,16,0,0,3,4,6.2,14,3,0,21.4,5,1,0,6
レギュラーラウンド,パナソニックパンサーズ,4,3,8,1,2,12.5,0,0,0,-,0.33,0,-,7,0,0,2,0,0.0,9,2,0,22.2,1,0,0,1
ファイナル６,パナソニックパンサーズ,5,1,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
ファイナル３,パナソニックパンサーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,パナソニックパンサーズ,1,3,9,4,1,44.4,0,0,0,-,1.33,1,0.33,8,0,0,1,3,9.4,5,1,0,20.0,4,1,0,5
レギュラーシーズン通算,,112,132,374,172,29,46.0,103,54,9,52.4,1.30,21,0.16,184,3,3,44,36,2.2,31,10,6,41.9,172,21,6,199
通算,,140,178,566,252,42,44.5,157,75,18,47.8,1.42,28,0.16,299,6,4,62,77,4.6,40,11,6,35.0,252,28,10,290
