大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2020-21 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,19,60,307,159,21,51.8,28,18,1,64.3,2.65,20,0.33,208,3,5,14,60,9.4,333,133,102,55.3,159,20,8,187
レギュラーラウンド,パナソニックパンサーズ,19,60,307,159,21,51.8,28,18,1,64.3,2.65,20,0.33,208,3,5,14,60,9.4,333,133,102,55.3,159,20,8,187
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,28,97,528,256,25,48.5,50,26,4,52.0,2.64,23,0.24,366,6,7,30,100,8.3,497,220,116,55.9,256,23,13,292
レギュラーラウンド,パナソニックパンサーズ,27,92,506,242,24,47.8,49,26,4,53.1,2.63,23,0.25,350,5,7,28,96,8.3,473,216,106,56.9,242,23,12,277
ファイナル,パナソニックパンサーズ,1,5,22,14,1,63.6,1,0,0,0.0,2.80,0,-,16,1,0,2,4,9.4,24,4,10,37.5,14,0,1,15
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,34,99,420,181,35,43.1,34,17,4,50.0,1.83,14,0.14,317,8,15,28,99,12.9,380,155,102,54.2,181,14,23,218
レギュラーラウンド,パナソニックパンサーズ,27,72,307,135,28,44.0,26,12,3,46.2,1.88,12,0.17,223,4,11,22,59,10.9,276,115,76,55.4,135,12,15,162
ファイナル６,パナソニックパンサーズ,5,19,75,27,4,36.0,2,1,0,50.0,1.42,1,0.05,57,2,3,6,14,12.3,74,25,20,47.3,27,1,5,33
ファイナル,パナソニックパンサーズ,2,8,38,19,3,50.0,6,4,1,66.7,2.38,1,0.12,37,2,1,0,26,25.7,30,15,6,60.0,19,1,3,23
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,28,41,181,98,15,54.1,18,9,4,50.0,2.39,8,0.20,119,2,0,24,17,0.2,173,58,52,48.6,98,8,2,108
レギュラーラウンド,パナソニックパンサーズ,21,31,147,80,14,54.4,13,6,4,46.2,2.58,8,0.26,96,2,0,22,13,-0.3,143,50,41,49.3,80,8,2,90
ファイナル６,パナソニックパンサーズ,5,7,24,12,1,50.0,4,2,0,50.0,1.71,0,-,14,0,0,2,2,0.0,25,7,10,48.0,12,0,0,12
ファイナル,パナソニックパンサーズ,2,3,10,6,0,60.0,1,1,0,100.0,2.00,0,-,9,0,0,0,2,5.6,5,1,1,30.0,6,0,0,6
天皇杯全日本選手権大会,,2,1,2,0,0,0.0,0,0,0,-,-,0,-,1,0,0,1,0,-25.0,1,0,0,0.0,0,0,0,0
レギュラーラウンド,,2,1,2,0,0,0.0,0,0,0,-,-,0,-,1,0,0,1,0,-25.0,1,0,0,0.0,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,13,18,34,17,3,50.0,3,1,0,33.3,0.94,3,0.17,25,0,1,3,7,10.2,32,13,0,40.6,17,3,1,21
レギュラーラウンド,パナソニックパンサーズ,8,12,19,9,2,47.4,2,1,0,50.0,0.75,1,0.08,19,0,0,2,7,9.2,17,10,0,58.8,9,1,0,10
ファイナル６,パナソニックパンサーズ,5,6,15,8,1,53.3,1,0,0,0.0,1.33,2,0.33,6,0,1,1,0,13.3,15,3,0,20.0,8,2,1,11
レギュラーシーズン通算,,102,267,1286,625,89,48.6,118,63,12,53.4,2.34,64,0.24,896,14,23,88,235,8.2,1242,524,325,55.3,625,64,37,726
通算,,124,316,1472,711,99,48.3,133,71,13,53.4,2.25,68,0.22,1036,19,28,100,283,9.0,1416,579,372,54.0,711,68,47,826
