名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
シルバラケル,JTマーヴェラス,4,12,8,46,14,3,30.4,23.9,2,1,0,4,15,1,1,4,10,7,0,19,50.0,1.75,0.5,11.7,70.0
フールマンフランシーヌ,パイオニアレッドウィングス,3,18,22,233,110,14,47.2,41.2,6,3,1,18,82,5,7,17,1,1,0,133,50.0,5.0,0.82,9.1,100.0
上田かおり,デンソーエアリービーズ,7,12,15,74,23,6,31.1,23.0,0,0,0,9,54,2,3,17,0,0,0,34,,1.53,0.6,10.2,
中村真美,NECレッドロケッツ,8,18,18,0,0,0,,,0,0,0,0,34,1,1,5,0,0,0,1,,0.0,0.0,5.9,
久保庭怜奈,パイオニアレッドウィングス,14,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上香織,デンソーエアリービーズ,8,12,13,58,23,6,39.7,29.3,0,0,0,2,18,0,2,1,0,0,0,25,,1.77,0.15,-1.4,
仁木希,NECレッドロケッツ,4,18,23,229,86,15,37.6,31.0,0,0,0,13,70,1,3,13,133,104,0,100,,3.74,0.57,5.0,78.2
佐々木みき,パイオニアレッドウィングス,0,18,22,272,100,17,36.8,30.5,57,20,4,6,74,1,9,15,93,75,0,107,35.1,4.55,0.27,3.4,80.6
佐田樹理,JTマーヴェラス,8,12,14,0,0,0,,,0,0,0,0,22,0,0,2,38,26,0,0,,0.0,0.0,2.3,68.4
内田役子,パイオニアレッドウィングス,16,18,22,5,2,1,40.0,20.0,0,0,0,5,88,4,8,14,0,0,0,11,,0.09,0.23,6.2,
加藤理絵,パイオニアレッドウィングス,10,6,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
古舘歩,デンソーエアリービーズ,15,12,8,0,0,0,,,0,0,0,0,9,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0
吉原知子,パイオニアレッドウィングス,11,18,22,90,30,6,33.3,26.7,0,0,0,7,74,1,0,21,90,63,0,38,,1.36,0.32,8.4,70.0
吉田実代,パイオニアレッドウィングス,7,18,22,0,0,0,,,0,0,0,0,0,0,0,0,125,89,0,0,,0.0,0.0,,71.2
多治見麻子,パイオニアレッドウィングス,5,18,21,116,40,6,34.5,29.3,0,0,0,10,86,1,4,10,1,1,0,51,,1.9,0.48,2.9,100.0
大貫美奈子,NECレッドロケッツ,3,18,23,25,13,3,52.0,40.0,0,0,0,2,96,8,7,13,1,0,0,23,,0.57,0.09,9.9,0.0
宝来麻紀子,JTマーヴェラス,9,12,16,125,38,6,30.4,25.6,6,1,1,9,34,2,1,8,10,3,0,49,16.7,2.38,0.56,11.0,30.0
山本愛,NECレッドロケッツ,5,18,23,149,57,9,38.3,32.2,15,4,3,12,89,3,7,28,19,11,0,72,26.7,2.48,0.52,9.3,57.9
岡野知子,デンソーエアリービーズ,14,12,15,134,49,12,36.6,27.6,0,0,0,7,52,0,0,12,135,107,0,56,,3.27,0.47,5.8,79.3
島崎みゆき,パイオニアレッドウィングス,6,18,19,13,2,1,15.4,7.7,0,0,0,1,8,0,0,1,20,14,0,3,,0.11,0.05,3.1,70.0
庄司夕起,パイオニアレッドウィングス,4,18,5,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
有田佳織,NECレッドロケッツ,6,18,23,0,0,0,,,0,0,0,0,0,0,0,0,170,132,0,0,,0.0,0.0,,77.6
有田沙織,NECレッドロケッツ,12,18,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
朝倉香苗,JTマーヴェラス,11,12,5,0,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0,,0.0,0.0,,100.0
杉山祥子,NECレッドロケッツ,2,18,23,142,61,9,43.0,36.6,0,0,0,28,68,1,1,11,1,1,0,90,,2.65,1.22,5.1,100.0
松下友香,デンソーエアリービーズ,13,6,5,0,0,0,,,0,0,0,0,7,0,0,0,0,0,0,0,,0.0,0.0,0.0,
松崎さ代子,NECレッドロケッツ,7,18,6,6,1,1,16.7,0.0,0,0,0,0,2,0,0,0,1,1,0,1,,0.17,0.0,0.0,100.0
栗田奈穂,NECレッドロケッツ,16,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
梅尾千草,NECレッドロケッツ,9,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森山淳子,JTマーヴェラス,3,12,12,59,21,2,35.6,32.2,2,0,0,7,44,2,2,8,18,13,0,30,0.0,1.75,0.58,8.0,72.2
榛澤舞子,パイオニアレッドウィングス,9,18,20,104,36,8,34.6,26.9,0,0,0,2,69,0,8,7,98,74,0,38,,1.8,0.1,-0.4,75.5
横山雅美,デンソーエアリービーズ,6,12,15,17,7,0,41.2,41.2,0,0,0,5,48,0,0,13,0,0,0,12,,0.47,0.33,6.8,
櫻井由香,デンソーエアリービーズ,9,12,15,0,0,0,,,0,0,0,0,0,0,0,0,95,80,0,0,,0.0,0.0,,84.2
江藤直美,JTマーヴェラス,1,12,16,77,27,3,35.1,31.2,0,0,0,8,44,2,0,9,4,1,0,37,,1.69,0.5,9.7,25.0
河村めぐみ,NECレッドロケッツ,10,18,23,98,35,4,35.7,31.6,0,0,0,10,74,2,5,27,2,1,0,47,,1.52,0.43,10.1,50.0
河村聖子,JTマーヴェラス,10,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
渡部有香,デンソーエアリービーズ,11,12,15,156,61,10,39.1,32.7,17,6,1,3,46,1,3,10,1,1,0,65,35.3,4.07,0.2,6.0,100.0
温水麻子,デンソーエアリービーズ,2,12,8,11,4,0,36.4,36.4,0,0,0,0,4,0,0,3,0,0,0,4,,0.5,0.0,18.8,
熊前知加子,JTマーヴェラス,6,12,16,148,53,14,35.8,26.4,10,4,1,5,44,2,4,10,107,91,0,60,40.0,3.31,0.31,8.0,85.0
