名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
シルバラケル,2005-03,JTマーヴェラス,4,8,46,14,3,30.4,23.9,2,1,0,4,15,1,1,4,10,7,0,19,50.0,1.75,0.5,11.7,70.0
フールマンフランシーヌ,2005-03,パイオニアレッドウィングス,3,22,233,110,14,47.2,41.2,6,3,1,18,82,5,7,17,1,1,0,133,50.0,5.0,0.82,9.1,100.0
上田かおり,2005-03,デンソーエアリービーズ,7,15,74,23,6,31.1,23.0,0,0,0,9,54,2,3,17,0,0,0,34,,1.53,0.6,10.2,
中村真美,2005-03,NECレッドロケッツ,8,18,0,0,0,,,0,0,0,0,34,1,1,5,0,0,0,1,,0.0,0.0,5.9,
久保庭怜奈,2005-03,パイオニアレッドウィングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上香織,2005-03,デンソーエアリービーズ,8,13,58,23,6,39.7,29.3,0,0,0,2,18,0,2,1,0,0,0,25,,1.77,0.15,-1.4,
仁木希,2005-03,NECレッドロケッツ,4,23,229,86,15,37.6,31.0,0,0,0,13,70,1,3,13,133,104,0,100,,3.74,0.57,5.0,78.2
佐々木みき,2005-03,パイオニアレッドウィングス,0,22,272,100,17,36.8,30.5,57,20,4,6,74,1,9,15,93,75,0,107,35.1,4.55,0.27,3.4,80.6
佐田樹理,2005-03,JTマーヴェラス,8,14,0,0,0,,,0,0,0,0,22,0,0,2,38,26,0,0,,0.0,0.0,2.3,68.4
内田役子,2005-03,パイオニアレッドウィングス,16,22,5,2,1,40.0,20.0,0,0,0,5,88,4,8,14,0,0,0,11,,0.09,0.23,6.2,
加藤理絵,2005-03,パイオニアレッドウィングス,10,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
古舘歩,2005-03,デンソーエアリービーズ,15,8,0,0,0,,,0,0,0,0,9,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0
吉原知子,2005-03,パイオニアレッドウィングス,11,22,90,30,6,33.3,26.7,0,0,0,7,74,1,0,21,90,63,0,38,,1.36,0.32,8.4,70.0
吉田実代,2005-03,パイオニアレッドウィングス,7,22,0,0,0,,,0,0,0,0,0,0,0,0,125,89,0,0,,0.0,0.0,,71.2
多治見麻子,2005-03,パイオニアレッドウィングス,5,21,116,40,6,34.5,29.3,0,0,0,10,86,1,4,10,1,1,0,51,,1.9,0.48,2.9,100.0
大貫美奈子,2005-03,NECレッドロケッツ,3,23,25,13,3,52.0,40.0,0,0,0,2,96,8,7,13,1,0,0,23,,0.57,0.09,9.9,0.0
宝来麻紀子,2005-03,JTマーヴェラス,9,16,125,38,6,30.4,25.6,6,1,1,9,34,2,1,8,10,3,0,49,16.7,2.38,0.56,11.0,30.0
山本愛,2005-03,NECレッドロケッツ,5,23,149,57,9,38.3,32.2,15,4,3,12,89,3,7,28,19,11,0,72,26.7,2.48,0.52,9.3,57.9
岡野知子,2005-03,デンソーエアリービーズ,14,15,134,49,12,36.6,27.6,0,0,0,7,52,0,0,12,135,107,0,56,,3.27,0.47,5.8,79.3
島崎みゆき,2005-03,パイオニアレッドウィングス,6,19,13,2,1,15.4,7.7,0,0,0,1,8,0,0,1,20,14,0,3,,0.11,0.05,3.1,70.0
庄司夕起,2005-03,パイオニアレッドウィングス,4,5,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
有田佳織,2005-03,NECレッドロケッツ,6,23,0,0,0,,,0,0,0,0,0,0,0,0,170,132,0,0,,0.0,0.0,,77.6
有田沙織,2005-03,NECレッドロケッツ,12,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
朝倉香苗,2005-03,JTマーヴェラス,11,5,0,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0,,0.0,0.0,,100.0
杉山祥子,2005-03,NECレッドロケッツ,2,23,142,61,9,43.0,36.6,0,0,0,28,68,1,1,11,1,1,0,90,,2.65,1.22,5.1,100.0
松下友香,2005-03,デンソーエアリービーズ,13,5,0,0,0,,,0,0,0,0,7,0,0,0,0,0,0,0,,0.0,0.0,0.0,
松崎さ代子,2005-03,NECレッドロケッツ,7,6,6,1,1,16.7,0.0,0,0,0,0,2,0,0,0,1,1,0,1,,0.17,0.0,0.0,100.0
