名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エドガートーマス,2019-04,JTサンダーズ,6,8,8,91,42,6,46.2,39.6,43,22,5,3,24,0,10,7,0,0,0,45,51.2,5.25,0.38,-3.1,
クビアクミハウ,2019-04,パナソニックパンサーズ,13,8,8,80,37,8,46.2,36.2,11,7,2,1,30,2,6,9,83,37,23,40,63.6,4.62,0.12,9.2,58.4
久原大輝,2019-04,JTサンダーズ,11,8,5,0,0,0,,,0,0,0,0,5,0,1,0,0,0,0,0,,0.0,0.0,-5.0,
久原翼,2019-04,パナソニックパンサーズ,7,8,8,38,19,3,50.0,42.1,6,4,1,1,37,3,0,26,30,15,6,23,66.7,2.38,0.12,25.7,60.0
井上航,2019-04,JTサンダーズ,10,8,8,0,0,0,,,0,0,0,0,0,0,0,0,22,8,3,0,,0.0,0.0,,43.2
今村貴彦,2019-04,パナソニックパンサーズ,9,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊賀亮平,2019-04,パナソニックパンサーズ,16,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
八子大輔,2019-04,JTサンダーズ,7,8,1,7,3,0,42.9,42.9,2,0,0,0,4,0,0,1,0,0,0,3,0.0,3.0,0.0,6.2,
劉力賓,2019-04,JTサンダーズ,16,8,8,49,25,2,51.0,46.9,8,5,0,5,24,1,8,6,69,25,10,31,62.5,3.12,0.62,2.1,43.5
合田心平,2019-04,JTサンダーズ,12,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
唐川大志,2019-04,JTサンダーズ,15,8,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大竹壱青,2019-04,パナソニックパンサーズ,4,8,8,64,28,4,43.8,37.5,22,8,3,3,31,6,7,8,0,0,0,37,36.4,3.5,0.38,20.2,
安永拓弥,2019-04,JTサンダーズ,1,8,8,16,13,0,81.2,81.2,0,0,0,8,19,0,0,4,0,0,0,21,,1.62,1.0,5.3,
小野寺太志,2019-04,JTサンダーズ,2,8,8,25,14,2,56.0,48.0,0,0,0,6,37,3,3,10,5,1,1,23,,1.75,0.75,12.8,30.0
山内晶大,2019-04,パナソニックパンサーズ,10,8,8,23,15,0,65.2,65.2,0,0,0,3,29,1,1,11,0,0,0,19,,1.88,0.38,12.1,
山本将平,2019-04,JTサンダーズ,18,8,8,31,11,3,35.5,25.8,0,0,0,1,27,0,5,4,54,22,14,12,,1.38,0.12,-0.9,53.7
山添信也,2019-04,パナソニックパンサーズ,3,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新貴裕,2019-04,パナソニックパンサーズ,20,8,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
武智洸史,2019-04,JTサンダーズ,8,8,7,3,1,1,33.3,0.0,1,0,0,0,5,0,0,2,10,3,0,1,0.0,0.14,0.0,10.0,30.0
永野健,2019-04,パナソニックパンサーズ,17,8,8,0,0,0,,,0,0,0,0,0,0,0,0,34,14,9,0,,0.0,0.0,,54.4
深津旭弘,2019-04,JTサンダーズ,3,8,8,2,0,0,0.0,0.0,0,0,0,4,39,1,4,8,0,0,0,5,,0.0,0.5,5.1,
深津英臣,2019-04,パナソニックパンサーズ,2,8,8,2,1,0,50.0,50.0,0,0,0,2,34,1,0,11,0,0,0,4,,0.12,0.25,11.0,
清水邦広,2019-04,パナソニックパンサーズ,1,8,3,6,3,2,50.0,16.7,1,0,1,1,1,0,0,0,0,0,0,4,0.0,1.0,0.33,0.0,
渡辺奏吾,2019-04,パナソニックパンサーズ,5,8,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
白澤健児,2019-04,パナソニックパンサーズ,6,8,8,10,6,0,60.0,60.0,0,0,0,5,23,1,4,3,1,0,1,12,,0.75,0.62,3.3,50.0
福澤達哉,2019-04,パナソニックパンサーズ,15,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筧本翔昂,2019-04,JTサンダーズ,20,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
金子聖輝,2019-04,JTサンダーズ,17,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
陳建禎,2019-04,パナソニックパンサーズ,19,8,6,2,2,0,100.0,100.0,0,0,0,0,0,0,0,0,2,1,0,2,,0.33,0.0,,50.0
