名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カジースキマテイ,ジェイテクトSTINGS,6,4,28,11,2,39.3,32.1,4,3,0,1,19,2,3,5,20,12,3,14,75.0,2.8,0.2,13.2,67.5
ムセルスキードミトリー,サントリーサンバーズ,13,4,50,29,4,58.0,50.0,25,14,4,2,16,2,6,3,0,0,0,33,56.0,7.2,0.5,7.8,
中根聡太,ジェイテクトSTINGS,15,4,0,0,0,,,0,0,0,0,13,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0
久保山尚,ジェイテクトSTINGS,16,3,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
伏見大和,ジェイテクトSTINGS,3,4,9,4,0,44.4,44.4,0,0,0,1,9,0,3,0,0,0,0,5,,1.0,0.2,-8.3,
佐藤謙次,サントリーサンバーズ,21,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
喜入祥充,サントリーサンバーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
塩田達也,サントリーサンバーズ,12,4,7,2,1,28.6,14.3,0,0,0,2,9,0,2,0,1,0,1,4,,0.5,0.5,-5.6,50.0
大宅真樹,サントリーサンバーズ,9,4,0,0,0,,,0,0,0,0,13,1,3,3,1,0,0,1,,0.0,0.0,7.7,0.0
季道帥,サントリーサンバーズ,6,4,22,7,2,31.8,22.7,5,2,1,4,12,0,3,3,6,0,2,11,40.0,1.8,1.0,0.0,16.7
小川猛,サントリーサンバーズ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小林光輝,ジェイテクトSTINGS,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小野遥輝,サントリーサンバーズ,3,4,15,8,3,53.3,33.3,0,0,0,2,12,2,3,3,1,0,1,12,,2.0,0.5,16.7,50.0
星谷健太朗,サントリーサンバーズ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
本間隆太,ジェイテクトSTINGS,17,4,0,0,0,,,0,0,0,0,0,0,0,0,10,6,2,0,,0.0,0.0,,70.0
栗山雅史,サントリーサンバーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
浅野博亮,ジェイテクトSTINGS,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
福山汰一,ジェイテクトSTINGS,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
秦耕介,サントリーサンバーズ,11,3,0,0,0,,,0,0,0,1,4,0,0,2,2,0,2,1,,0.0,0.3,12.5,50.0
興梠亮,ジェイテクトSTINGS,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤中優斗,ジェイテクトSTINGS,1,4,10,5,2,50.0,30.0,0,0,0,1,16,0,1,2,35,17,9,6,,1.2,0.2,1.6,61.4
藤中謙也,サントリーサンバーズ,10,4,15,5,2,33.3,20.0,2,2,0,1,21,0,1,3,58,29,14,6,100.0,1.2,0.2,2.4,62.1
袴谷亮介,ジェイテクトSTINGS,11,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
西田寛基,サントリーサンバーズ,20,3,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
西田有志,ジェイテクトSTINGS,14,4,51,28,2,54.9,51.0,20,12,1,0,19,5,2,7,0,0,0,33,60.0,7.0,0.0,32.9,
金丸晃大,ジェイテクトSTINGS,2,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
饒書涵,ジェイテクトSTINGS,5,4,10,7,1,70.0,60.0,0,0,0,0,16,1,1,2,3,0,1,8,,1.8,0.0,7.8,16.7
鶴田大樹,サントリーサンバーズ,1,4,0,0,0,,,0,0,0,0,0,0,0,0,15,7,6,0,,0.0,0.0,,66.7
