名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンジェルコチュク,豊田合成トレフェルサ,10,12,124,43,12,34.7,25.0,56,16,11,6,40,1,5,6,0,0,0,28.6,3.6,0.5,3.1,
エンダキエムブレイ,堺ブレイザーズ,7,12,136,65,18,47.8,34.6,54,26,4,4,56,9,9,17,0,0,0,48.1,5.4,0.3,19.6,
タヴァレスジョンパウロ,パナソニックパンサーズ,11,12,104,44,8,42.3,34.6,30,19,3,6,54,5,11,19,50,29,0,63.3,3.7,0.5,13.0,58.0
ボヨビッチデヤン,東レアローズ,12,10,101,40,7,39.6,32.7,42,16,4,4,42,0,12,9,1,0,0,38.1,4.0,0.4,-1.8,0.0
丸山祥二,豊田合成トレフェルサ,18,10,6,3,0,50.0,50.0,0,0,0,1,7,0,2,3,1,1,0,,0.3,0.1,3.6,100.0
井上崇昭,豊田合成トレフェルサ,8,12,59,25,5,42.4,33.9,14,5,2,5,26,1,6,7,39,16,0,35.7,2.1,0.4,4.8,41.0
井上裕介,堺ブレイザーズ,2,12,0,0,0,,,0,0,0,0,0,0,0,0,53,38,0,,0.0,0.0,,71.7
今村駿,堺ブレイザーズ,19,12,4,2,1,50.0,25.0,0,0,0,2,32,0,3,2,0,0,0,,0.2,0.2,-0.8,
今田祐介,東レアローズ,14,5,26,14,2,53.8,46.2,3,2,0,0,10,1,2,1,13,5,0,66.7,2.8,0.0,7.5,38.5
伊藤信博,堺ブレイザーズ,15,10,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
勝野裕士,東レアローズ,15,9,0,0,0,,,0,0,0,0,0,0,0,0,76,57,0,,0.0,0.0,,75.0
北島武,堺ブレイザーズ,4,9,57,20,5,35.1,26.3,7,4,1,2,52,4,9,13,101,71,0,57.1,2.2,0.2,9.6,70.3
北川祐介,豊田合成トレフェルサ,2,12,23,9,3,39.1,26.1,0,0,0,8,33,0,0,5,1,1,0,,0.8,0.7,3.8,100.0
古田史郎,東レアローズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
