名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウォレスマルティンス,堺ブレイザーズ,18,146,83,1003,463,66,46.2,39.6,470,237,33,35,326,15,71,120,8,2,0,513,50.4,5.58,0.42,8.4,25.0
エスコバルヤドリアン,サントリーサンバーズ,4,146,80,950,467,98,49.2,38.8,471,230,43,21,304,24,85,111,12,3,0,512,48.8,5.84,0.26,10.0,25.0
オムルチェンイゴール,豊田合成トレフェルサ,15,146,76,992,540,63,54.4,48.1,433,240,37,33,338,36,98,137,2,0,0,609,55.4,7.11,0.43,13.5,0.0
カジースキマテイ,ジェイテクトSTINGS,1,146,77,763,395,41,51.8,46.4,136,80,8,35,329,33,61,163,500,326,0,463,58.8,5.13,0.45,17.8,65.2
クビアクミハウ,パナソニックパンサーズ,13,98,63,483,252,39,52.2,44.1,65,32,9,38,248,12,47,99,533,341,0,302,49.2,4.0,0.6,10.1,64.0
ジョルジェフニコラ,東レアローズ,14,146,79,912,475,51,52.1,46.5,442,216,29,18,325,19,84,133,0,0,0,512,48.9,6.01,0.23,9.6,
ベゼラジュニオル,JTサンダーズ,12,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ペピチミラン,FC東京,6,113,64,704,327,73,46.4,36.1,288,133,42,21,238,25,86,82,0,0,0,373,46.2,5.11,0.33,10.1,
ルブリッチドラジェン,JTサンダーズ,19,146,82,954,441,79,46.2,37.9,379,164,42,18,297,14,76,106,1,0,0,473,43.3,5.38,0.22,7.2,0.0
中島健太,JTサンダーズ,4,130,40,77,42,2,54.5,51.9,1,0,0,16,104,4,20,18,1,0,0,62,0.0,1.05,0.4,3.4,0.0
久保山尚,ジェイテクトSTINGS,16,146,58,16,8,0,50.0,50.0,1,0,0,6,157,5,6,43,1,0,0,19,0.0,0.14,0.1,9.1,0.0
久原大輝,JTサンダーズ,8,146,32,1,1,0,100.0,100.0,0,0,0,0,5,0,0,2,104,66,0,1,,0.03,0.0,10.0,63.5
久原翼,パナソニックパンサーズ,7,10,12,19,9,2,47.4,36.8,2,1,0,1,19,0,2,7,17,10,0,10,50.0,0.75,0.08,6.6,58.8
井上仁,FC東京,29,14,5,13,5,1,38.5,30.8,0,0,0,2,11,0,3,2,0,0,0,7,,1.0,0.4,-2.3,
井上俊輔,JTサンダーズ,9,146,22,2,2,0,100.0,100.0,0,0,0,8,50,3,8,10,1,0,0,13,,0.09,0.36,7.0,0.0
井上慎一朗,JTサンダーズ,6,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上航,JTサンダーズ,10,6,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上裕介,堺ブレイザーズ,2,146,83,0,0,0,,,0,0,0,0,0,0,0,0,408,241,0,0,,0.0,0.0,,59.1
井手智,東レアローズ,22,146,35,0,0,0,,,0,0,0,0,0,0,0,0,153,98,0,0,,0.0,0.0,,64.1
今富稜介,堺ブレイザーズ,16,146,24,0,0,0,,,0,0,0,0,0,0,0,0,15,10,0,0,,0.0,0.0,,66.7
今村貴彦,パナソニックパンサーズ,9,146,29,92,48,7,52.2,44.6,26,16,2,5,45,2,11,7,3,2,0,55,61.5,1.66,0.17,2.2,66.7
伊藤康貴,堺ブレイザーズ,11,135,44,98,40,10,40.8,30.6,1,0,0,7,111,5,25,34,246,134,0,52,0.0,0.91,0.16,6.5,54.5
伏見大和,東レアローズ,3,138,7,19,12,0,63.2,63.2,0,0,0,2,20,2,6,7,0,0,0,16,,1.71,0.29,11.2,
佐川翔,堺ブレイザーズ,8,146,59,17,12,1,70.6,64.7,0,0,0,18,187,8,29,50,6,0,0,38,,0.2,0.31,7.1,0.0
佐野翔,東レアローズ,4,144,43,30,13,0,43.3,43.3,5,1,0,2,13,0,2,3,3,0,0,15,20.0,0.3,0.05,1.9,0.0
傳田亮太,豊田合成トレフェルサ,11,146,76,154,94,6,61.0,57.1,4,0,0,55,266,21,60,87,5,4,0,170,0.0,1.24,0.72,10.4,80.0
