名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウォレスマルティンス,2016-10,堺ブレイザーズ,18,5,63,29,5,46.0,38.1,22,16,1,2,15,0,3,7,0,0,0,31,72.7,5.8,0.4,6.7,
ウォレスマルティンス,2016-11,堺ブレイザーズ,18,25,284,127,20,44.7,37.7,136,62,10,16,93,2,20,35,4,0,0,145,45.6,5.08,0.64,6.2,0.0
ウォレスマルティンス,2016-12,堺ブレイザーズ,18,18,221,110,18,49.8,41.6,112,56,11,6,71,3,15,25,4,2,0,119,50.0,6.11,0.33,7.7,50.0
ウォレスマルティンス,2017-01,堺ブレイザーズ,18,27,347,153,21,44.1,38.0,160,79,11,10,114,9,22,44,0,0,0,172,49.4,5.67,0.37,12.7,
ウォレスマルティンス,2017-02,堺ブレイザーズ,18,8,88,44,2,50.0,47.7,40,24,0,1,33,1,11,9,0,0,0,46,60.0,5.5,0.12,1.5,
エスコバルヤドリアン,2016-10,サントリーサンバーズ,4,4,48,32,5,66.7,56.2,24,14,3,0,16,1,7,5,0,0,0,33,58.3,8.0,0.0,3.1,
エスコバルヤドリアン,2016-11,サントリーサンバーズ,4,26,301,151,26,50.2,41.5,142,66,10,7,103,9,30,39,2,0,0,167,46.5,5.81,0.27,10.9,0.0
エスコバルヤドリアン,2016-12,サントリーサンバーズ,4,16,190,90,22,47.4,35.8,112,53,15,5,58,5,14,26,6,2,0,100,47.3,5.62,0.31,13.8,33.3
エスコバルヤドリアン,2017-01,サントリーサンバーズ,4,27,321,149,37,46.4,34.9,154,78,13,7,105,8,28,35,4,1,0,164,50.6,5.52,0.26,9.3,25.0
エスコバルヤドリアン,2017-02,サントリーサンバーズ,4,7,90,45,8,50.0,41.1,39,19,2,2,22,1,6,6,0,0,0,48,48.7,6.43,0.29,4.5,
オムルチェンイゴール,2016-10,豊田合成トレフェルサ,15,3,42,17,7,40.5,23.8,22,9,3,1,14,0,6,5,0,0,0,18,40.9,5.67,0.33,-1.8,
