名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
エリザンジェラオリヴェイラ,久光製薬スプリングス,11,100,1261,505,103,40.0,31.9,520,211,54,46,318,21,70,80,1,0,0,40.6,5.0,0.5,7.4
キムヨンギョン,JTマーヴェラス,10,102,1322,630,85,47.7,41.2,225,98,21,48,384,18,58,107,661,387,0,43.6,6.2,0.5,7.9
コロンボレナタ,トヨタ車体クインシーズ,17,98,1138,402,76,35.3,28.6,164,53,13,33,273,8,42,87,3,1,0,32.3,4.1,0.3,7.1
スタエレンスシャイーヌ,デンソーエアリービーズ,34,95,1047,424,84,40.5,32.5,104,44,12,24,327,18,40,129,217,99,0,42.3,4.5,0.3,12.3
バルボッサシンシア,東レアローズ,8,82,543,207,28,38.1,33.0,101,40,13,20,216,8,17,80,123,54,0,39.6,2.5,0.2,11.0
フォフィーニャアナパウラ,NECレッドロケッツ,5,113,1245,412,62,33.1,28.1,126,30,12,36,417,32,33,135,746,373,0,23.8,3.6,0.3,13.8
中道瞳,東レアローズ,6,89,26,14,1,53.8,50.0,1,1,0,7,328,15,17,102,1,0,0,100.0,0.2,0.1,11.1
久保雅,JTマーヴェラス,4,16,23,8,1,34.8,30.4,0,0,0,6,29,4,3,11,0,0,0,,0.5,0.4,20.7
井上奈々朱,デンソーエアリービーズ,18,44,13,5,2,38.5,23.1,0,0,0,4,13,1,2,8,10,5,0,,0.1,0.1,19.2
井上琴絵,JTマーヴェラス,13,102,0,0,0,,,0,0,0,0,0,0,0,0,360,251,0,,0.0,0.0,
井上香織,デンソーエアリービーズ,8,103,534,225,15,42.1,39.3,0,0,0,87,342,10,23,145,10,6,0,,2.2,0.8,11.8
井野亜季子,NECレッドロケッツ,10,113,0,0,0,,,0,0,0,0,0,0,0,0,468,335,0,,0.0,0.0,
今野加奈子,パイオニアレッドウィングス,8,24,176,53,12,30.1,23.3,32,9,3,1,46,2,2,23,14,4,0,28.1,2.2,0.0,15.8
位田愛,JTマーヴェラス,5,99,722,257,19,35.6,33.0,1,0,0,35,321,9,13,122,614,365,0,0.0,2.6,0.4,11.3
佐藤美耶,東レアローズ,11,15,9,1,3,11.1,-22.2,0,0,0,1,16,2,6,1,0,0,0,,0.1,0.1,4.7
佐野優子,久光製薬スプリングス,10,100,0,0,0,,,0,0,0,0,0,0,0,0,364,252,0,,0.0,0.0,
先野久美子,久光製薬スプリングス,4,94,315,142,9,45.1,42.2,0,0,0,26,314,10,17,103,8,4,0,,1.5,0.3,10.0
八幡美樹,NECレッドロケッツ,20,36,284,81,21,28.5,21.1,11,3,2,0,81,4,8,23,144,78,0,27.3,2.2,0.0,9.6
八田奈都己,トヨタ車体クインシーズ,11,64,0,0,0,,,0,0,0,0,0,0,0,0,260,154,0,,0.0,0.0,
内田暁子,NECレッドロケッツ,9,83,536,165,35,30.8,24.3,31,10,2,8,228,5,24,68,431,234,0,32.3,2.0,0.1,7.0
内藤香菜子,NECレッドロケッツ,3,97,459,165,23,35.9,30.9,1,1,0,44,278,6,14,90,13,7,0,100.0,1.7,0.5,9.0
冨永こよみ,パイオニアレッドウィングス,24,91,97,37,6,38.1,32.0,0,0,0,20,246,13,26,90,6,2,0,,0.4,0.2,11.8
前田見奈子,トヨタ車体クインシーズ,7,11,18,4,3,22.2,5.6,0,0,0,3,17,0,1,3,0,0,0,,0.4,0.3,2.9
北村みどり,岡山シーガルズ,11,9,0,0,0,,,0,0,0,0,13,1,1,5,13,7,0,,0.0,0.0,15.4
千葉智枝美,JTマーヴェラス,19,10,6,1,0,16.7,16.7,0,0,0,0,12,0,1,7,12,8,0,,0.1,0.0,12.5
卜部里菜,岡山シーガルズ,22,28,33,8,5,24.2,9.1,0,0,0,4,50,3,2,8,67,30,0,,0.3,0.1,9.0
古藤千鶴,久光製薬スプリングス,2,51,13,8,0,61.5,61.5,0,0,0,10,81,6,8,30,0,0,0,,0.2,0.2,14.2
吉田みなみ,岡山シーガルズ,1,34,0,0,0,,,0,0,0,0,38,1,4,13,77,44,0,,0.0,0.0,8.6
吉田真未,パイオニアレッドウィングス,20,102,0,0,0,,,0,0,0,0,0,0,0,0,839,565,0,,0.0,0.0,
和田麻里江,東レアローズ,13,70,185,67,7,36.2,32.4,0,0,0,20,179,8,11,64,4,1,0,,1.0,0.3,11.9
坂下麻衣子,JTマーヴェラス,1,28,100,31,3,31.0,28.0,22,8,0,5,26,2,5,14,1,1,0,36.4,1.1,0.2,16.3
堀口夏実,岡山シーガルズ,6,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
堀崎智恵美,トヨタ車体クインシーズ,15,82,155,55,10,35.5,29.0,0,0,0,11,123,3,8,43,356,229,0,,0.7,0.1,9.6
堀田理恵,岡山シーガルズ,55,7,0,0,0,,,0,0,0,0,4,0,0,1,18,12,0,,0.0,0.0,6.2
多治見麻子,パイオニアレッドウィングス,5,46,195,78,10,40.0,34.9,1,0,0,21,107,2,10,28,11,8,0,0.0,1.7,0.5,6.1
大塚真菜,トヨタ車体クインシーズ,12,53,50,14,6,28.0,16.0,0,0,0,2,83,3,14,26,18,10,0,,0.3,0.0,7.2
大山加奈,東レアローズ,3,17,137,48,9,35.0,28.5,29,14,4,8,62,5,4,12,0,0,0,48.3,2.8,0.5,11.3
大山未希,東レアローズ,7,77,6,2,0,33.3,33.3,0,0,0,6,90,2,7,34,2,0,0,,0.0,0.1,9.7
大村加奈子,久光製薬スプリングス,8,29,10,4,0,40.0,40.0,0,0,0,2,6,0,1,1,0,0,0,,0.1,0.1,0.0
大村祥子,デンソーエアリービーズ,23,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0
大槻真弥,デンソーエアリービーズ,14,44,0,0,0,,,0,0,0,0,11,0,0,6,52,26,0,,0.0,0.0,13.6
奥田恭子,デンソーエアリービーズ,15,15,104,27,4,26.0,22.1,0,0,0,2,35,1,1,11,82,34,0,,1.8,0.1,10.0
安藤典莉子,NECレッドロケッツ,12,62,98,33,7,33.7,26.5,13,3,3,9,89,5,14,27,2,1,0,23.1,0.5,0.1,9.3
宮下遥,岡山シーガルズ,14,60,1,0,0,0.0,0.0,0,0,0,3,56,3,5,15,16,5,0,,0.0,0.0,9.8
宮田由佳里,東レアローズ,18,32,93,34,9,36.6,26.9,0,0,0,15,91,3,3,39,0,0,0,,1.1,0.5,13.2
小山修加,久光製薬スプリングス,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
小平花織,東レアローズ,19,12,3,2,1,66.7,33.3,0,0,0,0,17,0,0,4,5,4,0,,0.2,0.0,5.9
小林亜里沙,岡山シーガルズ,17,18,27,4,1,14.8,11.1,0,0,0,0,16,2,0,5,4,0,0,,0.2,0.0,20.3
小菅真弓,岡山シーガルズ,41,62,8,3,1,37.5,25.0,0,0,0,6,123,3,1,18,7,2,0,,0.0,0.1,5.9
小酒翔子,JTマーヴェラス,11,13,0,0,0,,,0,0,0,0,20,0,0,5,6,3,0,,0.0,0.0,6.2
山口舞,岡山シーガルズ,2,104,687,269,27,39.2,35.2,0,0,0,47,332,5,6,60,410,256,0,,2.6,0.5,5.6
山本愛,JTマーヴェラス,3,102,430,200,12,46.5,43.7,0,0,0,60,335,16,26,120,17,13,0,,2.0,0.6,11.8
山本陽子,トヨタ車体クインシーズ,3,58,118,43,12,36.4,26.3,0,0,0,8,114,7,8,41,3,2,0,,0.7,0.1,13.4
山田真里,トヨタ車体クインシーズ,21,3,17,5,3,29.4,11.8,0,0,0,1,6,0,1,3,27,20,0,,1.7,0.3,8.3
岡野弘子,岡山シーガルズ,15,82,10,3,0,30.0,30.0,0,0,0,19,203,8,5,69,1,0,0,,0.0,0.2,11.8
岩坂名奈,久光製薬スプリングス,17,24,34,12,2,35.3,29.4,0,0,0,6,42,2,3,19,6,1,0,,0.5,0.2,14.3
峯村沙紀,東レアローズ,20,5,0,0,0,,,0,0,0,0,9,1,0,3,0,0,0,,0.0,0.0,19.4
島村春世,NECレッドロケッツ,22,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
川原麻実,JTマーヴェラス,15,77,244,84,11,34.4,29.9,9,2,2,20,115,8,4,46,130,68,0,22.2,1.1,0.3,16.1
川島亜依美,岡山シーガルズ,28,1,3,0,0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,0,,0.0,0.0,-25.0
川畑愛希,岡山シーガルズ,8,70,636,197,32,31.0,25.9,1,0,0,4,204,4,1,47,149,78,0,0.0,2.8,0.1,7.6
平井香菜子,久光製薬スプリングス,9,100,430,174,26,40.5,34.4,0,0,0,46,315,22,24,108,10,4,0,,1.7,0.5,13.7
成田郁久美,パイオニアレッドウィングス,7,101,490,171,31,34.9,28.6,6,2,0,58,295,3,29,74,408,303,0,33.3,1.7,0.6,4.8
新鍋理沙,久光製薬スプリングス,18,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,,0.0,0.0,0.0
有田沙織,NECレッドロケッツ,6,76,359,133,21,37.0,31.2,43,12,8,15,124,9,8,39,14,7,0,27.9,1.8,0.2,13.5
服部梨花,パイオニアレッドウィングス,27,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
服部鮎弥,トヨタ車体クインシーズ,16,20,36,12,4,33.3,22.2,0,0,0,1,33,0,4,3,78,54,0,,0.6,0.0,-0.8
木村沙織,東レアローズ,10,108,1306,496,81,38.0,31.8,130,42,15,43,390,27,31,159,1088,669,0,32.3,4.6,0.4,15.1
本田つばさ,デンソーエアリービーズ,22,6,0,0,0,,,0,0,0,0,6,0,1,2,0,0,0,,0.0,0.0,4.2
杉山祥子,NECレッドロケッツ,2,113,627,254,27,40.5,36.2,0,0,0,80,308,7,22,100,9,3,0,,2.2,0.7,8.6
杉本早希,パイオニアレッドウィングス,2,78,575,172,41,29.9,22.8,51,16,3,3,234,18,31,85,324,179,0,31.4,2.2,0.0,13.5
村田奈都美,岡山シーガルズ,12,92,1110,330,62,29.7,24.1,1,0,0,23,250,4,20,81,178,89,0,0.0,3.6,0.2,7.7
松崎さ代子,NECレッドロケッツ,4,18,94,39,8,41.5,33.0,4,1,1,15,58,6,8,14,5,4,0,25.0,2.2,0.8,12.9
松浦寛子,NECレッドロケッツ,19,105,279,96,14,34.4,29.4,1,0,0,21,244,12,24,87,164,60,0,0.0,0.9,0.2,11.4
板橋恵,パイオニアレッドウィングス,3,62,22,11,0,50.0,50.0,0,0,0,6,154,3,12,44,0,0,0,,0.2,0.1,7.1
栗原恵,パイオニアレッドウィングス,1,46,625,197,43,31.5,24.6,150,47,19,19,164,9,17,55,175,100,0,31.3,4.3,0.4,11.3
梶原雪路,トヨタ車体クインシーズ,22,62,0,0,0,,,0,0,0,0,0,0,0,0,243,159,0,,0.0,0.0,
森和代,岡山シーガルズ,21,104,639,228,34,35.7,30.4,1,0,0,64,369,18,9,92,366,201,0,0.0,2.2,0.6,10.5
櫻井由香,デンソーエアリービーズ,9,80,0,0,0,,,0,0,0,0,8,0,1,3,122,79,0,,0.0,0.0,6.2
水田祐未,久光製薬スプリングス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
河合由貴,JTマーヴェラス,18,35,0,0,0,,,0,0,0,0,12,2,0,6,0,0,0,,0.0,0.0,29.2
河村聖子,トヨタ車体クインシーズ,6,16,2,1,0,50.0,50.0,0,0,0,0,23,0,0,4,0,0,0,,0.1,0.0,4.3
沼田さくら,パイオニアレッドウィングス,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
泉岡未来,デンソーエアリービーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
浅津ゆうこ,久光製薬スプリングス,16,7,21,8,4,38.1,19.0,11,1,4,2,5,0,3,2,0,0,0,9.1,1.1,0.3,-5.0
渡邊絢子,NECレッドロケッツ,1,66,0,0,0,,,0,0,0,0,66,3,2,16,106,50,0,,0.0,0.0,9.8
滝口奈美,NECレッドロケッツ,18,13,0,0,0,,,0,0,0,0,8,0,5,1,33,17,0,,0.0,0.0,-12.5
澁澤夏美,NECレッドロケッツ,16,54,323,90,23,27.9,20.7,19,1,5,10,117,1,12,31,134,48,0,5.3,1.7,0.2,4.9
濱口華菜里,東レアローズ,5,108,0,0,0,,,0,0,0,0,0,0,0,0,512,313,0,,0.0,0.0,
瀬尾有耶,岡山シーガルズ,29,17,0,0,0,,,0,0,0,0,24,0,0,7,20,14,0,,0.0,0.0,7.3
熊谷桜子,デンソーエアリービーズ,5,101,55,27,3,49.1,43.6,0,0,0,17,328,22,24,108,0,0,0,,0.3,0.2,13.1
片下恭子,デンソーエアリービーズ,16,98,0,0,0,,,0,0,0,0,0,0,0,0,500,337,0,,0.0,0.0,
狩野美雪,久光製薬スプリングス,7,38,89,26,2,29.2,27.0,3,0,0,3,73,3,5,30,112,66,0,0.0,0.7,0.1,12.7
狩野舞子,久光製薬スプリングス,6,1,2,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0
田代佳奈美,東レアローズ,21,1,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0
