試合日,年月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,1,,坂下麻衣子,3,□,□,□,,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,2,,谷口雅美,3,■,■,■,,,22,6,1,27.3,22.7,2.00,4,0,0,0.0,0,-,15,3,1,3,21.0,1,1,0,100.0,9
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,3,,山本愛,3,■,■,■,,,17,8,0,47.1,47.1,2.67,0,0,0,-,2,0.67,6,0,1,1,4.2,0,0,0,-,10
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,5,,位田愛,3,■,■,■,,,36,18,0,50.0,50.0,6.00,0,0,0,-,0,-,9,0,0,2,5.6,22,19,0,86.4,18
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,7,,竹下佳江,3,■,■,■,,,0,0,0,,,-,0,0,0,-,1,0.33,11,0,0,3,6.8,0,0,0,-,1
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,8,,高木理江,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,9,,石川友紀,3,■,■,■,,,15,5,0,33.3,33.3,1.67,0,0,0,-,4,1.33,15,0,3,6,10.0,1,1,0,100.0,9
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,10,,キムヨンギョン,3,■,■,■,,,35,15,2,42.9,37.1,5.00,5,3,0,60.0,0,-,13,1,3,0,6.2,21,17,0,81.0,16
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,11,L,小酒翔子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,13,L,井上琴絵,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,7,0,70.0,0
2009-11-28,2009-11,JTマーヴェラス,東レアローズ,14,,遠藤りつこ,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
