名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エリザンジェラオリヴェイラ,2009-11,久光製薬スプリングス,11,4,3,1,7,93,38,6,40.9,34.4,43,16,5,1,27,3,9,4,0,0,0,42,37.2,5.43,0.14,6.5,
エリザンジェラオリヴェイラ,2009-12,久光製薬スプリングス,11,12,1,4,13,180,69,18,38.3,28.3,79,33,11,6,40,2,9,6,1,0,0,77,41.8,5.31,0.46,3.1,0.0
エリザンジェラオリヴェイラ,2010-01,久光製薬スプリングス,11,15,9,5,24,309,127,27,41.1,32.4,140,60,12,13,75,2,20,17,0,0,0,142,42.9,5.29,0.54,1.7,
エリザンジェラオリヴェイラ,2010-02,久光製薬スプリングス,11,22,12,6,34,403,175,30,43.4,36.0,156,63,16,19,110,8,21,30,0,0,0,202,40.4,5.15,0.56,9.3,
エリザンジェラオリヴェイラ,2010-03,久光製薬スプリングス,11,14,8,4,22,276,96,22,34.8,26.8,102,39,10,7,66,6,11,23,0,0,0,109,38.2,4.36,0.32,13.6,
キムヨンギョン,2009-11,JTマーヴェラス,10,6,1,2,7,78,41,8,52.6,42.3,10,6,1,2,26,1,6,2,50,37,0,44,60.0,5.86,0.29,0.0,74.0
キムヨンギョン,2009-12,JTマーヴェラス,10,12,0,4,12,146,65,9,44.5,38.4,18,7,1,6,52,4,9,10,104,67,0,75,38.9,5.42,0.5,8.2,64.4
キムヨンギョン,2010-01,JTマーヴェラス,10,24,5,8,29,379,186,18,49.1,44.3,66,29,3,19,107,5,13,30,183,122,0,210,43.9,6.41,0.66,8.6,66.7
キムヨンギョン,2010-02,JTマーヴェラス,10,24,7,8,31,421,199,28,47.3,40.6,71,32,9,13,111,6,17,34,188,91,0,218,45.1,6.42,0.42,9.2,48.4
キムヨンギョン,2010-03,JTマーヴェラス,10,16,7,4,23,298,139,22,46.6,39.3,60,24,7,8,88,2,13,31,136,70,0,149,40.0,6.04,0.35,7.4,51.5
