試合日,年月,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,1,,山田脩造,3,■,■,■,,,13,7,2,53.8,38.5,2.33,0,0,0,-,2,0.67,10,1,1,5,20.5,25,14,0,56.0,10
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,2,,山近哲,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,4,,内山正平,3,■,■,■,,,2,2,0,100.0,100.0,0.67,0,0,0,-,0,-,9,0,0,1,2.8,0,0,0,-,2
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,5,,前田一誠,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,6,,近裕崇,3,■,■,■,,,6,3,0,50.0,50.0,1.00,0,0,0,-,0,-,19,1,0,8,14.7,0,0,0,-,4
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,10,L,古賀幸一郎,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,6,0,66.7,0
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,11,,傳田亮太,3,■,■,■,,,1,1,0,100.0,100.0,0.33,0,0,0,-,3,1.00,10,0,1,5,12.5,0,0,0,-,4
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,12,,高松卓矢,3,■,■,■,,,11,7,0,63.6,63.6,2.33,0,0,0,-,1,0.33,11,0,1,6,13.6,7,3,0,42.9,8
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,13,,岡本秀明,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2017-02-18,2017-02,2,豊田合成トレフェルサ,パナソニックパンサーズ,14,,椿山竜介,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
