名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウォレスマルティンス,堺ブレイザーズ,18,20,226,105,15,46.5,39.8,101,38,11,7,72,2,16,29,1,1,0,114,37.6,5.2,0.4,7.3,100.0
エスコバルヤドリアン,サントリーサンバーズ,4,21,274,163,19,59.5,52.6,131,86,8,4,89,6,20,38,4,2,0,173,65.6,7.8,0.2,11.8,50.0
オムルチェンイゴール,豊田合成トレフェルサ,15,17,213,118,13,55.4,49.3,100,57,8,10,62,3,17,28,2,1,0,131,57.0,6.9,0.6,9.3,50.0
カジースキマテイ,ジェイテクトSTINGS,1,20,195,92,9,47.2,42.6,40,19,4,2,92,11,25,35,128,75,0,105,47.5,4.6,0.1,14.7,58.6
クビアクミハウ,パナソニックパンサーズ,13,19,167,68,17,40.7,30.5,26,9,3,5,75,5,16,31,125,61,0,78,34.6,3.6,0.3,11.7,48.8
ジョルジェフニコラ,東レアローズ,14,17,213,122,12,57.3,51.6,104,60,7,2,80,10,21,27,3,0,0,134,57.7,7.2,0.1,14.4,0.0
久保山尚,ジェイテクトSTINGS,16,19,4,0,2,0.0,-50.0,1,0,1,4,73,1,1,26,2,0,0,5,0.0,0.0,0.2,9.9,0.0
久原翼,パナソニックパンサーズ,7,6,15,8,1,53.3,46.7,1,0,0,2,6,1,1,0,15,3,0,11,0.0,1.3,0.3,12.5,20.0
井上裕介,堺ブレイザーズ,2,20,0,0,0,,,0,0,0,0,0,0,0,0,85,48,0,0,,0.0,0.0,,56.5
井手智,東レアローズ,22,17,0,0,0,,,0,0,0,0,0,0,0,0,65,38,0,0,,0.0,0.0,,58.5
今富稜介,堺ブレイザーズ,16,20,0,0,0,,,0,0,0,0,0,0,0,0,2,0,0,0,,0.0,0.0,,0.0
今村貴彦,パナソニックパンサーズ,9,19,109,47,8,43.1,35.8,33,11,7,2,71,4,10,29,3,0,0,53,33.3,2.5,0.1,12.3,0.0
伊藤康貴,堺ブレイザーズ,11,14,5,1,0,20.0,20.0,0,0,0,0,4,0,2,1,25,10,0,1,,0.1,0.0,-6.2,40.0
伏見大和,東レアローズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
