名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エスコバルヤドリアン,サントリーサンバーズ,4,20,201,77,16,38.3,30.3,100,38,9,11,80,11,20,30,3,0,1,99,38.0,3.8,0.6,16.9,16.7
エドガートーマス,JTサンダーズ,14,20,303,174,18,57.4,51.5,131,74,17,13,94,10,26,28,0,0,0,197,56.5,8.7,0.6,11.2,
オムルチェンイゴール,豊田合成トレフェルサ,15,19,228,112,17,49.1,41.7,109,59,11,10,106,14,15,36,1,0,0,136,54.1,5.9,0.5,18.2,0.0
カジースキマテイ,ジェイテクトSTINGS,1,19,170,77,8,45.3,40.6,27,16,0,11,89,13,14,39,141,46,52,101,59.3,4.1,0.6,21.6,51.1
ギャビンシュミット,東レアローズ,12,21,249,120,11,48.2,43.8,120,57,6,6,80,9,21,27,1,0,0,135,47.5,5.7,0.3,13.1,0.0
クビアクミハウ,パナソニックパンサーズ,13,17,115,60,8,52.2,45.2,26,12,3,8,89,10,13,30,117,40,39,78,46.2,3.5,0.5,16.0,50.9
中島健太,JTサンダーズ,4,20,29,19,3,65.5,55.2,0,0,0,7,55,0,2,3,3,2,1,26,,1.0,0.4,0.5,83.3
久保山尚,ジェイテクトSTINGS,16,19,4,0,1,0.0,-25.0,1,0,0,4,69,0,3,16,3,0,0,4,0.0,0.0,0.2,4.7,0.0
久原大輝,JTサンダーズ,8,6,2,1,0,50.0,50.0,0,0,0,0,7,0,0,1,12,2,4,1,,0.2,0.0,3.6,33.3
久原翼,パナソニックパンサーズ,7,7,24,12,1,50.0,45.8,4,2,0,0,14,0,2,2,25,7,10,12,50.0,1.7,0.0,0.0,48.0
井上航,JTサンダーズ,10,20,0,0,0,,,0,0,0,0,0,0,0,0,99,40,26,0,,0.0,0.0,,53.5
井手智,東レアローズ,22,6,0,0,0,,,0,0,0,0,0,0,0,0,20,7,1,0,,0.0,0.0,,37.5
今村貴彦,パナソニックパンサーズ,9,14,35,12,2,34.3,28.6,10,2,1,1,13,0,1,4,0,0,0,13,20.0,0.9,0.1,5.8,
伊賀亮平,パナソニックパンサーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伏見大和,東レアローズ,3,18,21,8,2,38.1,28.6,0,0,0,7,29,1,6,11,1,0,1,16,,0.4,0.4,7.8,50.0
傳田亮太,豊田合成トレフェルサ,11,19,49,35,1,71.4,69.4,0,0,0,8,72,5,15,26,1,1,0,48,,1.8,0.4,10.8,100.0
八子大輔,JTサンダーズ,7,6,0,0,0,,,0,0,0,1,4,0,0,1,0,0,0,1,,0.0,0.2,6.2,
内山正平,豊田合成トレフェルサ,4,6,1,1,0,100.0,100.0,0,0,0,0,14,0,0,1,0,0,0,1,,0.2,0.0,1.8,
前田一誠,豊田合成トレフェルサ,5,18,5,1,0,20.0,20.0,0,0,0,3,55,1,0,12,3,0,0,5,,0.1,0.2,7.3,0.0
加藤久典,サントリーサンバーズ,14,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
古賀幸一郎,豊田合成トレフェルサ,10,19,0,0,0,,,0,0,0,0,0,0,0,0,103,47,34,0,,0.0,0.0,,62.1
吉岡光大,JTサンダーズ,5,6,19,9,1,47.4,42.1,2,0,1,2,20,1,4,1,22,2,9,12,0.0,1.5,0.3,1.2,29.5
唐川大志,JTサンダーズ,15,15,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
喜入祥充,サントリーサンバーズ,15,11,0,0,0,,,0,0,0,0,17,0,7,7,9,3,3,0,,0.0,0.0,0.0,50.0
塩田達也,サントリーサンバーズ,12,17,53,27,2,50.9,47.2,0,0,0,5,50,4,8,14,5,2,1,36,,1.6,0.3,11.0,50.0
大宅真樹,サントリーサンバーズ,9,20,7,4,0,57.1,57.1,0,0,0,4,59,2,21,14,0,0,0,10,,0.2,0.2,0.4,
安井勇誠,JTサンダーズ,11,3,2,0,0,0.0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
富松崇彰,東レアローズ,1,17,40,21,1,52.5,50.0,0,0,0,5,59,5,6,22,6,5,1,31,,1.2,0.3,15.3,91.7
専田和也,パナソニックパンサーズ,12,8,0,0,0,,,0,0,0,0,11,0,0,2,0,0,0,0,,0.0,0.0,4.5,
小川猛,サントリーサンバーズ,18,8,25,8,1,32.0,28.0,3,1,1,0,10,0,4,4,0,0,0,8,33.3,1.0,0.0,0.0,
小野寺太志,JTサンダーズ,19,20,61,32,4,52.5,45.9,0,0,0,11,86,0,5,19,4,4,0,43,,1.6,0.6,4.1,100.0
小野遥輝,サントリーサンバーズ,21,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
山内晶大,パナソニックパンサーズ,10,17,42,26,2,61.9,57.1,0,0,0,9,36,1,7,11,0,0,0,36,,1.5,0.5,5.6,
山本将平,JTサンダーズ,18,20,122,62,6,50.8,45.9,7,4,1,6,72,3,18,15,139,51,41,71,57.1,3.1,0.3,3.1,51.4
