名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エスコバルヤドリアン,2018-02,サントリーサンバーズ,4,20,201,77,16,38.3,30.3,100,38,9,11,80,11,20,30,3,0,1,99,38.0,3.85,0.55,16.9,16.7
エドガートーマス,2018-02,JTサンダーズ,14,20,303,174,18,57.4,51.5,131,74,17,13,94,10,26,28,0,0,0,197,56.5,8.7,0.65,11.2,
オムルチェンイゴール,2018-02,豊田合成トレフェルサ,15,19,228,112,17,49.1,41.7,109,59,11,10,106,14,15,36,1,0,0,136,54.1,5.89,0.53,18.2,0.0
カジースキマテイ,2018-02,ジェイテクトSTINGS,1,19,170,77,8,45.3,40.6,27,16,0,11,89,13,14,39,141,46,52,101,59.3,4.05,0.58,21.6,51.1
ギャビンシュミット,2018-02,東レアローズ,12,21,249,120,11,48.2,43.8,120,57,6,6,80,9,21,27,1,0,0,135,47.5,5.71,0.29,13.1,0.0
クビアクミハウ,2018-02,パナソニックパンサーズ,13,17,115,60,8,52.2,45.2,26,12,3,8,89,10,13,30,117,40,39,78,46.2,3.53,0.47,16.0,50.9
中島健太,2018-02,JTサンダーズ,4,20,29,19,3,65.5,55.2,0,0,0,7,55,0,2,3,3,2,1,26,,0.95,0.35,0.5,83.3
久保山尚,2018-02,ジェイテクトSTINGS,16,19,4,0,1,0.0,-25.0,1,0,0,4,69,0,3,16,3,0,0,4,0.0,0.0,0.21,4.7,0.0
久原大輝,2018-02,JTサンダーズ,8,6,2,1,0,50.0,50.0,0,0,0,0,7,0,0,1,12,2,4,1,,0.17,0.0,3.6,33.3
久原翼,2018-02,パナソニックパンサーズ,7,7,24,12,1,50.0,45.8,4,2,0,0,14,0,2,2,25,7,10,12,50.0,1.71,0.0,0.0,48.0
井上航,2018-02,JTサンダーズ,10,20,0,0,0,,,0,0,0,0,0,0,0,0,99,40,26,0,,0.0,0.0,,53.5
井手智,2018-02,東レアローズ,22,6,0,0,0,,,0,0,0,0,0,0,0,0,20,7,1,0,,0.0,0.0,,37.5
今村貴彦,2018-02,パナソニックパンサーズ,9,14,35,12,2,34.3,28.6,10,2,1,1,13,0,1,4,0,0,0,13,20.0,0.86,0.07,5.8,
伊賀亮平,2018-02,パナソニックパンサーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伏見大和,2018-02,東レアローズ,3,18,21,8,2,38.1,28.6,0,0,0,7,29,1,6,11,1,0,1,16,,0.44,0.39,7.8,50.0
傳田亮太,2018-02,豊田合成トレフェルサ,11,19,49,35,1,71.4,69.4,0,0,0,8,72,5,15,26,1,1,0,48,,1.84,0.42,10.8,100.0
八子大輔,2018-02,JTサンダーズ,7,6,0,0,0,,,0,0,0,1,4,0,0,1,0,0,0,1,,0.0,0.17,6.2,
内山正平,2018-02,豊田合成トレフェルサ,4,6,1,1,0,100.0,100.0,0,0,0,0,14,0,0,1,0,0,0,1,,0.17,0.0,1.8,
