大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 WOMEN,プレステージ・インターナショナルアランマーレ,21,83,810,231,46,28.5,62,9,6,14.5,2.78,8,0.1,252,1,4,14,47,5.3,743,391,166,63.8,231,8,5,244
レギュラーラウンド,プレステージ・インターナショナルアランマーレ,21,83,810,231,46,28.5,62,9,6,14.5,2.78,8,0.1,252,1,4,14,47,5.3,743,391,166,63.8,231,8,5,244
V.LEAGUE DIVISION2 WOMEN 2018-19,プレステージ・インターナショナルアランマーレ,23,84,708,233,32,32.9,23,5,2,21.7,2.77,10,0.12,355,1,12,6,99,10.2,561,257,132,57.6,233,10,13,256
レギュラーラウンド,プレステージ・インターナショナルアランマーレ,18,65,519,167,26,32.2,15,4,2,26.7,2.57,9,0.14,276,1,11,5,78,11.0,400,188,90,58.2,167,9,12,188
ファイナル６,プレステージ・インターナショナルアランマーレ,5,19,189,66,6,34.9,8,1,0,12.5,3.47,1,0.05,79,0,1,1,21,7.6,161,69,42,55.9,66,1,1,68
Ｖ・チャレンジリーグⅡ女子 2017/18,プレステージ・インターナショナルアランマーレ,7,27,238,77,7,32.4,0,0,0,-,2.85,7,0.26,112,1,7,4,31,13.2,149,56,43,52.0,77,7,8,92
レギュラーラウンド,プレステージ・インターナショナルアランマーレ,7,27,238,77,7,32.4,0,0,0,-,2.85,7,0.26,112,1,7,4,31,13.2,149,56,43,52.0,77,7,8,92
レギュラーシーズン通算,,46,175,1567,475,79,30.3,77,13,8,16.9,2.71,24,0.14,640,3,22,23,156,9.1,1292,635,299,60.7,475,24,25,524
通算,,51,194,1756,541,85,30.8,85,14,8,16.5,2.79,25,0.13,719,3,23,24,177,8.9,1453,704,341,60.2,541,25,26,592
