,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
井上(美),4,3,0,75.0,75.0,2,0,0,0,17,0,1
井上(愛),60,21,2,35.0,31.7,2,17,8,4,14,0,1
戸江,0,0,0,,,0,17,7,4,0,0,0
中川,0,0,0,,,0,17,4,6,5,0,0
石井,42,14,2,33.3,28.6,3,39,17,10,15,0,1
荒木,6,1,0,16.7,16.7,1,0,0,0,0,0,0
濵松,6,2,0,33.3,33.3,0,0,0,0,0,0,0
座安,0,0,0,,,0,14,4,6,0,0,0
加藤,0,0,0,,,0,0,0,0,9,1,0
栄,0,0,0,,,0,0,0,0,18,1,0
野本,57,21,3,36.8,31.6,3,13,4,4,17,0,1
岩坂,1,1,0,100.0,100.0,0,0,0,0,4,0,0
長岡,16,9,0,56.2,56.2,0,0,0,0,4,0,0
小島,0,0,0,,,0,0,0,0,3,0,1
アキンラデウォ,32,13,2,40.6,34.4,3,0,0,0,19,3,1
今村,11,3,1,27.3,18.2,0,6,2,2,3,0,0
白澤,0,0,0,,,0,0,0,0,2,1,0
池谷,0,0,0,,,0,9,3,2,0,0,0
平山,0,0,0,,,0,0,0,0,7,1,0
