,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
舛田,51,16,3,31.4,25.5,1,39,18,9,20,1,3
リー,62,34,2,54.8,51.6,3,0,0,0,14,0,4
細沼,5,2,0,40.0,40.0,3,0,0,0,8,0,1
立石,0,0,0,,,0,18,11,5,0,0,0
間橋,26,12,1,46.2,42.3,1,25,12,5,11,0,0
小杉,2,0,0,0.0,0.0,2,0,0,0,8,1,2
小西,1,0,0,0.0,0.0,0,0,0,0,18,1,1
丸山,0,0,0,,,0,5,1,2,5,0,1
杉原,3,2,0,66.7,66.7,0,0,0,0,8,0,0
梅津,6,0,0,0.0,0.0,0,0,0,0,0,0,0
浮島,16,5,1,31.2,25.0,0,0,0,0,0,0,0
星加,1,1,0,100.0,100.0,0,0,0,0,3,0,0
馬場,0,0,0,,,0,6,0,3,0,0,0
戸部,0,0,0,,,0,0,0,0,0,0,0
道下,6,2,0,33.3,33.3,0,0,0,0,7,0,0
山城,1,0,0,0.0,0.0,1,3,2,1,5,0,0
島田,0,0,0,,,0,0,0,0,0,0,0
菊池,0,0,0,,,0,0,0,0,0,0,0
