,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
工藤,40,17,1,42.5,40.0,0,16,5,6,13,0,0
奥村,13,5,1,38.5,30.8,1,0,0,0,17,3,0
中元,39,12,1,30.8,28.2,0,32,14,9,10,0,1
プラマー,66,35,3,53.0,48.5,3,6,3,1,18,1,1
田代,2,2,0,100.0,100.0,1,0,0,0,18,0,0
横田,19,10,0,52.6,52.6,2,1,1,0,9,0,2
井上,0,0,0,,,0,21,9,4,0,0,0
鍋谷,63,17,2,27.0,23.8,5,23,17,3,19,0,0
森谷,0,0,0,,,0,0,0,0,21,1,0
兵頭,5,2,1,40.0,20.0,0,3,2,0,12,0,0
東谷,17,9,1,52.9,47.1,1,14,7,3,9,0,0
大竹,4,1,0,25.0,25.0,0,0,0,0,0,0,0
小口,0,0,0,,,0,0,0,0,0,0,0
田原,0,0,0,,,0,0,0,0,0,0,0
松井,1,1,0,100.0,100.0,0,0,0,0,6,0,0
福留,0,0,0,,,0,6,4,2,0,0,0
