,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
吉岡,54,13,4,24.1,16.7,0,23,12,6,18,0,0
渡邊,45,21,3,46.7,40.0,1,2,2,0,12,0,0
金田,68,19,3,27.9,23.5,0,26,10,6,11,0,0
高野,6,1,1,16.7,0.0,1,0,0,0,1,0,0
川島,8,3,0,37.5,37.5,1,1,0,0,12,0,0
楢崎,0,0,0,,,0,12,6,1,1,0,0
宮下(遥),0,0,0,,,2,0,0,0,11,0,0
船田,0,0,0,,,0,21,9,6,5,0,0
及川,18,3,0,16.7,16.7,0,0,0,0,6,0,0
宇賀神,1,1,0,100.0,100.0,0,0,0,0,14,0,0
古川,18,4,0,22.2,22.2,0,0,0,0,2,0,0
西村,1,0,0,0.0,0.0,0,15,6,4,5,0,0
居村,5,2,0,40.0,40.0,0,0,0,0,12,0,0
長瀬,6,2,0,33.3,33.3,1,0,0,0,1,0,0
高柳(有),8,2,0,25.0,25.0,0,2,0,1,0,0,0
丸山,0,0,0,,,0,0,0,0,0,0,0
田口,0,0,0,,,0,0,0,0,0,0,0
遠藤,0,0,0,,,0,0,0,0,1,0,0
前田,0,0,0,,,0,0,0,0,0,0,0
中本,10,1,2,10.0,-10.0,1,4,1,0,0,0,0
小野寺,0,0,0,,,0,0,0,0,0,0,0
付,0,0,0,,,0,0,0,0,0,0,0
