,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
堀江,14,2,1,14.3,7.1,0,4,2,1,8,0,0
吉野,66,22,3,33.3,28.8,0,41,24,5,21,0,2
内瀬戸,78,31,5,39.7,33.3,2,28,11,7,23,1,2
サンティアゴ,20,11,1,55.0,50.0,5,1,0,0,15,0,2
山岸,0,0,0,,,0,29,19,6,0,0,0
山口,7,4,0,57.1,57.1,0,0,0,0,7,1,1
田川,0,0,0,,,0,0,0,0,15,0,1
山崎,0,0,0,,,2,0,0,0,16,0,0
椎名,4,1,0,25.0,25.0,1,3,1,1,2,0,0
佐藤,20,6,1,30.0,25.0,0,5,2,1,2,0,0
ジョセフ,63,24,2,38.1,34.9,4,0,0,0,21,1,0
青柳,24,9,0,37.5,37.5,2,1,0,1,8,0,0
大室,0,0,0,,,0,23,10,6,8,0,0
岩澤,0,0,0,,,0,15,8,3,5,0,1
