,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
村永,4,1,0,25.0,25.0,0,10,3,4,3,0,0
藪田,55,20,5,36.4,27.3,3,46,16,12,21,3,2
荒木,15,5,0,33.3,33.3,4,0,0,0,26,0,0
ソロカイテ,86,30,7,34.9,26.7,3,0,0,0,27,2,1
榊原,0,0,0,,,0,12,5,3,0,0,0
渡邊,28,14,0,50.0,50.0,3,1,0,1,18,2,2
山上,0,0,0,,,0,0,0,0,8,0,2
辻,1,0,0,0.0,0.0,0,0,0,0,0,0,0
松本,3,2,0,66.7,66.7,0,0,0,0,1,0,0
山形,2,1,0,50.0,50.0,0,0,0,0,5,0,0
鴫原,29,9,3,31.0,20.7,1,29,13,6,18,2,2
グーパート,2,2,0,100.0,100.0,1,0,0,0,7,0,0
安井,0,0,0,,,0,17,13,2,0,0,0
熊井,5,2,0,40.0,40.0,0,5,2,1,5,0,1
稲葉,0,0,0,,,0,0,0,0,0,0,0
原,16,7,1,43.8,37.5,1,8,0,2,3,0,0
大川,0,0,0,,,0,0,0,0,0,0,0
