名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,10,久光スプリングス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
オクム大庭冬美ハウィ,10,日立リヴァーレ,17,8,106,47,6,44.3,38.7,19,8,2,3,20,0,1,6,0,0,0,50,42.1,5.9,0.4,6.2,
クランヤナ,10,東レアローズ,7,6,54,23,0,42.6,42.6,9,6,0,4,31,1,2,14,0,0,0,28,66.7,3.8,0.7,12.9,
グーパートポーンプン,10,トヨタ車体クインシーズ,12,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
サンティアゴアライジャダフニ,10,埼玉上尾メディックス,3,12,63,32,0,50.8,50.8,0,0,0,4,35,1,8,10,1,0,0,37,,2.7,0.3,4.3,0.0
ジョセフシャイナ,10,埼玉上尾メディックス,15,6,29,9,0,31.0,31.0,11,3,0,0,7,0,0,2,0,0,0,9,27.3,1.5,0.0,7.1,
ソロカイテインドレ,10,トヨタ車体クインシーズ,13,8,87,18,6,20.7,13.8,28,5,2,1,21,0,3,3,0,0,0,19,17.9,2.2,0.1,0.0,
タップハンナ,10,日立リヴァーレ,5,10,54,24,2,44.4,40.7,0,0,0,8,35,2,5,13,1,1,0,34,,2.4,0.8,11.4,100.0
ドルーズアンドレア,10,JTマーヴェラス,10,7,92,48,3,52.2,48.9,30,13,3,0,14,2,1,5,0,0,0,50,43.3,6.9,0.0,21.4,
ヒックマンジャスティス,10,JTマーヴェラス,14,3,24,10,1,41.7,37.5,3,2,0,2,17,1,0,3,9,7,1,13,66.7,3.3,0.7,10.3,83.3
プラマーキャサリン,10,デンソーエアリービーズ,22,6,71,29,4,40.8,35.2,14,4,2,3,12,0,3,4,12,2,3,32,28.6,4.8,0.5,2.1,29.2
リーシモーン,10,KUROBEアクアフェアリーズ,10,9,116,36,10,31.0,22.4,31,7,5,5,26,1,6,8,0,0,0,42,22.6,4.0,0.6,5.8,
上坂瑠子,10,日立リヴァーレ,1,6,41,15,2,36.6,31.7,0,0,0,1,28,1,1,12,25,15,3,17,,2.5,0.2,13.4,66.0
上野香織,10,NECレッドロケッツ,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中元南,10,デンソーエアリービーズ,1,5,44,13,1,29.5,27.3,6,0,0,0,18,0,0,7,28,18,0,13,0.0,2.6,0.0,9.7,64.3
中屋夏澄,10,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,10,東レアローズ,6,3,0,0,0,,,0,0,0,0,0,0,0,0,2,1,1,0,,0.0,0.0,,75.0
