,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
オクム大庭,57,15,5,26.3,17.5,3,0,0,0,6,0,0
長内,60,21,2,35.0,31.7,1,9,5,3,14,3,3
窪田,5,2,0,40.0,40.0,0,26,15,5,9,0,0
入澤,9,3,1,33.3,22.2,0,1,0,0,6,0,1
タップ,31,16,2,51.6,45.2,6,2,1,1,7,0,0
雑賀,1,0,0,0.0,0.0,0,0,0,0,11,0,1
小池,0,0,0,,,0,7,3,2,0,0,0
佐藤,0,0,0,,,0,0,0,0,0,0,0
野中,13,2,1,15.4,7.7,1,33,16,7,31,3,2
上坂,86,26,5,30.2,24.4,0,34,19,3,26,0,1
境,0,0,0,,,0,0,0,0,15,0,0
齋藤,0,0,0,,,0,23,12,3,2,0,0
小野寺,1,0,0,0.0,0.0,0,0,0,0,12,0,0
堀井,3,2,0,66.7,66.7,1,1,1,0,6,0,1
芳賀,0,0,0,,,0,0,0,0,4,0,0
中村,0,0,0,,,0,0,0,0,0,0,0
