名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,サーブレシーブ成功率,チーム
籾井,8,4,1,50.0,37.5,1,1,0,0,12,1,2,0.0,JTマーヴェラス
田中,69,23,2,33.3,30.4,1,31,14,3,14,1,2,50.0,JTマーヴェラス
小川,2,1,0,50.0,50.0,0,0,0,0,5,1,0,,JTマーヴェラス
林,58,17,1,29.3,27.6,4,48,23,14,29,1,1,62.5,JTマーヴェラス
ドルーズ,115,61,7,53.0,47.0,3,0,0,0,26,1,7,,JTマーヴェラス
小幡,0,0,0,,,0,34,18,7,0,0,0,63.2,JTマーヴェラス
芥川,8,4,0,50.0,50.0,1,1,1,0,15,0,0,100.0,JTマーヴェラス
柴田,2,2,0,100.0,100.0,0,0,0,0,4,0,0,,JTマーヴェラス
橘井,12,5,2,41.7,25.0,0,1,1,0,16,2,1,100.0,JTマーヴェラス
目黒,0,0,0,,,0,32,19,8,9,1,1,71.9,JTマーヴェラス
ヒックマン,5,2,1,40.0,20.0,1,3,1,1,3,1,0,50.0,JTマーヴェラス
榊原,0,0,0,,,1,0,0,0,9,0,0,,JTマーヴェラス
西川,0,0,0,,,0,0,0,0,0,0,0,,JTマーヴェラス
深萱,0,0,0,,,0,0,0,0,0,0,0,,JTマーヴェラス
和田,0,0,0,,,0,0,0,0,0,0,0,,JTマーヴェラス
橋本,0,0,0,,,0,0,0,0,0,0,0,,JTマーヴェラス
神田,0,0,0,,,0,0,0,0,0,0,0,,JTマーヴェラス
タットダオ,3,1,0,33.3,33.3,3,1,1,0,1,0,0,100.0,JTマーヴェラス
吉岡,54,13,4,24.1,16.7,0,23,12,6,18,0,0,65.2,岡山シーガルズ
渡邊,45,21,3,46.7,40.0,1,2,2,0,12,0,0,100.0,岡山シーガルズ
金田,68,19,3,27.9,23.5,0,26,10,6,11,0,0,50.0,岡山シーガルズ
高野,6,1,1,16.7,0.0,1,0,0,0,1,0,0,,岡山シーガルズ
川島,8,3,0,37.5,37.5,1,1,0,0,12,0,0,0.0,岡山シーガルズ
楢崎,0,0,0,,,0,12,6,1,1,0,0,54.2,岡山シーガルズ
宮下(遥),0,0,0,,,2,0,0,0,11,0,0,,岡山シーガルズ
船田,0,0,0,,,0,21,9,6,5,0,0,57.1,岡山シーガルズ
及川,18,3,0,16.7,16.7,0,0,0,0,6,0,0,,岡山シーガルズ
宇賀神,1,1,0,100.0,100.0,0,0,0,0,14,0,0,,岡山シーガルズ
古川,18,4,0,22.2,22.2,0,0,0,0,2,0,0,,岡山シーガルズ
西村,1,0,0,0.0,0.0,0,15,6,4,5,0,0,53.3,岡山シーガルズ
居村,5,2,0,40.0,40.0,0,0,0,0,12,0,0,,岡山シーガルズ
長瀬,6,2,0,33.3,33.3,1,0,0,0,1,0,0,,岡山シーガルズ
高柳(有),8,2,0,25.0,25.0,0,2,0,1,0,0,0,25.0,岡山シーガルズ
丸山,0,0,0,,,0,0,0,0,0,0,0,,岡山シーガルズ
田口,0,0,0,,,0,0,0,0,0,0,0,,岡山シーガルズ
遠藤,0,0,0,,,0,0,0,0,1,0,0,,岡山シーガルズ
前田,0,0,0,,,0,0,0,0,0,0,0,,岡山シーガルズ
中本,10,1,2,10.0,-10.0,1,4,1,0,0,0,0,25.0,岡山シーガルズ
小野寺,0,0,0,,,0,0,0,0,0,0,0,,岡山シーガルズ
付,0,0,0,,,0,0,0,0,0,0,0,,岡山シーガルズ
堀江,14,2,1,14.3,7.1,0,4,2,1,8,0,0,62.5,埼玉上尾メディックス
吉野,66,22,3,33.3,28.8,0,41,24,5,21,0,2,64.6,埼玉上尾メディックス
内瀬戸,78,31,5,39.7,33.3,2,28,11,7,23,1,2,51.8,埼玉上尾メディックス
サンティアゴ,20,11,1,55.0,50.0,5,1,0,0,15,0,2,0.0,埼玉上尾メディックス
山岸,0,0,0,,,0,29,19,6,0,0,0,75.9,埼玉上尾メディックス
山口,7,4,0,57.1,57.1,0,0,0,0,7,1,1,,埼玉上尾メディックス
田川,0,0,0,,,0,0,0,0,15,0,1,,埼玉上尾メディックス
