名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,サーブレシーブ成功率,チーム
山崎,0,0,0,,,2,0,0,0,16,0,0,,埼玉上尾メディックス
椎名,4,1,0,25.0,25.0,1,3,1,1,2,0,0,50.0,埼玉上尾メディックス
佐藤,20,6,1,30.0,25.0,0,5,2,1,2,0,0,50.0,埼玉上尾メディックス
ジョセフ,63,24,2,38.1,34.9,4,0,0,0,21,1,0,,埼玉上尾メディックス
青柳,24,9,0,37.5,37.5,2,1,0,1,8,0,0,50.0,埼玉上尾メディックス
大室,0,0,0,,,0,23,10,6,8,0,0,56.5,埼玉上尾メディックス
岩澤,0,0,0,,,0,15,8,3,5,0,1,63.3,埼玉上尾メディックス
工藤,40,17,1,42.5,40.0,0,16,5,6,13,0,0,50.0,デンソーエアリービーズ
奥村,13,5,1,38.5,30.8,1,0,0,0,17,3,0,,デンソーエアリービーズ
中元,39,12,1,30.8,28.2,0,32,14,9,10,0,1,57.8,デンソーエアリービーズ
プラマー,66,35,3,53.0,48.5,3,6,3,1,18,1,1,58.3,デンソーエアリービーズ
田代,2,2,0,100.0,100.0,1,0,0,0,18,0,0,,デンソーエアリービーズ
横田,19,10,0,52.6,52.6,2,1,1,0,9,0,2,100.0,デンソーエアリービーズ
井上,0,0,0,,,0,21,9,4,0,0,0,52.4,デンソーエアリービーズ
鍋谷,63,17,2,27.0,23.8,5,23,17,3,19,0,0,80.4,デンソーエアリービーズ
森谷,0,0,0,,,0,0,0,0,21,1,0,,デンソーエアリービーズ
兵頭,5,2,1,40.0,20.0,0,3,2,0,12,0,0,66.7,デンソーエアリービーズ
東谷,17,9,1,52.9,47.1,1,14,7,3,9,0,0,60.7,デンソーエアリービーズ
大竹,4,1,0,25.0,25.0,0,0,0,0,0,0,0,,デンソーエアリービーズ
小口,0,0,0,,,0,0,0,0,0,0,0,,デンソーエアリービーズ
田原,0,0,0,,,0,0,0,0,0,0,0,,デンソーエアリービーズ
松井,1,1,0,100.0,100.0,0,0,0,0,6,0,0,,デンソーエアリービーズ
福留,0,0,0,,,0,6,4,2,0,0,0,83.3,デンソーエアリービーズ
村永,4,1,0,25.0,25.0,0,10,3,4,3,0,0,50.0,トヨタ車体クインシーズ
藪田,55,20,5,36.4,27.3,3,46,16,12,21,3,2,47.8,トヨタ車体クインシーズ
荒木,15,5,0,33.3,33.3,4,0,0,0,26,0,0,,トヨタ車体クインシーズ
ソロカイテ,86,30,7,34.9,26.7,3,0,0,0,27,2,1,,トヨタ車体クインシーズ
榊原,0,0,0,,,0,12,5,3,0,0,0,54.2,トヨタ車体クインシーズ
渡邊,28,14,0,50.0,50.0,3,1,0,1,18,2,2,50.0,トヨタ車体クインシーズ
山上,0,0,0,,,0,0,0,0,8,0,2,,トヨタ車体クインシーズ
辻,1,0,0,0.0,0.0,0,0,0,0,0,0,0,,トヨタ車体クインシーズ
松本,3,2,0,66.7,66.7,0,0,0,0,1,0,0,,トヨタ車体クインシーズ
山形,2,1,0,50.0,50.0,0,0,0,0,5,0,0,,トヨタ車体クインシーズ
鴫原,29,9,3,31.0,20.7,1,29,13,6,18,2,2,55.2,トヨタ車体クインシーズ
グーパート,2,2,0,100.0,100.0,1,0,0,0,7,0,0,,トヨタ車体クインシーズ
安井,0,0,0,,,0,17,13,2,0,0,0,82.4,トヨタ車体クインシーズ
熊井,5,2,0,40.0,40.0,0,5,2,1,5,0,1,50.0,トヨタ車体クインシーズ
稲葉,0,0,0,,,0,0,0,0,0,0,0,,トヨタ車体クインシーズ
原,16,7,1,43.8,37.5,1,8,0,2,3,0,0,12.5,トヨタ車体クインシーズ
大川,0,0,0,,,0,0,0,0,0,0,0,,トヨタ車体クインシーズ
水杉,0,0,0,,,0,11,5,3,0,0,0,59.1,東レアローズ
石川,63,35,3,55.6,50.8,1,39,21,6,14,1,3,61.5,東レアローズ
黒後,27,14,1,51.9,48.1,2,36,22,8,18,1,2,72.2,東レアローズ
大野,2,1,0,50.0,50.0,2,0,0,0,1,0,0,,東レアローズ
クラン,77,40,2,51.9,49.4,1,0,0,0,23,1,0,,東レアローズ
井上,4,2,0,50.0,50.0,2,0,0,0,3,0,0,,東レアローズ
白井,0,0,0,,,0,0,0,0,10,0,0,,東レアローズ
関,1,0,0,0.0,0.0,1,1,0,0,19,0,0,0.0,東レアローズ
中田,5,2,0,40.0,40.0,0,10,2,3,8,0,0,35.0,東レアローズ
大崎,0,0,0,,,0,0,0,0,5,0,1,,東レアローズ
野呂,2,1,0,50.0,50.0,0,3,1,0,3,0,0,33.3,東レアローズ
小川,9,4,1,44.4,33.3,1,0,0,0,9,0,0,,東レアローズ
中島,0,0,0,,,0,4,1,1,0,0,0,37.5,東レアローズ
坂本,0,0,0,,,0,0,0,0,2,0,1,,東レアローズ
伊藤,0,0,0,,,0,0,0,0,0,0,0,,東レアローズ
井上(美),4,3,0,75.0,75.0,2,0,0,0,17,0,1,,久光スプリングス
井上(愛),60,21,2,35.0,31.7,2,17,8,4,14,0,1,58.8,久光スプリングス
戸江,0,0,0,,,0,17,7,4,0,0,0,52.9,久光スプリングス
中川,0,0,0,,,0,17,4,6,5,0,0,41.2,久光スプリングス
石井,42,14,2,33.3,28.6,3,39,17,10,15,0,1,56.4,久光スプリングス
荒木,6,1,0,16.7,16.7,1,0,0,0,0,0,0,,久光スプリングス
濵松,6,2,0,33.3,33.3,0,0,0,0,0,0,0,,久光スプリングス
座安,0,0,0,,,0,14,4,6,0,0,0,50.0,久光スプリングス
加藤,0,0,0,,,0,0,0,0,9,1,0,,久光スプリングス
栄,0,0,0,,,0,0,0,0,18,1,0,,久光スプリングス
野本,57,21,3,36.8,31.6,3,13,4,4,17,0,1,46.2,久光スプリングス
岩坂,1,1,0,100.0,100.0,0,0,0,0,4,0,0,,久光スプリングス
長岡,16,9,0,56.2,56.2,0,0,0,0,4,0,0,,久光スプリングス
小島,0,0,0,,,0,0,0,0,3,0,1,,久光スプリングス
アキンラデウォ,32,13,2,40.6,34.4,3,0,0,0,19,3,1,,久光スプリングス
今村,11,3,1,27.3,18.2,0,6,2,2,3,0,0,50.0,久光スプリングス
白澤,0,0,0,,,0,0,0,0,2,1,0,,久光スプリングス
池谷,0,0,0,,,0,9,3,2,0,0,0,44.4,久光スプリングス
平山,0,0,0,,,0,0,0,0,7,1,0,,久光スプリングス
小島,0,0,0,,,0,25,13,7,0,0,0,66.0,NECレッドロケッツ
曽我,15,4,1,26.7,20.0,0,19,4,6,14,0,0,36.8,NECレッドロケッツ
山田,12,5,1,41.7,33.3,5,2,0,0,11,1,0,0.0,NECレッドロケッツ
古賀,77,36,2,46.8,44.2,5,40,22,8,17,1,0,65.0,NECレッドロケッツ
島村,25,15,1,60.0,56.0,0,3,2,1,11,0,0,83.3,NECレッドロケッツ
廣瀬,4,1,0,25.0,25.0,1,0,0,0,0,0,0,,NECレッドロケッツ
澤田,0,0,0,,,0,1,0,0,12,0,0,0.0,NECレッドロケッツ
塚田,0,0,0,,,1,1,0,0,7,0,0,0.0,NECレッドロケッツ
山内,13,5,0,38.5,38.5,0,13,7,2,10,1,0,61.5,NECレッドロケッツ
柳田,6,3,0,50.0,50.0,0,0,0,0,5,0,0,,NECレッドロケッツ
古谷,9,2,0,22.2,22.2,0,4,1,1,4,0,0,37.5,NECレッドロケッツ
上野,10,3,0,30.0,30.0,0,2,0,1,14,0,0,25.0,NECレッドロケッツ
ネリマン,54,17,0,31.5,31.5,2,0,0,0,17,1,0,,NECレッドロケッツ
野嶋,0,0,0,,,0,0,0,0,8,0,0,,NECレッドロケッツ
吉田,5,3,0,60.0,60.0,0,7,1,2,1,0,0,28.6,NECレッドロケッツ
川上,0,0,0,,,0,0,0,0,1,0,0,,NECレッドロケッツ
オクム大庭,57,15,5,26.3,17.5,3,0,0,0,6,0,0,,日立リヴァーレ
長内,60,21,2,35.0,31.7,1,9,5,3,14,3,3,72.2,日立リヴァーレ
窪田,5,2,0,40.0,40.0,0,26,15,5,9,0,0,67.3,日立リヴァーレ
入澤,9,3,1,33.3,22.2,0,1,0,0,6,0,1,0.0,日立リヴァーレ
タップ,31,16,2,51.6,45.2,6,2,1,1,7,0,0,75.0,日立リヴァーレ
雑賀,1,0,0,0.0,0.0,0,0,0,0,11,0,1,,日立リヴァーレ
小池,0,0,0,,,0,7,3,2,0,0,0,57.1,日立リヴァーレ
佐藤,0,0,0,,,0,0,0,0,0,0,0,,日立リヴァーレ
野中,13,2,1,15.4,7.7,1,33,16,7,31,3,2,59.1,日立リヴァーレ
上坂,86,26,5,30.2,24.4,0,34,19,3,26,0,1,60.3,日立リヴァーレ
境,0,0,0,,,0,0,0,0,15,0,0,,日立リヴァーレ
齋藤,0,0,0,,,0,23,12,3,2,0,0,58.7,日立リヴァーレ
小野寺,1,0,0,0.0,0.0,0,0,0,0,12,0,0,,日立リヴァーレ
堀井,3,2,0,66.7,66.7,1,1,1,0,6,0,1,100.0,日立リヴァーレ
芳賀,0,0,0,,,0,0,0,0,4,0,0,,日立リヴァーレ
中村,0,0,0,,,0,0,0,0,0,0,0,,日立リヴァーレ
舛田,51,16,3,31.4,25.5,1,39,18,9,20,1,3,57.7,KUROBEアクアフェアリーズ
リー,62,34,2,54.8,51.6,3,0,0,0,14,0,4,,KUROBEアクアフェアリーズ
細沼,5,2,0,40.0,40.0,3,0,0,0,8,0,1,,KUROBEアクアフェアリーズ
立石,0,0,0,,,0,18,11,5,0,0,0,75.0,KUROBEアクアフェアリーズ
間橋,26,12,1,46.2,42.3,1,25,12,5,11,0,0,58.0,KUROBEアクアフェアリーズ
小杉,2,0,0,0.0,0.0,2,0,0,0,8,1,2,,KUROBEアクアフェアリーズ
小西,1,0,0,0.0,0.0,0,0,0,0,18,1,1,,KUROBEアクアフェアリーズ
丸山,0,0,0,,,0,5,1,2,5,0,1,40.0,KUROBEアクアフェアリーズ
杉原,3,2,0,66.7,66.7,0,0,0,0,8,0,0,,KUROBEアクアフェアリーズ
梅津,6,0,0,0.0,0.0,0,0,0,0,0,0,0,,KUROBEアクアフェアリーズ
浮島,16,5,1,31.2,25.0,0,0,0,0,0,0,0,,KUROBEアクアフェアリーズ
星加,1,1,0,100.0,100.0,0,0,0,0,3,0,0,,KUROBEアクアフェアリーズ
馬場,0,0,0,,,0,6,0,3,0,0,0,25.0,KUROBEアクアフェアリーズ
戸部,0,0,0,,,0,0,0,0,0,0,0,,KUROBEアクアフェアリーズ
道下,6,2,0,33.3,33.3,0,0,0,0,7,0,0,,KUROBEアクアフェアリーズ
山城,1,0,0,0.0,0.0,1,3,2,1,5,0,0,83.3,KUROBEアクアフェアリーズ
島田,0,0,0,,,0,0,0,0,0,0,0,,KUROBEアクアフェアリーズ
菊池,0,0,0,,,0,0,0,0,0,0,0,,KUROBEアクアフェアリーズ
堀口,21,5,0,23.8,23.8,0,4,2,1,15,1,2,62.5,PFUブルーキャッツ
津賀,4,2,0,50.0,50.0,0,0,0,0,6,0,0,,PFUブルーキャッツ
高相,30,11,1,36.7,33.3,0,18,12,2,10,0,2,72.2,PFUブルーキャッツ
瀬戸,0,0,0,,,0,0,0,0,0,0,0,,PFUブルーキャッツ
村上,5,2,0,40.0,40.0,1,0,0,0,9,0,1,,PFUブルーキャッツ
森田,0,0,0,,,0,8,3,3,0,0,0,56.2,PFUブルーキャッツ
島畑,0,0,0,,,0,0,0,0,1,0,0,,PFUブルーキャッツ
和才,0,0,0,,,0,14,4,8,0,0,0,57.1,PFUブルーキャッツ
山下,1,0,0,0.0,0.0,0,0,0,0,8,0,0,,PFUブルーキャッツ
合屋,3,0,0,0.0,0.0,0,0,0,0,1,0,1,,PFUブルーキャッツ
綿引,1,0,0,0.0,0.0,2,3,2,1,14,1,0,83.3,PFUブルーキャッツ
石川,0,0,0,,,0,0,0,0,0,0,0,,PFUブルーキャッツ
有田,0,0,0,,,0,0,0,0,0,0,0,,PFUブルーキャッツ
アコスタ,75,39,1,52.0,50.7,0,25,11,7,18,1,3,58.0,PFUブルーキャッツ
ジャラット,0,0,0,,,0,0,0,0,1,0,0,,PFUブルーキャッツ
志摩,3,0,0,0.0,0.0,0,5,4,1,7,0,0,90.0,PFUブルーキャッツ
貞包,93,29,6,31.2,24.7,2,17,6,5,26,1,1,50.0,ヴィクトリーナ姫路
宮地,2,0,0,0.0,0.0,1,0,0,0,0,0,0,,ヴィクトリーナ姫路
松本,63,21,1,33.3,31.7,0,70,38,16,24,0,3,65.7,ヴィクトリーナ姫路
佐々木,12,6,1,50.0,41.7,2,1,0,0,21,1,1,0.0,ヴィクトリーナ姫路
荒谷,30,10,1,33.3,30.0,6,2,1,0,30,2,3,50.0,ヴィクトリーナ姫路
櫻井,0,0,0,,,0,0,0,0,19,0,1,,ヴィクトリーナ姫路
堀込,0,0,0,,,0,1,0,0,6,0,0,0.0,ヴィクトリーナ姫路
田中,71,32,5,45.1,38.0,1,29,9,9,19,0,1,46.6,ヴィクトリーナ姫路
花井,0,0,0,,,0,39,16,16,0,0,0,61.5,ヴィクトリーナ姫路
孫田,26,7,1,26.9,23.1,0,7,0,3,9,0,0,21.4,ヴィクトリーナ姫路
金杉,38,15,1,39.5,36.8,0,10,3,2,10,0,1,40.0,ヴィクトリーナ姫路
長野,5,3,1,60.0,40.0,1,2,0,1,12,1,3,25.0,ヴィクトリーナ姫路
吉岡,0,0,0,,,0,0,0,0,0,0,0,,ヴィクトリーナ姫路
脇田,0,0,0,,,0,0,0,0,0,0,0,,ヴィクトリーナ姫路
アリョーナ,7,1,0,14.3,14.3,1,0,0,0,0,0,0,,ヴィクトリーナ姫路
溝口,0,0,0,,,0,2,0,2,0,0,0,50.0,ヴィクトリーナ姫路
福井,0,0,0,,,0,0,0,0,0,0,0,,ヴィクトリーナ姫路
