名前,チーム,背番号,月,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
目黒優佳,JTマーヴェラス,11,143,40,15,12,42,1,0,0,0.0,0.0,1,0,0,0,70,2,2,17,56,36,10,2,0.0,0.0,0.0,8.2,73.2
石井優希,久光スプリングス,6,145,32,35,8,46,462,157,26,34.0,28.4,42,11,3,8,155,6,11,43,374,180,86,171,26.2,3.41,0.17,9.0,59.6
石川真佑,東レアローズ,12,145,51,10,17,61,573,249,32,43.5,37.9,82,17,10,16,272,13,31,78,422,213,95,278,20.7,4.08,0.26,9.1,61.7
石川真奈,PFUブルーキャッツ,15,143,11,36,2,14,56,16,5,28.6,19.6,3,0,0,2,16,2,4,3,40,10,11,20,0.0,1.14,0.14,10.9,38.8
神田さくら,JTマーヴェラス,17,2,5,4,1,9,23,8,1,34.8,30.4,0,0,0,1,40,1,2,9,1,1,0,10,,0.89,0.11,6.9,100.0
福井愛加,ヴィクトリーナ姫路,19,22,3,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
福留慧美,デンソーエアリービーズ,19,90,23,15,6,14,0,0,0,,,0,0,0,0,0,0,0,0,19,8,7,0,,0.0,0.0,,60.5
稲葉早生,トヨタ車体クインシーズ,2,111,17,20,4,6,19,6,2,31.6,21.1,2,1,0,0,4,0,0,2,0,0,0,6,50.0,1.0,0.0,12.5,
積山春花,デンソーエアリービーズ,2,1,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
窪田美侑,日立リヴァーレ,4,142,19,36,4,45,149,56,17,37.6,26.2,5,2,0,7,127,9,7,50,260,115,67,72,40.0,1.24,0.16,15.6,57.1
立石優華,KUROBEアクアフェアリーズ,18,144,22,43,4,57,0,0,0,,,0,0,0,0,0,0,0,0,211,91,55,0,,0.0,0.0,,56.2
籾井あき,JTマーヴェラス,8,143,40,15,12,54,45,28,1,62.2,60.0,1,0,0,9,160,4,11,43,1,0,0,41,0.0,0.52,0.17,7.5,0.0
細沼綾,KUROBEアクアフェアリーズ,14,144,22,43,4,62,233,82,17,35.2,27.9,2,1,0,15,153,6,14,48,16,4,5,103,50.0,1.32,0.24,9.5,40.6
綿引菜都美,PFUブルーキャッツ,10,145,12,42,2,48,91,24,5,26.4,20.9,0,0,0,24,147,4,8,29,8,3,5,52,,0.5,0.5,6.3,68.8
脇田美怜,ヴィクトリーナ姫路,10,85,11,23,1,2,7,1,0,14.3,14.3,0,0,0,0,2,0,2,0,3,1,1,1,,0.5,0.0,-25.0,50.0
舛田紗淑,KUROBEアクアフェアリーズ,9,144,22,43,4,62,622,192,37,30.9,24.9,58,22,3,9,245,8,34,78,516,213,152,209,37.9,3.1,0.15,7.8,56.0
船田芽依,岡山シーガルズ,22,125,27,29,8,41,0,0,0,,,0,0,0,0,35,1,1,10,62,27,12,1,,0.0,0.0,9.3,53.2
芥川愛加,JTマーヴェラス,1,143,40,15,12,55,144,64,4,44.4,41.7,0,0,0,28,98,5,8,25,7,2,1,97,,1.16,0.51,9.4,35.7
花井萌里,ヴィクトリーナ姫路,4,147,21,50,3,71,0,0,0,,,0,0,0,0,0,0,0,0,250,134,46,0,,0.0,0.0,,62.8
芳賀舞波,日立リヴァーレ,6,144,23,39,5,5,5,2,1,40.0,20.0,0,0,0,2,9,0,1,0,1,1,0,4,,0.4,0.4,-2.8,100.0
荒木彩花,久光スプリングス,20,35,12,17,3,20,54,22,0,40.7,40.7,0,0,0,10,53,1,5,13,4,0,2,33,,1.1,0.5,5.7,25.0
荒木絵里香,トヨタ車体クインシーズ,11,146,24,36,6,60,234,97,12,41.5,36.3,0,0,0,52,237,16,12,74,5,2,2,165,,1.62,0.87,13.3,60.0
荒谷栞,ヴィクトリーナ姫路,11,147,21,50,3,67,268,89,14,33.2,28.0,3,0,0,28,211,8,19,69,4,1,1,125,0.0,1.33,0.42,9.7,37.5
藪田美穂子,トヨタ車体クインシーズ,17,146,24,36,6,60,525,183,42,34.9,26.9,28,6,5,15,242,11,21,75,489,197,120,209,21.4,3.05,0.25,10.1,52.6
西川有喜,JTマーヴェラス,13,66,21,8,6,2,11,3,1,27.3,18.2,3,0,1,1,2,0,0,1,0,0,0,4,0.0,1.5,0.5,12.5,
西村弥菜美,岡山シーガルズ,10,134,30,29,9,38,29,8,2,27.6,20.7,2,0,0,1,44,2,0,16,80,40,22,11,0.0,0.21,0.03,13.6,63.8
貞包里穂,ヴィクトリーナ姫路,1,147,21,50,3,58,603,186,21,30.8,27.4,54,18,4,8,209,10,8,56,204,55,48,204,33.3,3.21,0.14,10.5,38.7
辻彩乃,トヨタ車体クインシーズ,9,53,4,18,0,2,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
道下ひなの,KUROBEアクアフェアリーズ,21,80,16,26,3,13,20,6,2,30.0,20.0,0,0,0,2,35,2,2,8,0,0,0,10,,0.46,0.15,10.0,
遠藤彩萌,岡山シーガルズ,13,12,0,6,0,5,10,4,2,40.0,20.0,0,0,0,0,1,0,0,0,0,0,0,4,,0.8,0.0,0.0,
野中瑠衣,日立リヴァーレ,19,144,23,39,5,54,190,65,15,34.2,26.3,16,4,1,7,156,6,6,59,252,116,66,78,25.0,1.2,0.13,12.3,59.1
野呂加南子,東レアローズ,13,145,51,10,17,23,26,9,2,34.6,26.9,0,0,0,0,22,1,0,7,15,6,4,10,,0.39,0.0,12.5,53.3
野嶋華澄,NECレッドロケッツ,8,125,37,19,11,20,0,0,0,,,0,0,0,0,25,0,1,6,0,0,0,0,,0.0,0.0,5.0,
野本梨佳,久光スプリングス,8,125,29,32,7,45,445,152,22,34.2,29.2,21,4,3,11,165,1,9,41,226,90,49,164,19.0,3.38,0.24,5.5,50.7
金杉由香,ヴィクトリーナ姫路,6,147,21,50,3,32,287,101,17,35.2,29.3,26,9,2,4,87,2,11,27,76,24,19,107,34.6,3.16,0.12,6.9,44.1
金田修佳,岡山シーガルズ,18,145,33,30,10,62,740,271,19,36.6,34.1,2,1,0,12,189,1,4,31,364,199,59,284,50.0,4.37,0.19,4.1,62.8
鍋谷友理枝,デンソーエアリービーズ,15,143,35,19,10,38,285,102,8,35.8,33.0,21,8,1,9,129,6,7,33,210,114,47,117,38.1,2.68,0.24,9.7,65.5
長内美和子,日立リヴァーレ,13,144,23,39,5,51,598,198,39,33.1,26.6,33,8,4,9,146,11,34,50,103,46,29,218,24.2,3.88,0.18,10.3,58.7
長岡望悠,久光スプリングス,1,134,29,34,7,27,150,72,11,48.0,40.7,23,10,5,3,45,0,6,6,1,1,0,75,43.5,2.67,0.11,0.0,100.0
長瀬そら,岡山シーガルズ,26,48,14,14,4,16,55,20,4,36.4,29.1,0,0,0,7,32,1,3,4,1,1,0,28,,1.25,0.44,3.9,100.0
長野有紗,ヴィクトリーナ姫路,5,147,21,50,3,41,152,53,7,34.9,30.3,0,0,0,12,123,1,16,39,6,2,2,66,,1.29,0.29,5.5,50.0
間橋香織,KUROBEアクアフェアリーズ,3,144,22,43,4,64,504,185,34,36.7,30.0,12,3,3,19,180,1,19,49,482,165,158,205,25.0,2.89,0.3,4.7,50.6
関菜々巳,東レアローズ,10,145,51,10,17,58,14,11,0,78.6,78.6,0,0,0,1,181,11,7,62,3,0,1,23,,0.19,0.02,13.7,16.7
雑賀恵斗,日立リヴァーレ,21,144,23,39,5,35,24,8,0,33.3,33.3,0,0,0,5,81,0,13,31,2,0,0,13,,0.23,0.14,5.6,0.0
青柳京古,埼玉上尾メディックス,11,144,32,29,9,58,276,108,7,39.1,36.6,1,0,0,18,210,10,9,53,19,10,2,136,0.0,1.86,0.31,10.0,57.9
馬場ゆりか,KUROBEアクアフェアリーズ,4,144,22,43,4,30,0,0,0,,,0,0,0,0,0,0,0,0,60,35,14,0,,0.0,0.0,,70.0
高柳有里,岡山シーガルズ,9,64,16,6,5,5,28,8,0,28.6,28.6,0,0,0,1,6,0,0,3,16,4,4,9,,1.6,0.2,12.5,37.5
高相みな実,PFUブルーキャッツ,8,145,12,42,2,45,385,123,20,31.9,26.8,41,6,6,3,145,6,14,32,370,175,79,132,14.6,2.73,0.07,7.2,58.0
高野由里加,岡山シーガルズ,21,56,14,14,4,11,27,5,2,18.5,11.1,0,0,0,2,23,0,0,6,0,0,0,7,,0.45,0.18,6.5,
鴫原ひなた,トヨタ車体クインシーズ,1,136,22,33,6,47,338,108,26,32.0,24.3,9,1,2,6,125,6,12,50,245,112,62,120,11.1,2.3,0.13,12.4,58.4
黒後愛,東レアローズ,9,145,51,10,17,61,511,217,17,42.5,39.1,52,14,6,16,192,11,25,54,352,163,91,244,26.9,3.56,0.26,9.5,59.2
齋藤加奈子,日立リヴァーレ,7,144,23,39,5,42,0,0,0,,,0,0,0,0,7,0,0,1,142,72,34,0,,0.0,0.0,3.6,62.7
