名前,チーム,背番号,月,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
タップハンナ,日立リヴァーレ,5,144,23,39,5,62,352,162,18,46.0,40.9,0,0,0,46,156,5,16,42,7,3,2,213,,2.61,0.74,7.4,57.1
ドルーズアンドレア,JTマーヴェラス,10,143,40,15,12,54,603,300,25,49.8,45.6,166,79,13,11,143,8,22,51,0,0,0,319,47.6,5.56,0.2,10.7,
ヒックマンジャスティス,JTマーヴェラス,14,143,40,15,12,13,58,25,2,43.1,39.7,6,3,0,3,39,2,1,5,58,29,19,30,50.0,1.92,0.23,7.7,66.4
プラマーキャサリン,デンソーエアリービーズ,22,121,29,17,8,40,417,187,26,44.8,38.6,76,36,10,23,96,8,11,24,57,23,11,218,47.4,4.68,0.57,11.7,50.0
マルティニュークアリョーナ,ヴィクトリーナ姫路,20,105,13,36,2,21,184,59,10,32.1,26.6,32,11,1,5,37,0,4,8,0,0,0,64,34.4,2.81,0.24,2.7,
リーシモーン,KUROBEアクアフェアリーズ,10,134,22,40,4,61,804,274,61,34.1,26.5,195,69,22,23,159,9,15,52,8,1,2,306,35.4,4.49,0.38,11.5,25.0
上坂瑠子,日立リヴァーレ,1,144,23,39,5,57,650,191,46,29.4,22.3,37,5,3,13,229,9,8,73,408,182,103,213,13.5,3.35,0.23,11.0,57.2
上野香織,NECレッドロケッツ,6,145,43,20,13,32,113,56,3,49.6,46.9,0,0,0,3,90,1,12,15,13,9,1,60,,1.75,0.09,1.9,73.1
中元南,デンソーエアリービーズ,1,143,35,19,10,46,438,124,23,28.3,23.1,37,4,3,2,161,1,8,46,355,179,76,127,10.8,2.7,0.04,6.5,61.1
中屋夏澄,トヨタ車体クインシーズ,16,23,6,9,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,東レアローズ,6,145,51,10,17,25,0,0,0,,,0,0,0,0,0,0,0,0,79,39,21,0,,0.0,0.0,,62.7
中川美柚,久光スプリングス,14,145,32,35,8,32,186,62,10,33.3,28.0,5,0,0,9,113,1,4,22,136,52,37,72,0.0,1.94,0.28,4.9,51.8
中本柚朱,岡山シーガルズ,33,4,9,5,3,11,55,21,2,38.2,34.5,1,1,0,1,25,0,0,10,41,17,7,22,100.0,1.91,0.09,10.0,50.0
中本葉月,埼玉上尾メディックス,13,43,8,7,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村安里,日立リヴァーレ,11,80,13,26,2,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中田紫乃,東レアローズ,5,145,51,10,17,39,54,15,1,27.8,25.9,0,0,0,3,24,1,1,7,45,12,10,19,,0.38,0.08,10.4,37.8
丸山亜季,岡山シーガルズ,20,122,32,21,10,41,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,1,0,,0.0,0.0,,62.5
丸山紗季,KUROBEアクアフェアリーズ,1,144,22,43,4,40,0,0,0,,,0,0,0,0,56,0,7,16,15,5,7,0,,0.0,0.0,4.0,56.7
井上奈々朱,東レアローズ,1,145,51,10,17,38,85,42,5,49.4,43.5,0,0,0,25,109,6,12,33,4,2,1,73,,1.11,0.66,10.3,62.5
井上愛里沙,久光スプリングス,5,145,32,35,8,55,580,202,22,34.8,31.0,43,9,3,25,190,7,15,49,156,60,36,234,20.9,3.67,0.45,8.2,50.0
井上琴絵,デンソーエアリービーズ,11,143,35,19,10,54,0,0,0,,,0,0,0,0,0,0,0,0,162,92,40,0,,0.0,0.0,,69.1
井上美咲,久光スプリングス,2,141,27,25,7,51,28,14,0,50.0,50.0,0,0,0,14,186,8,10,47,3,1,0,36,,0.27,0.27,9.3,33.3
仁井田桃子,埼玉上尾メディックス,19,38,15,9,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,久光スプリングス,12,81,21,25,5,16,178,52,16,29.2,20.2,5,1,0,6,60,3,6,18,98,41,24,61,20.0,3.25,0.38,10.0,54.1
付欣田,岡山シーガルズ,24,1,0,3,0,2,7,2,1,28.6,14.3,0,0,0,2,4,0,1,0,0,0,0,4,,1.0,1.0,-6.2,
伊藤望,東レアローズ,3,54,15,3,5,5,0,0,0,,,0,0,0,0,7,1,1,2,0,0,0,1,,0.0,0.0,17.9,
佐々木千紘,ヴィクトリーナ姫路,14,147,21,50,3,53,161,75,11,46.6,39.8,0,0,0,12,163,11,19,43,6,3,1,98,,1.42,0.23,10.4,58.3
佐々木海空,埼玉上尾メディックス,16,20,5,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤優花,埼玉上尾メディックス,10,144,32,29,9,11,56,18,2,32.1,28.6,5,1,0,0,16,0,2,2,23,9,7,18,20.0,1.64,0.0,0.0,54.3
佐藤澪,NECレッドロケッツ,18,44,8,6,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤美弥,日立リヴァーレ,8,20,6,4,2,4,0,0,0,,,0,0,0,1,4,0,0,2,0,0,0,1,,0.0,0.25,12.5,
入澤まい,日立リヴァーレ,14,144,23,39,5,54,173,64,16,37.0,27.7,0,0,0,30,168,12,20,63,13,1,5,106,,1.19,0.56,13.5,26.9
兵頭由希,デンソーエアリービーズ,24,143,35,19,10,19,78,24,5,30.8,24.4,12,3,1,0,37,1,2,6,14,6,3,25,25.0,1.26,0.0,5.4,53.6
内瀬戸真実,埼玉上尾メディックス,9,144,32,29,9,61,601,225,23,37.4,33.6,26,8,2,21,204,4,16,50,413,204,101,250,30.8,3.69,0.34,6.1,61.6
前田明里,岡山シーガルズ,23,12,0,3,0,2,5,2,0,40.0,40.0,0,0,0,0,1,0,0,1,10,2,1,2,,1.0,0.0,25.0,25.0
加藤光,久光スプリングス,7,134,30,32,8,45,0,0,0,,,0,0,0,0,69,2,2,18,0,0,0,2,,0.0,0.0,8.7,
原幸歩,トヨタ車体クインシーズ,4,3,6,4,2,9,98,36,4,36.7,32.7,4,2,0,9,31,1,2,8,77,16,22,46,50.0,4.0,1.0,8.1,35.1
及川真夢,岡山シーガルズ,8,143,30,27,9,40,182,81,7,44.5,40.7,0,0,0,21,120,2,6,26,18,15,2,104,,2.02,0.52,5.8,88.9
古川あおいアン,岡山シーガルズ,15,121,23,25,7,26,172,63,9,36.6,31.4,10,2,1,3,33,1,0,3,37,13,5,67,20.0,2.42,0.12,5.3,41.9
古谷ちなみ,NECレッドロケッツ,11,90,29,16,9,10,79,22,6,27.8,20.3,12,5,2,1,29,2,4,6,31,7,15,25,41.7,2.2,0.1,8.6,46.8
古賀紗理那,NECレッドロケッツ,2,145,43,20,13,63,648,277,26,42.7,38.7,87,28,6,23,278,13,19,109,384,199,88,313,32.2,4.4,0.37,12.8,63.3
合屋咲希,PFUブルーキャッツ,7,145,12,42,2,36,98,27,6,27.6,21.4,0,0,0,0,14,0,5,1,66,19,17,27,,0.75,0.0,-7.1,41.7
吉岡可奈,ヴィクトリーナ姫路,9,87,11,21,2,2,4,0,0,0.0,0.0,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
吉岡美晴,岡山シーガルズ,4,145,33,30,10,57,627,191,21,30.5,27.1,0,0,0,7,171,3,7,27,412,202,82,201,,3.35,0.12,4.7,59.0
吉田あゆみ,NECレッドロケッツ,15,141,32,14,10,5,21,11,1,52.4,47.6,0,0,0,0,11,0,0,1,39,9,8,11,,2.2,0.0,2.3,33.3
吉野優理,埼玉上尾メディックス,8,144,32,29,9,61,600,204,38,34.0,27.7,22,10,3,7,253,11,25,83,457,208,94,222,45.5,3.34,0.11,10.1,55.8
和才奈々美,PFUブルーキャッツ,33,145,12,42,2,43,14,2,1,14.3,7.1,1,0,0,0,7,0,2,1,172,68,49,2,0.0,0.05,0.0,-3.6,53.8
和田由紀子,JTマーヴェラス,16,103,30,11,9,2,5,1,0,20.0,20.0,2,1,0,0,1,0,0,0,0,0,0,1,50.0,0.5,0.0,0.0,
坂本侑,東レアローズ,15,91,36,7,12,3,0,0,0,,,0,0,0,0,4,0,1,1,0,0,0,0,,0.0,0.0,0.0,
堀井有蘭,日立リヴァーレ,3,143,22,36,5,16,34,11,0,32.4,32.4,0,0,0,6,37,0,2,2,13,9,2,17,,0.69,0.38,0.0,76.9
堀口あやか,PFUブルーキャッツ,11,145,12,42,2,47,360,101,11,28.1,25.0,26,3,1,4,135,7,29,39,102,40,28,112,11.5,2.15,0.09,7.0,52.9
堀江美志,埼玉上尾メディックス,4,144,32,29,9,32,123,37,5,30.1,26.0,20,2,1,0,51,4,4,17,22,6,7,41,10.0,1.16,0.0,14.2,43.2
堀込奈央,ヴィクトリーナ姫路,7,147,21,50,3,55,0,0,0,,,0,0,0,0,71,1,2,10,1,0,0,1,,0.0,0.0,4.2,0.0
塚田しおり,NECレッドロケッツ,3,145,43,20,13,39,4,2,0,50.0,50.0,0,0,0,1,82,1,4,20,3,0,0,4,,0.05,0.03,6.1,0.0
境紗里奈,日立リヴァーレ,18,124,17,35,3,27,0,0,0,,,0,0,0,0,34,2,1,7,0,0,0,2,,0.0,0.0,10.3,
大元朱菜,ヴィクトリーナ姫路,3,1,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大室璃紗,埼玉上尾メディックス,23,144,32,29,9,26,0,0,0,,,0,0,0,0,23,0,3,4,30,15,7,0,,0.0,0.0,1.1,61.7
大崎琴未,東レアローズ,14,145,51,10,17,14,2,0,0,0.0,0.0,0,0,0,0,18,0,1,4,0,0,0,0,,0.0,0.0,4.2,
大竹里歩,デンソーエアリービーズ,5,130,29,17,8,10,20,10,0,50.0,50.0,0,0,0,1,22,0,2,4,1,0,0,11,,1.0,0.1,2.3,0.0
大野果歩,東レアローズ,2,145,51,10,17,56,157,69,10,43.9,37.6,0,0,0,27,197,4,12,33,8,4,0,100,,1.23,0.48,4.7,50.0
奥村麻依,デンソーエアリービーズ,13,143,35,19,10,52,198,72,3,36.4,34.8,0,0,0,37,179,4,4,35,8,5,2,113,,1.38,0.71,6.6,75.0
孫田菜奈,ヴィクトリーナ姫路,12,147,21,50,3,45,106,40,5,37.7,33.0,0,0,0,2,44,4,5,9,14,5,2,46,,0.89,0.04,11.4,42.9
宇賀神みずき,岡山シーガルズ,5,143,30,27,9,40,7,3,0,42.9,42.9,1,1,0,2,82,3,2,13,3,0,0,8,100.0,0.08,0.05,7.0,0.0
安井由香子,トヨタ車体クインシーズ,19,114,20,27,6,36,0,0,0,,,0,0,0,0,0,0,0,0,121,70,24,0,,0.0,0.0,,67.8
安田美南,NECレッドロケッツ,14,43,9,5,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮下遥,岡山シーガルズ,14,145,33,30,10,53,11,6,1,54.5,45.5,0,0,0,12,173,2,6,30,4,0,0,20,,0.11,0.23,4.6,0.0
宮地佳乃,ヴィクトリーナ姫路,8,136,19,47,3,9,43,6,4,14.0,4.7,3,0,1,1,6,0,3,1,0,0,0,7,0.0,0.67,0.11,-8.3,
小口樹葉,デンソーエアリービーズ,9,64,15,5,5,2,0,0,0,,,0,0,0,0,0,0,0,0,4,3,1,0,,0.0,0.0,,87.5
小島満菜美,NECレッドロケッツ,16,145,43,20,13,63,0,0,0,,,0,0,0,0,0,0,0,0,300,131,83,0,,0.0,0.0,,57.5
小島絢野,久光スプリングス,24,26,11,17,2,9,2,1,0,50.0,50.0,0,0,0,0,17,1,1,3,0,0,0,2,,0.11,0.0,8.8,
小川愛里奈,東レアローズ,8,145,51,10,17,31,118,48,3,40.7,38.1,0,0,0,12,87,5,6,24,3,2,1,65,,1.55,0.39,10.9,83.3
小川杏奈,JTマーヴェラス,3,106,26,11,8,29,72,36,5,50.0,43.1,1,1,0,11,107,5,5,35,3,0,1,52,100.0,1.24,0.38,11.7,16.7
小幡真子,JTマーヴェラス,15,143,40,15,12,55,0,0,0,,,0,0,0,0,0,0,0,0,187,117,26,0,,0.0,0.0,,69.5
小杉凜華,KUROBEアクアフェアリーズ,19,144,22,43,4,23,44,7,2,15.9,11.4,0,0,0,5,55,2,4,15,3,1,0,14,,0.3,0.22,8.6,33.3
小池杏菜,日立リヴァーレ,10,144,23,39,5,53,0,0,0,,,0,0,0,0,0,0,0,0,99,44,23,0,,0.0,0.0,,56.1
小西愛衣,KUROBEアクアフェアリーズ,15,144,22,43,4,64,22,8,1,36.4,31.8,0,0,0,2,212,7,17,37,2,0,1,17,,0.12,0.03,5.7,25.0
小野寺友香,日立リヴァーレ,2,144,23,39,5,34,2,0,0,0.0,0.0,0,0,0,5,110,5,2,31,0,0,0,10,,0.0,0.15,11.1,
小野寺夏希,岡山シーガルズ,31,13,6,5,2,4,0,0,0,,,0,0,0,0,9,0,0,1,0,0,0,0,,0.0,0.0,2.8,
居村杏奈,岡山シーガルズ,12,133,33,27,10,36,121,56,4,46.3,43.0,1,0,0,11,105,0,2,24,7,3,0,67,0.0,1.56,0.31,5.2,42.9
山上有紀,トヨタ車体クインシーズ,18,146,24,36,6,36,11,3,1,27.3,18.2,0,0,0,4,102,5,10,29,2,0,0,12,,0.08,0.11,9.6,0.0
山下遥香,PFUブルーキャッツ,9,145,12,42,2,54,13,5,0,38.5,38.5,1,0,0,6,131,5,23,32,1,0,0,16,0.0,0.09,0.11,5.5,0.0
山内美咲,NECレッドロケッツ,12,145,43,20,13,47,225,78,11,34.7,29.8,16,1,1,14,117,11,3,37,174,80,44,103,6.2,1.66,0.3,16.7,58.6
山口珠李,埼玉上尾メディックス,6,144,32,29,9,18,58,20,5,34.5,25.9,3,0,1,1,30,2,4,10,0,0,0,23,0.0,1.11,0.06,11.7,
山岸あかね,埼玉上尾メディックス,7,144,32,29,9,60,0,0,0,,,0,0,0,0,0,0,0,0,233,116,52,0,,0.0,0.0,,60.9
山崎のの花,埼玉上尾メディックス,5,144,32,29,9,61,25,9,0,36.0,36.0,0,0,0,28,211,6,11,62,3,0,0,43,,0.15,0.46,8.9,0.0
山形理沙子,トヨタ車体クインシーズ,20,146,24,36,6,13,5,3,0,60.0,60.0,0,0,0,1,28,2,0,11,0,0,0,6,,0.23,0.08,17.0,
山田二千華,NECレッドロケッツ,13,145,43,20,13,53,180,67,8,37.2,32.8,0,0,0,36,206,6,12,47,16,8,3,109,,1.26,0.68,7.2,59.4
岩坂名奈,久光スプリングス,4,145,32,35,8,36,77,33,0,42.9,42.9,0,0,0,16,126,6,4,31,4,1,1,55,,0.92,0.44,10.1,37.5
岩澤実育,埼玉上尾メディックス,12,16,10,7,3,5,0,0,0,,,0,0,0,0,8,1,1,1,4,3,1,1,,0.0,0.0,12.5,87.5
島村春世,NECレッドロケッツ,1,145,43,20,13,50,260,133,5,51.2,49.2,0,0,0,16,134,5,4,23,16,7,4,154,,2.66,0.32,7.3,56.2
島畑奈緒子,PFUブルーキャッツ,14,145,12,42,2,41,3,1,0,33.3,33.3,0,0,0,0,48,2,9,15,0,0,0,3,,0.02,0.0,7.3,
川島亜依美,岡山シーガルズ,28,145,33,30,10,51,166,70,6,42.2,38.6,1,0,0,18,168,3,8,53,8,5,0,91,0.0,1.37,0.35,8.5,62.5
工藤嶺,デンソーエアリービーズ,21,143,35,19,10,53,468,172,32,36.8,29.9,121,40,11,15,185,5,7,58,149,67,33,192,33.1,3.25,0.28,9.6,56.0
座安琴希,久光スプリングス,10,143,30,29,8,51,0,0,0,,,0,0,0,0,1,0,0,0,59,34,16,0,,0.0,0.0,0.0,71.2
廣瀬七海,NECレッドロケッツ,9,124,40,16,12,13,52,17,3,32.7,26.9,3,1,0,3,17,1,2,6,2,1,1,21,33.3,1.31,0.23,11.8,75.0
志摩美古都,PFUブルーキャッツ,35,2,1,6,0,6,36,11,1,30.6,27.8,1,0,0,0,10,0,1,0,16,5,6,11,0.0,1.83,0.0,-2.5,50.0
戸江真奈,久光スプリングス,18,145,32,35,8,67,0,0,0,,,0,0,0,0,0,0,0,0,280,166,50,0,,0.0,0.0,,68.2
戸部真由香,KUROBEアクアフェアリーズ,20,74,6,20,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
星加輝,KUROBEアクアフェアリーズ,16,144,22,43,4,23,1,1,0,100.0,100.0,0,0,0,0,28,0,2,6,0,0,0,1,,0.04,0.0,3.6,
曽我啓菜,NECレッドロケッツ,5,123,40,17,12,42,282,110,18,39.0,32.6,13,3,0,10,106,1,8,29,223,76,52,121,23.1,2.62,0.24,5.9,45.7
有田妃奈乃,PFUブルーキャッツ,1,98,10,24,2,5,5,2,1,40.0,20.0,0,0,0,0,5,1,1,2,0,0,0,3,,0.4,0.0,25.0,
杉原若葉,KUROBEアクアフェアリーズ,11,144,22,43,4,55,145,49,10,33.8,26.9,0,0,0,27,161,5,14,45,0,0,0,81,,0.89,0.49,7.9,
杉郁香,トヨタ車体クインシーズ,15,10,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村上華澄,PFUブルーキャッツ,6,145,12,42,2,50,186,67,12,36.0,29.6,0,0,0,11,147,5,4,40,9,1,4,83,,1.34,0.22,9.5,33.3
村永奈央,トヨタ車体クインシーズ,6,146,24,36,6,30,90,15,0,16.7,16.7,0,0,0,4,31,2,2,9,143,53,32,21,,0.5,0.13,12.1,48.3
東谷玲衣奈,デンソーエアリービーズ,20,143,35,19,10,27,112,43,4,38.4,34.8,7,1,1,3,21,0,1,3,69,31,16,46,14.3,1.59,0.11,2.4,56.5
松井珠己,デンソーエアリービーズ,14,101,23,15,6,23,8,4,0,50.0,50.0,0,0,0,0,32,1,0,6,0,0,0,5,,0.17,0.0,7.8,
松本亜弥華,トヨタ車体クインシーズ,14,146,24,36,6,17,32,12,2,37.5,31.2,0,0,0,5,22,1,0,3,2,0,0,18,,0.71,0.29,8.0,0.0
松本愛希穂,ヴィクトリーナ姫路,15,147,21,50,3,69,639,221,41,34.6,28.2,27,7,8,13,234,15,21,67,642,321,136,249,25.9,3.2,0.19,11.3,60.6
林琴奈,JTマーヴェラス,2,143,40,15,12,55,515,196,28,38.1,32.6,60,20,7,29,194,5,11,45,395,220,88,230,33.3,3.56,0.53,7.0,66.8
柳田光綺,NECレッドロケッツ,4,66,26,12,8,18,54,14,4,25.9,18.5,2,0,1,1,34,0,4,6,0,0,0,15,0.0,0.78,0.06,1.5,
柴田真果,JTマーヴェラス,5,143,40,15,12,55,3,2,0,66.7,66.7,1,0,0,0,99,5,1,33,0,0,0,7,0.0,0.04,0.0,13.1,
栄絵里香,久光スプリングス,11,123,26,28,7,27,2,0,0,0.0,0.0,0,0,0,2,60,3,1,11,1,0,0,5,,0.0,0.07,9.2,0.0
梅津憂理,KUROBEアクアフェアリーズ,13,144,22,43,4,13,66,14,4,21.2,15.2,2,1,0,2,27,0,1,7,63,16,17,16,50.0,1.08,0.15,5.6,38.9
森田茉莉,PFUブルーキャッツ,3,145,12,42,2,29,0,0,0,,,0,0,0,0,0,0,0,0,86,34,28,0,,0.0,0.0,,55.8
森谷史佳,デンソーエアリービーズ,10,143,35,19,10,23,36,12,0,33.3,33.3,0,0,0,0,69,4,5,19,0,0,0,16,,0.52,0.0,10.9,
椎名真子,埼玉上尾メディックス,14,140,23,25,6,12,55,16,1,29.1,27.3,2,0,0,1,22,0,7,4,23,9,4,17,0.0,1.33,0.08,-3.4,47.8
楢崎慈恵,岡山シーガルズ,27,142,27,26,8,47,0,0,0,,,0,0,0,0,1,0,0,0,143,70,34,0,,0.0,0.0,0.0,60.8
榊原美沙都,トヨタ車体クインシーズ,8,146,24,36,6,33,0,0,0,,,0,0,0,0,0,0,0,0,142,64,39,0,,0.0,0.0,,58.8
