,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
水杉,0,0,0,,,0,11,5,3,0,0,0
石川,63,35,3,55.6,50.8,1,39,21,6,14,1,3
黒後,27,14,1,51.9,48.1,2,36,22,8,18,1,2
大野,2,1,0,50.0,50.0,2,0,0,0,1,0,0
クラン,77,40,2,51.9,49.4,1,0,0,0,23,1,0
井上,4,2,0,50.0,50.0,2,0,0,0,3,0,0
白井,0,0,0,,,0,0,0,0,10,0,0
関,1,0,0,0.0,0.0,1,1,0,0,19,0,0
中田,5,2,0,40.0,40.0,0,10,2,3,8,0,0
大崎,0,0,0,,,0,0,0,0,5,0,1
野呂,2,1,0,50.0,50.0,0,3,1,0,3,0,0
小川,9,4,1,44.4,33.3,1,0,0,0,9,0,0
中島,0,0,0,,,0,4,1,1,0,0,0
坂本,0,0,0,,,0,0,0,0,2,0,1
伊藤,0,0,0,,,0,0,0,0,0,0,0
