,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
小島,0,0,0,,,0,25,13,7,0,0,0
曽我,15,4,1,26.7,20.0,0,19,4,6,14,0,0
山田,12,5,1,41.7,33.3,5,2,0,0,11,1,0
古賀,77,36,2,46.8,44.2,5,40,22,8,17,1,0
島村,25,15,1,60.0,56.0,0,3,2,1,11,0,0
廣瀬,4,1,0,25.0,25.0,1,0,0,0,0,0,0
澤田,0,0,0,,,0,1,0,0,12,0,0
塚田,0,0,0,,,1,1,0,0,7,0,0
山内,13,5,0,38.5,38.5,0,13,7,2,10,1,0
柳田,6,3,0,50.0,50.0,0,0,0,0,5,0,0
古谷,9,2,0,22.2,22.2,0,4,1,1,4,0,0
上野,10,3,0,30.0,30.0,0,2,0,1,14,0,0
ネリマン,54,17,0,31.5,31.5,2,0,0,0,17,1,0
野嶋,0,0,0,,,0,0,0,0,8,0,0
吉田,5,3,0,60.0,60.0,0,7,1,2,1,0,0
川上,0,0,0,,,0,0,0,0,1,0,0
