,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
貞包,93,29,6,31.2,24.7,2,17,6,5,26,1,1
宮地,2,0,0,0.0,0.0,1,0,0,0,0,0,0
松本,63,21,1,33.3,31.7,0,70,38,16,24,0,3
佐々木,12,6,1,50.0,41.7,2,1,0,0,21,1,1
荒谷,30,10,1,33.3,30.0,6,2,1,0,30,2,3
櫻井,0,0,0,,,0,0,0,0,19,0,1
堀込,0,0,0,,,0,1,0,0,6,0,0
田中,71,32,5,45.1,38.0,1,29,9,9,19,0,1
花井,0,0,0,,,0,39,16,16,0,0,0
孫田,26,7,1,26.9,23.1,0,7,0,3,9,0,0
金杉,38,15,1,39.5,36.8,0,10,3,2,10,0,1
長野,5,3,1,60.0,40.0,1,2,0,1,12,1,3
吉岡,0,0,0,,,0,0,0,0,0,0,0
脇田,0,0,0,,,0,0,0,0,0,0,0
アリョーナ,7,1,0,14.3,14.3,1,0,0,0,0,0,0
溝口,0,0,0,,,0,2,0,2,0,0,0
福井,0,0,0,,,0,0,0,0,0,0,0
