,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
籾井,8,4,1,50.0,37.5,1,1,0,0,12,1,2
田中,69,23,2,33.3,30.4,1,31,14,3,14,1,2
小川,2,1,0,50.0,50.0,0,0,0,0,5,1,0
林,58,17,1,29.3,27.6,4,48,23,14,29,1,1
ドルーズ,115,61,7,53.0,47.0,3,0,0,0,26,1,7
小幡,0,0,0,,,0,34,18,7,0,0,0
芥川,8,4,0,50.0,50.0,1,1,1,0,15,0,0
柴田,2,2,0,100.0,100.0,0,0,0,0,4,0,0
橘井,12,5,2,41.7,25.0,0,1,1,0,16,2,1
目黒,0,0,0,,,0,32,19,8,9,1,1
ヒックマン,5,2,1,40.0,20.0,1,3,1,1,3,1,0
榊原,0,0,0,,,1,0,0,0,9,0,0
西川,0,0,0,,,0,0,0,0,0,0,0
深萱,0,0,0,,,0,0,0,0,0,0,0
和田,0,0,0,,,0,0,0,0,0,0,0
橋本,0,0,0,,,0,0,0,0,0,0,0
神田,0,0,0,,,0,0,0,0,0,0,0
タットダオ,3,1,0,33.3,33.3,3,1,1,0,1,0,0
