,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
堀口,21,5,0,23.8,23.8,0,4,2,1,15,1,2
津賀,4,2,0,50.0,50.0,0,0,0,0,6,0,0
高相,30,11,1,36.7,33.3,0,18,12,2,10,0,2
瀬戸,0,0,0,,,0,0,0,0,0,0,0
村上,5,2,0,40.0,40.0,1,0,0,0,9,0,1
森田,0,0,0,,,0,8,3,3,0,0,0
島畑,0,0,0,,,0,0,0,0,1,0,0
和才,0,0,0,,,0,14,4,8,0,0,0
山下,1,0,0,0.0,0.0,0,0,0,0,8,0,0
合屋,3,0,0,0.0,0.0,0,0,0,0,1,0,1
綿引,1,0,0,0.0,0.0,2,3,2,1,14,1,0
石川,0,0,0,,,0,0,0,0,0,0,0
有田,0,0,0,,,0,0,0,0,0,0,0
アコスタ,75,39,1,52.0,50.7,0,25,11,7,18,1,3
ジャラット,0,0,0,,,0,0,0,0,1,0,0
志摩,3,0,0,0.0,0.0,0,5,4,1,7,0,0
